dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,all,intersection,bec-plain-frame,complete,5,9197.59,9176.19,9243.16,25608.3349609375,23.4876861631494
census-income,all,intersection,local-frame,complete,5,10590.9,10535.3,10606.2,29419.9453125,27.04575170074976
census-income,all,intersection,local-frame,selected,5,10579.8,10524.4,10590.5,29390.390625,26.995208132396392
census-income,all,intersection,local-inline,complete,5,10177.8,10113.7,10284.6,28248.748046875,25.990827187480846
census-income,all,intersection,local-point,complete,5,12780.2,12723.7,12868.3,35523.279296875,32.636519642893624
census-income,all,intersection,mixed-frame,complete,5,10556.4,10509.2,10556.8,29322.78515625,26.95764979877015
census-income,all,intersection,mixed-frame-point,complete,5,10897.9,10849.2,10985.1,30294.681640625,27.82973094445239
census-income,all,intersection,mixed-point-frame,complete,5,11938.8,11932.9,12038.7,33173.251953125,30.487854705918405
census-income,all,intersection,plain,complete,5,391.592,390.112,394.451,1089.4153442382812,1.0
census-income,all,intersection,plain,selected,5,391.914,389.169,395.786,1087.0343627929688,1.0
census-income,all,union,bec-plain-frame,complete,5,9246.07,9214.6,9273.44,25724.07421875,23.588176917640997
census-income,all,union,local-frame,complete,5,22748.2,22645.1,22760.4,63230.64453125,58.034231425663116
census-income,all,union,local-frame,selected,5,22733.4,22629.0,22760.3,63203.453125,58.00949753885647
census-income,all,union,local-inline,complete,5,22691.0,22589.2,22697.0,63060.37109375,57.88830524084199
census-income,all,union,local-point,complete,5,25591.8,25582.6,25727.5,71135.44921875,65.28870169065179
census-income,all,union,mixed-frame,complete,5,22754.9,22612.2,22870.9,63101.5390625,58.051324178080975
census-income,all,union,mixed-frame-point,complete,5,23255.8,23162.8,23510.8,64635.22265625,59.32919875809674
census-income,all,union,mixed-point-frame,complete,5,24357.6,24247.5,24510.8,67701.65234375,62.14006362585751
census-income,all,union,plain,complete,5,391.979,388.586,394.295,1088.3217163085938,1.0
census-income,all,union,plain,selected,5,391.891,387.215,393.981,1088.0667724609375,1.0
census-income,cluster32,intersection,bec-plain-frame,complete,5,1140.33,1135.35,1151.21,3173.189453125,10.620366576016092
census-income,cluster32,intersection,local-frame,complete,5,1302.69,1291.64,1312.04,3615.40185546875,12.132492642402116
census-income,cluster32,intersection,local-frame,selected,5,1226.56,1224.22,1232.77,3398.47998046875,25.677817251550746
census-income,cluster32,intersection,local-inline,complete,5,1233.28,1225.53,1246.63,3425.577880859375,11.486048504265543
census-income,cluster32,intersection,local-point,complete,5,1600.33,1593.41,1618.42,4447.25146484375,14.904537495808963
census-income,cluster32,intersection,mixed-frame,complete,5,1303.33,1297.71,1306.71,3622.925537109375,12.138453228029654
census-income,cluster32,intersection,mixed-frame-point,complete,5,1342.57,1336.94,1351.29,3728.01025390625,12.50391163431807
census-income,cluster32,intersection,mixed-point-frame,complete,5,1483.26,1479.84,1494.22,4118.47216796875,13.814215996721678
census-income,cluster32,intersection,plain,complete,5,107.372,100.345,108.368,298.5078582763672,1.0
census-income,cluster32,intersection,plain,selected,5,47.7673,47.5093,47.966,132.6544418334961,1.0
census-income,cluster32,union,bec-plain-frame,complete,5,1148.11,1144.09,1150.67,3197.31298828125,11.242533440394821
census-income,cluster32,union,local-frame,complete,5,2809.4,2798.95,2812.11,7810.1015625,27.510232858737588
