dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,intersection,plain,complete,0,8,16384,131072,0,0,0,0,65536,65536,65536,0,7465335,56.956,20825862,74449174,7521316,7521316,available,0,0,unestablished
structural,none,intersection,plain,complete,1,8,16384,131072,0,0,0,0,65536,65536,65536,0,7283046,55.5652,20228371,74449174,7307700,7307700,available,0,0,unestablished
structural,none,intersection,plain,complete,2,8,16384,131072,0,0,0,0,65536,65536,65536,0,7306708,55.7458,20317425,74449174,7318994,7318994,available,0,0,unestablished
structural,none,intersection,plain,complete,3,8,16384,131072,0,0,0,0,65536,65536,65536,0,7319156,55.8407,20293807,74449174,7319003,7319003,available,0,0,unestablished
structural,none,intersection,plain,complete,4,8,16384,131072,0,0,0,0,65536,65536,65536,0,7368428,56.2166,20486069,74449174,7384840,7384840,available,0,0,unestablished
structural,none,intersection,plain,selected,0,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,9487349,2.26196,26478336,84410646,9512622,9512622,available,0,0,unestablished
structural,none,intersection,plain,selected,1,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,9584676,2.28516,26676395,84410646,9596838,9596838,available,0,0,unestablished
structural,none,intersection,plain,selected,2,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,9674019,2.30647,26704048,84410646,9657048,9657048,available,0,0,unestablished
structural,none,intersection,plain,selected,3,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,9645849,2.29975,26603803,84410646,9608239,9608239,available,0,0,unestablished
structural,none,intersection,plain,selected,4,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,9600381,2.28891,26715655,84410646,9613772,9613772,available,0,0,unestablished
structural,none,intersection,local-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8287547,63.229,23134957,79298838,8318223,8318223,available,0,0,unestablished
structural,none,intersection,local-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8025372,61.2287,22325101,79298838,8038733,8038733,available,0,0,unestablished
structural,none,intersection,local-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8214056,62.6683,22651991,79298838,8188791,8188791,available,0,0,unestablished
structural,none,intersection,local-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8145590,62.1459,22663672,79298838,8163041,8163041,available,0,0,unestablished
structural,none,intersection,local-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8150662,62.1846,22677197,79298838,8162884,8162884,available,0,0,unestablished
structural,none,intersection,local-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8396249,64.0583,23341006,79298838,8416074,8416074,available,0,0,unestablished
structural,none,intersection,local-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8188495,62.4733,22774375,79298838,8201835,8201835,available,0,0,unestablished
structural,none,intersection,local-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8099955,61.7978,22539547,79298838,8112363,8112363,available,0,0,unestablished
structural,none,intersection,local-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8128481,62.0154,22613129,79298838,8140859,8140859,available,0,0,unestablished
structural,none,intersection,local-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8194798,62.5213,22692518,79298838,8189702,8189702,available,0,0,unestablished
structural,none,intersection,local-frame,selected,0,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9865885,4.70442,27016408,119800086,9750856,9750856,available,0,0,unestablished
structural,none,intersection,local-frame,selected,1,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9721051,4.63536,27054723,119800086,9733222,9733222,available,0,0,unestablished
structural,none,intersection,local-frame,selected,2,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9767090,4.65731,27059929,119800086,9760475,9760475,available,0,0,unestablished
structural,none,intersection,local-frame,selected,3,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9724025,4.63678,27054427,119800086,9736283,9736283,available,0,0,unestablished
structural,none,intersection,local-frame,selected,4,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,9709748,4.62997,27040525,119800086,9722806,9722806,available,0,0,unestablished
structural,none,intersection,local-inline,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8362562,63.8013,23225083,77332758,8367211,8367211,available,0,0,unestablished
structural,none,intersection,local-inline,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8201003,62.5687,22826501,77332758,8213268,8213268,available,0,0,unestablished
structural,none,intersection,local-inline,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8125326,61.9913,22602105,77332758,8137440,8137440,available,0,0,unestablished
structural,none,intersection,local-inline,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8266252,63.0665,23002086,77332758,8278436,8278436,available,0,0,unestablished
structural,none,intersection,local-inline,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8253333,62.9679,22972238,77332758,8265666,8265666,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8391002,64.0183,23430738,79298838,8424559,8424559,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8341915,63.6438,23206268,79298838,8354399,8354399,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8213404,62.6633,22734734,79298838,8208346,8208346,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8177511,62.3895,22735985,79298838,8192969,8192969,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8114013,61.905,22570968,79298838,8126770,8126770,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8641194,65.9271,22595386,79298838,8256102,8256102,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8096892,61.7744,22299952,79298838,8074062,8074062,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8158096,62.2413,22689502,79298838,8173789,8173789,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8033345,61.2896,22330919,79298838,8045614,8045614,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8112079,61.8903,22573550,79298838,8124333,8124333,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8290318,63.2501,23013694,79298838,8295049,8295049,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8366172,63.8288,23275786,79298838,8378239,8378239,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8288855,63.2389,23053090,79298838,8301313,8301313,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8157441,62.2363,22699934,79298838,8169949,8169949,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,7996608,61.0093,22248807,79298838,8009109,8009109,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,0,8,16384,131072,0,0,0,0,65241,65536,65536,0,8000849,61.0416,22334088,78512406,8031988,8031988,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,1,8,16384,131072,0,0,0,0,65241,65536,65536,0,8361821,63.7956,23351688,78512406,8383950,8383950,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,2,8,16384,131072,0,0,0,0,65241,65536,65536,0,8166583,62.3061,22726027,78512406,8178855,8178855,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,3,8,16384,131072,0,0,0,0,65241,65536,65536,0,8287626,63.2296,23057704,78512406,8299683,8299683,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,4,8,16384,131072,0,0,0,0,65241,65536,65536,0,8352998,63.7283,23135498,78512406,8349793,8349793,available,0,0,unestablished
structural,none,union,plain,complete,0,8,16384,131072,0,0,0,0,65536,65536,65536,0,7633408,58.2383,21313496,74449174,7658521,7658521,available,0,0,unestablished
structural,none,union,plain,complete,1,8,16384,131072,0,0,0,0,65536,65536,65536,0,7435671,56.7297,20683922,74449174,7447455,7447455,available,0,0,unestablished
structural,none,union,plain,complete,2,8,16384,131072,0,0,0,0,65536,65536,65536,0,7343024,56.0228,20427902,74449174,7355570,7355570,available,0,0,unestablished
structural,none,union,plain,complete,3,8,16384,131072,0,0,0,0,65536,65536,65536,0,7298285,55.6815,20176526,74449174,7296098,7296098,available,0,0,unestablished
structural,none,union,plain,complete,4,8,16384,131072,0,0,0,0,65536,65536,65536,0,7364075,56.1834,20485444,74449174,7376173,7376173,available,0,0,unestablished
structural,none,union,plain,selected,0,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,10450317,2.49155,28783630,84410646,10407866,10407866,available,0,0,unestablished
structural,none,union,plain,selected,1,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,10481918,2.49908,28977789,84410646,10468125,10468125,available,0,0,unestablished
structural,none,union,plain,selected,2,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,10446855,2.49072,29094320,84410646,10458622,10458622,available,0,0,unestablished
structural,none,union,plain,selected,3,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,10472867,2.49693,29045729,84410646,10469906,10469906,available,0,0,unestablished
structural,none,union,plain,selected,4,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,10618929,2.53175,29567722,84410646,10634835,10634835,available,0,0,unestablished
structural,none,union,local-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,8119265,61.9451,22670387,79298838,8153423,8153423,available,0,0,unestablished
structural,none,union,local-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,8600891,65.6196,23929570,79298838,8614254,8614254,available,0,0,unestablished
structural,none,union,local-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,8599073,65.6057,23936454,79298838,8611580,8611580,available,0,0,unestablished
structural,none,union,local-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,8306213,63.3714,23122633,79298838,8319062,8319062,available,0,0,unestablished
structural,none,union,local-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,8696873,66.3519,24056052,79298838,8690403,8690403,available,0,0,unestablished
