dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,all,intersection,bec-plain-frame,complete,5,8769.32,8762.24,8792.43,24395.4365234375,22.44618385285219
census-income,all,intersection,local-frame,complete,5,10017.1,9963.77,10021.0,27814.6015625,25.64003460615027
census-income,all,intersection,local-frame,selected,5,10012.3,9956.01,10158.1,27810.400390625,25.630503788654515
census-income,all,intersection,local-inline,complete,5,9603.37,9584.11,9683.09,26735.728515625,24.581040334594377
census-income,all,intersection,local-point,complete,5,11953.6,11897.0,12044.9,33224.53125,30.596751322047087
census-income,all,intersection,mixed-frame,complete,5,9996.47,9939.82,10073.8,27756.232421875,25.587229511469683
census-income,all,intersection,mixed-frame-point,complete,5,10445.5,10392.8,10458.4,29018.77734375,26.73657859845091
census-income,all,intersection,mixed-point-frame,complete,5,11066.7,11008.7,11090.1,30761.609375,28.326618579816834
census-income,all,intersection,plain,complete,5,390.682,387.908,392.173,1085.6452026367188,1.0
census-income,all,intersection,plain,selected,5,390.64,388.724,392.123,1084.8545532226562,1.0
census-income,all,union,bec-plain-frame,complete,5,8814.83,8788.25,8911.63,24534.046875,22.37101837681998
census-income,all,union,local-frame,complete,5,21694.7,21611.5,21860.8,60285.98046875,55.05863781599832
census-income,all,union,local-frame,selected,5,21713.3,21576.6,22087.9,60284.984375,55.16702575255594
census-income,all,union,local-inline,complete,5,21575.3,21447.0,21756.8,59911.046875,54.75561443447056
census-income,all,union,local-point,complete,5,23573.9,23438.6,23875.6,65477.1953125,59.827829931299476
census-income,all,union,mixed-frame,complete,5,21662.4,21549.1,21670.3,60183.6875,54.97666415416125
census-income,all,union,mixed-frame-point,complete,5,22125.7,22004.9,22152.2,61480.33203125,56.15246593524842
census-income,all,union,mixed-point-frame,complete,5,22674.6,22549.3,22940.4,62987.0859375,57.545510609625175
census-income,all,union,plain,complete,5,394.029,393.157,394.623,1095.9103393554688,1.0
census-income,all,union,plain,selected,5,393.592,391.81,398.829,1091.6671142578125,1.0
census-income,cluster32,intersection,bec-plain-frame,complete,5,1095.99,1094.75,1104.85,3047.7298583984375,10.34587246896682
census-income,cluster32,intersection,local-frame,complete,5,1240.48,1240.14,1251.75,3444.538330078125,11.709822060697597
census-income,cluster32,intersection,local-frame,selected,5,1157.57,1156.48,1158.3,3221.1024169921875,24.489299405099388
census-income,cluster32,intersection,local-inline,complete,5,1173.58,1164.33,1178.62,3265.634033203125,11.078302732807852
census-income,cluster32,intersection,local-point,complete,5,1516.89,1507.98,1517.21,4217.233642578125,14.319063576721575
census-income,cluster32,intersection,mixed-frame,complete,5,1240.15,1233.17,1245.91,3443.3095703125,11.706706942936707
