dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,cheap,full,predict,0,16,512,8192,0,63944192,7386364,901.656,20593914,88910631,7440043,7440043,available,0,0,unestablished
structural,cheap,full,predict,1,16,512,8192,0,63944192,7408967,904.415,20588755,88910631,7421803,7421803,available,0,0,unestablished
structural,cheap,full,predict,2,16,512,8192,0,63944192,7404071,903.817,20588703,88910631,7417072,7417072,available,0,0,unestablished
structural,cheap,full,predict,3,16,512,8192,0,63944192,7409103,904.432,20590041,88910631,7424075,7424075,available,0,0,unestablished
structural,cheap,full,predict,4,16,512,8192,0,63944192,7403729,903.776,20591428,88910631,7416662,7416662,available,0,0,unestablished
structural,cheap,full,encode,0,16,64,1024,1024,7756736,6502476,6350.07,18159222,65376039,6527923,6527923,available,0,0,unestablished
structural,cheap,full,encode,1,16,64,1024,1024,7756736,6534273,6381.13,18161258,65376039,6546792,6546792,available,0,0,unestablished
structural,cheap,full,encode,2,16,64,1024,1024,7756736,6536444,6383.25,18156645,65376039,6549001,6549001,available,0,0,unestablished
structural,cheap,full,encode,3,16,64,1024,1024,7756736,6630345,6474.95,18161714,65376039,6594128,6594128,available,0,0,unestablished
structural,cheap,full,encode,4,16,64,1024,1024,7756736,6608386,6453.5,18162601,65376039,6591450,6591450,available,0,0,unestablished
structural,cheap,full,predict-then-encode,0,16,512,8192,0,67108864,7392726,902.432,20640964,88952615,7417721,7417721,available,0,0,unestablished
structural,cheap,full,predict-then-encode,1,16,512,8192,0,67108864,7469440,911.797,20644451,88952615,7467470,7467470,available,0,0,unestablished
structural,cheap,full,predict-then-encode,2,16,512,8192,0,67108864,7423434,906.181,20633504,88952615,7436118,7436118,available,0,0,unestablished
structural,cheap,full,predict-then-encode,3,16,512,8192,0,67108864,7418242,905.547,20630356,88952615,7429958,7429958,available,0,0,unestablished
structural,cheap,full,predict-then-encode,4,16,512,8192,0,67108864,7420412,905.812,20627784,88952615,7432372,7432372,available,0,0,unestablished
structural,cheap,sample32,predict,0,16,2048,32768,0,260358144,5056642,154.316,14122912,50921767,5080702,5080702,available,0,0,unestablished
structural,cheap,sample32,predict,1,16,2048,32768,0,260358144,5059667,154.409,14125900,50921767,5103996,5103996,available,0,0,unestablished
structural,cheap,sample32,predict,2,16,2048,32768,0,260358144,5087448,155.257,14115627,50921767,5100080,5100080,available,0,0,unestablished
structural,cheap,sample32,predict,3,16,2048,32768,0,260358144,5090127,155.338,14120550,50921767,5100788,5100788,available,0,0,unestablished
structural,cheap,sample32,predict,4,16,2048,32768,0,260358144,5083905,155.148,14116334,50921767,5097339,5097339,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,0,16,2048,32768,0,268435456,5102518,155.716,14158250,51089703,5112255,5112255,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,1,16,2048,32768,0,268435456,5141254,156.899,14162367,51089703,5136829,5136829,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,2,16,2048,32768,0,268435456,5102956,155.73,14159816,51089703,5117295,5117295,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,3,16,2048,32768,0,268435456,5099604,155.628,14164160,51089703,5111299,5111299,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,4,16,2048,32768,0,268435456,5099720,155.631,14167784,51089703,5111712,5111712,available,0,0,unestablished
structural,quadrants,full,predict,0,16,256,4096,0,31616512,6987467,1705.92,19493740,83796519,7009221,7009221,available,0,0,unestablished
structural,quadrants,full,predict,1,16,256,4096,0,31616512,6995291,1707.83,19455802,83796519,7008261,7008261,available,0,0,unestablished
structural,quadrants,full,predict,2,16,256,4096,0,31616512,7036563,1717.91,19426659,83796519,7032751,7032751,available,0,0,unestablished
structural,quadrants,full,predict,3,16,256,4096,0,31616512,6923599,1690.33,19245105,83796519,6936868,6936868,available,0,0,unestablished
structural,quadrants,full,predict,4,16,256,4096,0,31616512,6933538,1692.76,19274804,83796519,6945929,6945929,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,0,16,256,4096,0,33554432,7152319,1746.17,19964053,83817511,7174416,7174416,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,1,16,256,4096,0,33554432,7165367,1749.36,19916927,83817511,7177586,7177586,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,2,16,256,4096,0,33554432,7213713,1761.16,19934916,83817511,7209365,7209365,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,3,16,256,4096,0,33554432,7173088,1751.24,19945901,83817511,7185007,7185007,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,4,16,256,4096,0,33554432,7227923,1764.63,19890619,83817511,7201078,7201078,available,0,0,unestablished
structural,quadrants,sample32,predict,0,16,2048,32768,0,257261568,8341299,254.556,23239652,88805671,8368844,8368844,available,0,0,unestablished
structural,quadrants,sample32,predict,1,16,2048,32768,0,257261568,8397211,256.263,23238359,88805671,8386807,8386807,available,0,0,unestablished
structural,quadrants,sample32,predict,2,16,2048,32768,0,257261568,8392597,256.122,23230931,88805671,8393079,8393079,available,0,0,unestablished
structural,quadrants,sample32,predict,3,16,2048,32768,0,257261568,8354605,254.962,23220524,88805671,8369829,8369829,available,0,0,unestablished
structural,quadrants,sample32,predict,4,16,2048,32768,0,257261568,8346220,254.706,23232585,88805671,8358547,8358547,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,0,16,2048,32768,0,268435456,8344828,254.664,23190902,88973607,8350605,8350605,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,1,16,2048,32768,0,268435456,8372840,255.519,23266234,88973607,8384414,8384414,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,2,16,2048,32768,0,268435456,8411216,256.69,23244097,88973607,8410362,8410362,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,3,16,2048,32768,0,268435456,8330579,254.229,23186562,88973607,8342385,8342385,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,4,16,2048,32768,0,268435456,8331021,254.243,23179716,88973607,8343047,8343047,available,0,0,unestablished
random_dense,cheap,full,predict,0,16,512,8192,0,83533312,7407754,904.267,20660095,89313575,7438288,7438288,available,0,0,unestablished
random_dense,cheap,full,predict,1,16,512,8192,0,83533312,7432759,907.319,20665045,89313575,7444841,7444841,available,0,0,unestablished
random_dense,cheap,full,predict,2,16,512,8192,0,83533312,7429525,906.924,20654337,89313575,7441956,7441956,available,0,0,unestablished
random_dense,cheap,full,predict,3,16,512,8192,0,83533312,7439229,908.109,20649031,89313575,7451702,7451702,available,0,0,unestablished
random_dense,cheap,full,predict,4,16,512,8192,0,83533312,7428565,906.807,20649325,89313575,7440579,7440579,available,0,0,unestablished
random_dense,cheap,full,encode,0,16,64,1024,1024,10260672,6546131,6392.71,18271522,65848231,6571742,6571742,available,0,0,unestablished
