dataset,model,scan,stage,repetitions,median_ns,min_ns,max_ns,cycles_per_call
census-income,cheap,full,encode,5,1678.6,1674.61,1686.34,7486.1767578125
census-income,cheap,full,predict,5,445.223,444.614,447.101,1980.8692016601562
census-income,cheap,full,predict-then-encode,5,1902.75,1891.57,1907.57,8447.646484375
census-income,cheap,sample32,predict,5,79.188,78.9942,80.5509,350.95855712890625
census-income,cheap,sample32,predict-then-encode,5,1540.75,1537.83,1545.8,6855.31982421875
census-income,quadrants,full,predict,5,907.448,904.868,908.384,4037.50830078125
census-income,quadrants,full,predict-then-encode,5,2359.36,2347.88,2370.43,10514.68701171875
census-income,quadrants,sample32,predict,5,134.442,133.879,135.995,598.4577331542969
census-income,quadrants,sample32,predict-then-encode,5,1605.66,1596.68,1621.32,7127.967529296875
census-income_srt,cheap,full,encode,5,593.442,592.922,593.907,2633.4608764648438
census-income_srt,cheap,full,predict,5,275.076,273.617,276.593,1222.022216796875
census-income_srt,cheap,full,predict-then-encode,5,864.336,861.867,864.89,3841.868896484375
census-income_srt,cheap,sample32,predict,5,51.8648,51.6031,52.082,230.14678192138672
census-income_srt,cheap,sample32,predict-then-encode,5,643.359,643.205,644.958,2868.768310546875
census-income_srt,quadrants,full,predict,5,649.639,646.939,652.255,2886.7596435546875
census-income_srt,quadrants,full,predict-then-encode,5,1243.49,1237.0,1249.49,5520.331787109375
census-income_srt,quadrants,sample32,predict,5,97.1114,96.6277,97.2539,431.0959167480469
census-income_srt,quadrants,sample32,predict-then-encode,5,698.56,693.94,700.714,3111.9000244140625
census1881,cheap,full,encode,5,1475.8,1472.04,1477.21,6564.4130859375
census1881,cheap,full,predict,5,404.097,403.798,405.512,1800.8032836914062
census1881,cheap,full,predict-then-encode,5,1877.37,1871.36,1880.57,8347.4921875
census1881,cheap,sample32,predict,5,70.4181,70.0149,70.9538,313.2439498901367
census1881,cheap,sample32,predict-then-encode,5,1552.8,1547.56,1556.42,6899.803955078125
census1881,quadrants,full,predict,5,846.881,845.586,857.578,3769.604248046875
census1881,quadrants,full,predict-then-encode,5,2324.7,2320.17,2326.77,10331.179443359375
census1881,quadrants,sample32,predict,5,122.739,121.981,122.847,544.2954254150391
census1881,quadrants,sample32,predict-then-encode,5,1607.31,1598.82,1614.04,7120.57275390625
census1881_srt,cheap,full,encode,5,142.433,142.218,143.455,630.5891723632812
census1881_srt,cheap,full,predict,5,193.936,193.655,195.957,860.1789855957031
census1881_srt,cheap,full,predict-then-encode,5,338.126,335.681,339.61,1493.9966430664062
census1881_srt,cheap,sample32,predict,5,35.7207,35.1735,35.8177,158.41801071166992
census1881_srt,cheap,sample32,predict-then-encode,5,178.072,173.881,188.158,782.4234619140625
census1881_srt,quadrants,full,predict,5,531.309,529.415,531.712,2357.6093139648438
census1881_srt,quadrants,full,predict-then-encode,5,687.205,682.01,689.996,3042.6505126953125
census1881_srt,quadrants,sample32,predict,5,73.9477,73.8175,74.4012,328.1827926635742
census1881_srt,quadrants,sample32,predict-then-encode,5,231.728,231.495,232.485,1029.8687744140625
dimension_003,cheap,full,encode,5,158.959,158.025,161.571,705.5633544921875
dimension_003,cheap,full,predict,5,191.195,190.663,191.885,850.2890930175781
dimension_003,cheap,full,predict-then-encode,5,349.227,348.039,350.931,1551.0803833007812
dimension_003,cheap,sample32,predict,5,35.0139,34.9402,35.4462,155.65125274658203
dimension_003,cheap,sample32,predict-then-encode,5,195.875,195.506,196.214,868.5567321777344
dimension_003,quadrants,full,predict,5,528.774,528.075,532.489,2346.2838134765625
dimension_003,quadrants,full,predict-then-encode,5,691.405,689.831,695.528,3064.9949951171875
dimension_003,quadrants,sample32,predict,5,73.5426,73.3829,73.728,326.9032287597656
dimension_003,quadrants,sample32,predict-then-encode,5,238.72,238.477,239.548,1063.0036010742188
dimension_008,cheap,full,encode,5,148.071,147.868,149.151,657.8828430175781
dimension_008,cheap,full,predict,5,187.524,187.147,187.771,832.8642272949219
dimension_008,cheap,full,predict-then-encode,5,335.298,334.784,336.01,1491.92236328125
dimension_008,cheap,sample32,predict,5,34.5255,34.2687,34.6762,152.99404525756836
dimension_008,cheap,sample32,predict-then-encode,5,182.954,181.211,183.647,811.1670532226562
dimension_008,quadrants,full,predict,5,524.985,523.846,527.976,2329.58251953125
dimension_008,quadrants,full,predict-then-encode,5,671.312,670.206,673.422,2990.269775390625
dimension_008,quadrants,sample32,predict,5,72.6346,72.4391,72.8368,322.7640838623047
dimension_008,quadrants,sample32,predict-then-encode,5,225.756,225.066,227.541,1003.3480224609375
dimension_033,cheap,full,encode,5,175.492,175.387,176.044,780.9969787597656
dimension_033,cheap,full,predict,5,192.704,192.278,193.738,856.5520629882812
dimension_033,cheap,full,predict-then-encode,5,367.328,366.202,368.373,1633.3563842773438
dimension_033,cheap,sample32,predict,5,37.4044,37.2451,37.598,166.06038284301758
dimension_033,cheap,sample32,predict-then-encode,5,212.93,211.773,213.713,947.1748657226562
dimension_033,quadrants,full,predict,5,531.46,529.617,533.164,2364.3231811523438
dimension_033,quadrants,full,predict-then-encode,5,705.637,703.216,709.522,3140.8388671875
dimension_033,quadrants,sample32,predict,5,76.4788,75.9285,76.5821,339.49353790283203
dimension_033,quadrants,sample32,predict-then-encode,5,256.658,256.401,257.78,1142.4661560058594
msmarco,cheap,full,encode,5,3079.73,3065.92,3098.08,13705.2978515625
msmarco,cheap,full,predict,5,649.256,648.388,650.452,2890.2755126953125
msmarco,cheap,full,predict-then-encode,5,2362.11,2356.83,2370.86,10539.314697265625
msmarco,cheap,sample32,predict,5,111.934,111.781,112.462,499.62550354003906
msmarco,cheap,sample32,predict-then-encode,5,1834.04,1828.89,1843.72,8173.627197265625
msmarco,quadrants,full,predict,5,1212.1,1207.79,1220.07,5396.537353515625
msmarco,quadrants,full,predict-then-encode,5,2934.89,2927.34,2948.78,13043.2431640625
msmarco,quadrants,sample32,predict,5,179.765,178.75,180.006,800.2931213378906
msmarco,quadrants,sample32,predict-then-encode,5,1907.69,1898.72,1913.17,8479.858642578125
random_dense,cheap,full,encode,5,3625.28,3606.57,3638.7,16153.66357421875
random_dense,cheap,full,predict,5,717.724,710.912,729.144,3177.1202392578125
random_dense,cheap,full,predict-then-encode,5,714.891,711.149,718.325,3176.28759765625
random_dense,cheap,sample32,predict,5,123.957,123.854,124.367,552.6724090576172
random_dense,cheap,sample32,predict-then-encode,5,122.802,122.396,123.997,547.8792572021484
random_dense,quadrants,full,predict,5,1306.46,1300.26,1311.83,5819.22802734375
random_dense,quadrants,full,predict-then-encode,5,1306.1,1302.96,1320.35,5815.20751953125
random_dense,quadrants,sample32,predict,5,196.938,196.526,197.344,875.8432312011719
random_dense,quadrants,sample32,predict-then-encode,5,196.94,196.876,197.331,876.3412170410156
structural,cheap,full,encode,5,3577.26,3560.86,3586.33,15936.09375
structural,cheap,full,predict,5,715.464,712.893,724.059,3184.90087890625
structural,cheap,full,predict-then-encode,5,713.392,711.245,716.321,3182.0233154296875
structural,cheap,sample32,predict,5,124.194,123.951,124.489,552.8756103515625
structural,cheap,sample32,predict-then-encode,5,123.453,123.146,124.186,548.5250549316406
structural,quadrants,full,predict,5,1311.44,1308.97,1311.79,5849.753173828125
structural,quadrants,full,predict-then-encode,5,1314.43,1310.66,1316.26,5850.603515625
structural,quadrants,sample32,predict,5,195.909,195.456,196.776,874.5213928222656
structural,quadrants,sample32,predict-then-encode,5,196.247,195.295,196.988,874.8400573730469
terminal_mix,cheap,full,encode,5,725.001,723.611,725.546,3224.244140625
terminal_mix,cheap,full,predict,5,285.99,285.553,287.168,1270.9779052734375
terminal_mix,cheap,full,predict-then-encode,5,1007.77,1005.04,1009.0,4489.14111328125
terminal_mix,cheap,sample32,predict,5,50.1078,50.0035,50.1553,223.02117919921875
terminal_mix,cheap,sample32,predict-then-encode,5,774.486,772.671,793.497,3455.2650146484375
terminal_mix,quadrants,full,predict,5,643.789,642.898,645.164,2864.7047119140625
terminal_mix,quadrants,full,predict-then-encode,5,1367.8,1362.16,1387.09,6090.565673828125
terminal_mix,quadrants,sample32,predict,5,94.8686,94.4614,95.3002,421.8975372314453
terminal_mix,quadrants,sample32,predict-then-encode,5,828.352,826.265,832.187,3688.539306640625
uscensus2000,cheap,full,encode,5,150.557,150.464,150.816,667.9677581787109
uscensus2000,cheap,full,predict,5,189.362,188.09,189.736,840.47705078125
uscensus2000,cheap,full,predict-then-encode,5,340.852,338.12,343.664,1508.1255493164062
uscensus2000,cheap,sample32,predict,5,35.2326,34.9059,35.7329,156.84813690185547
uscensus2000,cheap,sample32,predict-then-encode,5,187.048,185.435,188.174,828.3410339355469
uscensus2000,quadrants,full,predict,5,525.962,524.818,529.653,2337.7791748046875
uscensus2000,quadrants,full,predict-then-encode,5,679.687,678.524,681.917,3012.1019287109375
uscensus2000,quadrants,sample32,predict,5,73.6274,73.3779,74.2927,327.00447845458984
uscensus2000,quadrants,sample32,predict-then-encode,5,230.519,230.022,230.758,1022.9964294433594
weather_sept_85,cheap,full,encode,5,1832.13,1828.27,1835.24,8153.245849609375
weather_sept_85,cheap,full,predict,5,467.426,466.407,475.659,2079.2977294921875
weather_sept_85,cheap,full,predict-then-encode,5,2295.38,2282.19,2300.0,10200.487548828125
weather_sept_85,cheap,sample32,predict,5,83.2066,82.9522,83.5818,370.58477783203125
weather_sept_85,cheap,sample32,predict-then-encode,5,1924.18,1914.3,1932.83,8567.794189453125
weather_sept_85,quadrants,full,predict,5,940.683,938.067,945.192,4183.4388427734375
weather_sept_85,quadrants,full,predict-then-encode,5,2773.86,2761.27,2784.33,12320.87353515625
weather_sept_85,quadrants,sample32,predict,5,141.056,140.321,141.61,625.9093627929688
weather_sept_85,quadrants,sample32,predict-then-encode,5,1980.49,1972.64,1988.56,8806.788330078125
weather_sept_85_srt,cheap,full,encode,5,440.356,437.633,441.772,1959.244873046875
weather_sept_85_srt,cheap,full,predict,5,256.272,255.145,257.581,1137.7622680664062
weather_sept_85_srt,cheap,full,predict-then-encode,5,690.495,689.665,695.506,3073.698486328125
weather_sept_85_srt,cheap,sample32,predict,5,47.2714,46.7906,47.4362,209.75147247314453
weather_sept_85_srt,cheap,sample32,predict-then-encode,5,487.298,486.291,492.195,2170.0986328125
weather_sept_85_srt,quadrants,full,predict,5,623.782,619.441,630.558,2761.744873046875
weather_sept_85_srt,quadrants,full,predict-then-encode,5,1059.41,1058.6,1064.2,4705.6636962890625
weather_sept_85_srt,quadrants,sample32,predict,5,90.8934,90.8111,91.1954,403.556884765625
weather_sept_85_srt,quadrants,sample32,predict-then-encode,5,536.729,536.295,537.922,2386.9739990234375
wikileaks-noquotes,cheap,full,encode,5,252.199,251.86,253.17,1116.5399780273438
wikileaks-noquotes,cheap,full,predict,5,210.385,209.551,211.423,933.0625915527344
wikileaks-noquotes,cheap,full,predict-then-encode,5,459.725,458.409,462.71,2040.1005249023438
wikileaks-noquotes,cheap,sample32,predict,5,38.7,38.5431,39.0119,171.54822540283203
wikileaks-noquotes,cheap,sample32,predict-then-encode,5,292.656,292.176,295.242,1301.1807556152344
wikileaks-noquotes,quadrants,full,predict,5,556.721,552.3,557.818,2461.5548706054688
wikileaks-noquotes,quadrants,full,predict-then-encode,5,805.811,803.732,808.641,3573.1771240234375
wikileaks-noquotes,quadrants,sample32,predict,5,79.0093,78.667,79.4146,350.0828857421875
wikileaks-noquotes,quadrants,sample32,predict-then-encode,5,336.43,336.121,337.469,1492.3787231445312
wikileaks-noquotes_srt,cheap,full,encode,5,208.74,208.245,209.475,925.4114074707031
wikileaks-noquotes_srt,cheap,full,predict,5,204.191,203.31,204.318,905.7230529785156
wikileaks-noquotes_srt,cheap,full,predict-then-encode,5,413.595,412.763,414.377,1837.4402465820312
wikileaks-noquotes_srt,cheap,sample32,predict,5,38.6726,38.2228,38.7761,171.41715240478516
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,5,246.591,245.714,247.822,1094.2669677734375
wikileaks-noquotes_srt,quadrants,full,predict,5,549.065,548.882,552.24,2440.5841674804688
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,5,758.192,752.818,759.655,3358.6600341796875
wikileaks-noquotes_srt,quadrants,sample32,predict,5,78.7342,78.2538,78.9664,348.7392120361328
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,5,292.395,291.361,294.369,1297.6380004882812
