dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,cheap,full,predict,0,16,512,8192,0,63944192,5840018,712.893,26122435,100481831,5871942,5871942,available,0,0,unestablished
structural,cheap,full,predict,1,16,512,8192,0,63944192,5865228,715.97,26072628,100481832,5869752,5869752,available,0,0,unestablished
structural,cheap,full,predict,2,16,512,8192,0,63944192,5843779,713.352,26059352,100481830,5849262,5849262,available,0,0,unestablished
structural,cheap,full,predict,3,16,512,8192,0,63944192,5861078,715.464,26090708,100481832,5866772,5866772,available,0,0,unestablished
structural,cheap,full,predict,4,16,512,8192,0,63944192,5931489,724.059,26120733,100481831,5880393,5880393,available,0,0,unestablished
structural,cheap,full,encode,0,16,128,2048,2048,15513472,7292641,3560.86,32637120,96379049,7310283,7310283,available,0,0,unestablished
structural,cheap,full,encode,1,16,128,2048,2048,15513472,7314641,3571.6,32585998,96379055,7319793,7319793,available,0,0,unestablished
structural,cheap,full,encode,2,16,128,2048,2048,15513472,7327101,3577.69,32589744,96379055,7332453,7332453,available,0,0,unestablished
structural,cheap,full,encode,3,16,128,2048,2048,15513472,7326220,3577.26,32646811,96379049,7331603,7331603,available,0,0,unestablished
structural,cheap,full,encode,4,16,128,2048,2048,15513472,7344810,3586.33,32665927,96379050,7350032,7350032,available,0,0,unestablished
structural,cheap,full,predict-then-encode,0,16,512,8192,0,67108864,5826518,711.245,26056574,100515110,5839172,5839172,available,0,0,unestablished
structural,cheap,full,predict-then-encode,1,16,512,8192,0,67108864,5844108,713.392,26072280,100515112,5849572,5849572,available,0,0,unestablished
structural,cheap,full,predict-then-encode,2,16,512,8192,0,67108864,5868099,716.321,26131953,100515111,5873603,5873603,available,0,0,unestablished
structural,cheap,full,predict-then-encode,3,16,512,8192,0,67108864,5848568,713.937,26067135,100515112,5854362,5854362,available,0,0,unestablished
structural,cheap,full,predict-then-encode,4,16,512,8192,0,67108864,5837628,712.601,26058424,100515111,5842892,5842892,available,0,0,unestablished
structural,cheap,sample32,predict,0,16,4096,65536,0,520716288,8124657,123.972,36233104,121561386,8139404,8139404,available,0,0,unestablished
structural,cheap,sample32,predict,1,16,4096,65536,0,520716288,8139168,124.194,36235390,121561387,8143923,8143923,available,0,0,unestablished
structural,cheap,sample32,predict,2,16,4096,65536,0,520716288,8123257,123.951,36224990,121561386,8128663,8128663,available,0,0,unestablished
structural,cheap,sample32,predict,3,16,4096,65536,0,520716288,8144108,124.269,36233256,121561386,8149953,8149953,available,0,0,unestablished
structural,cheap,sample32,predict,4,16,4096,65536,0,520716288,8158527,124.489,36240162,121561386,8164183,8164183,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,0,16,4096,65536,0,536870912,8070526,123.146,35955239,121827626,8084464,8084464,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,1,16,4096,65536,0,536870912,8100197,123.599,35932778,121827627,8105923,8105923,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,2,16,4096,65536,0,536870912,8083087,123.338,35931323,121827626,8088313,8088313,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,3,16,4096,65536,0,536870912,8090637,123.453,35948138,121827626,8095863,8095863,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,4,16,4096,65536,0,536870912,8138668,124.186,35954291,121827627,8090763,8090763,available,0,0,unestablished
structural,quadrants,full,predict,0,16,256,4096,0,31616512,5370865,1311.25,23959385,90075175,5372132,5372132,available,0,0,unestablished
structural,quadrants,full,predict,1,16,256,4096,0,31616512,5361554,1308.97,23956702,90075174,5367012,5367012,available,0,0,unestablished
structural,quadrants,full,predict,2,16,256,4096,0,31616512,5373074,1311.79,23961537,90075174,5378872,5378872,available,0,0,unestablished
structural,quadrants,full,predict,3,16,256,4096,0,31616512,5371645,1311.44,23960589,90075175,5377282,5377282,available,0,0,unestablished
structural,quadrants,full,predict,4,16,256,4096,0,31616512,5373064,1311.78,23960662,90075175,5379353,5379353,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,0,16,256,4096,0,33554432,5385315,1314.77,23960308,90091815,5385512,5385512,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,1,16,256,4096,0,33554432,5382135,1314,23967773,90091815,5387242,5387242,available,0,0,unestablished
structural,quadrants,full,predict-then-encode,2,16,256,4096,0,33554432,5383904,1314.43,23964072,90091815,5389482,5389482,available,0,0,unestablished
