suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20290487,4.83762908,0.01889698859,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78502752,142643547,0,44158975,44158975,not_applicable,0
bulk,decode,opaque,selected,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20334065,4.848018885,0.01893757377,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78448237,142643546,0,20317154,20317154,not_applicable,0
bulk,decode,opaque,selected,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20260048,4.830371857,0.01886864007,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78349120,142643545,0,20265198,20265198,not_applicable,0
bulk,decode,opaque,selected,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20547386,4.898878574,0.01913624443,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78384505,142643547,0,20352557,20352557,not_applicable,0
bulk,decode,opaque,selected,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20242922,4.8262887,0.01885269023,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78305943,142643545,0,20248777,20248777,not_applicable,0
bulk,encode,opaque,selected,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,9321563,2.222433805,0.008681382053,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,35131148,88117582,0,9339910,9339910,not_applicable,0
bulk,encode,opaque,selected,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,9360238,2.231654644,0.008717400953,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,35142875,88117583,0,9368485,9368485,not_applicable,0
bulk,encode,opaque,selected,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,9388238,2.238330364,0.008743477985,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,35153973,88117582,0,9378246,9378246,not_applicable,0
bulk,encode,opaque,selected,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,9364953,2.232778788,0.008721792139,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,35183144,88117582,0,9368558,9368558,not_applicable,0
bulk,encode,opaque,selected,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,9325891,2.223465681,0.008685412817,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,35155007,88117582,0,9342645,9342645,not_applicable,0
bulk,decode,opaque,prior,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20222257,4.82136178,0.01883344445,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78205610,142643545,0,20239007,20239007,not_applicable,0
bulk,decode,opaque,prior,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20309123,4.842072248,0.01891434472,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78405786,142643547,0,20301478,20301478,not_applicable,0
bulk,decode,opaque,prior,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,20228651,4.822886229,0.01883939933,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,78263373,142643545,0,20235465,20235465,not_applicable,0
