case,tiles,values,bytes,phase,rep,sweeps,nanos,ns_per_value,checksum
local-inline,4096,262144,393216,32,0,256,29361643,0.437523,34226975744
local-inline,4096,262144,393216,32,1,256,29368692,0.437628,34226975744
local-inline,4096,262144,393216,32,2,256,29352958,0.437393,34226975744
local-inline,4096,262144,393216,32,3,256,29379279,0.437785,34226975744
local-inline,4096,262144,393216,32,4,256,29391236,0.437964,34226975744
local-cps,4096,262144,393216,32,0,256,34040096,0.507237,34226975744
local-cps,4096,262144,393216,32,1,256,34017681,0.506903,34226975744
local-cps,4096,262144,393216,32,2,256,34007146,0.506746,34226975744
local-cps,4096,262144,393216,32,3,256,34077275,0.507791,34226975744
local-cps,4096,262144,393216,32,4,256,34015173,0.506866,34226975744
scan-inline,4096,262144,393216,32,0,512,36245487,0.27005,68453951488
scan-inline,4096,262144,393216,32,1,512,36229462,0.269931,68453951488
scan-inline,4096,262144,393216,32,2,512,36251696,0.270096,68453951488
scan-inline,4096,262144,393216,32,3,512,36242785,0.27003,68453951488
scan-inline,4096,262144,393216,32,4,512,36242817,0.27003,68453951488
scan-cps,4096,262144,393216,32,0,256,21367341,0.318398,34226975744
scan-cps,4096,262144,393216,32,1,256,21347010,0.318095,34226975744
scan-cps,4096,262144,393216,32,2,256,21352652,0.318179,34226975744
scan-cps,4096,262144,393216,32,3,256,21343769,0.318047,34226975744
scan-cps,4096,262144,393216,32,4,256,21409025,0.319019,34226975744
scan-middle-inline,4096,262144,393216,32,0,512,36244306,0.270041,68453951488
scan-middle-inline,4096,262144,393216,32,1,512,36245001,0.270046,68453951488
scan-middle-inline,4096,262144,393216,32,2,512,36227377,0.269915,68453951488
scan-middle-inline,4096,262144,393216,32,3,512,36245449,0.27005,68453951488
scan-middle-inline,4096,262144,393216,32,4,512,36240717,0.270014,68453951488
scan-middle-cps,4096,262144,393216,32,0,256,21655042,0.322685,34226975744
scan-middle-cps,4096,262144,393216,32,1,256,21648450,0.322587,34226975744
scan-middle-cps,4096,262144,393216,32,2,256,21664976,0.322833,34226975744
scan-middle-cps,4096,262144,393216,32,3,256,21647612,0.322575,34226975744
scan-middle-cps,4096,262144,393216,32,4,256,21665486,0.322841,34226975744
