case,tiles,values,bytes,phase,rep,sweeps,nanos,ns_per_value,checksum
local-inline,4096,262144,393216,32,0,1024,27170421,0.101218,136907902976
local-inline,4096,262144,393216,32,1,1024,27177900,0.101246,136907902976
local-inline,4096,262144,393216,32,2,1024,27228201,0.101433,136907902976
local-inline,4096,262144,393216,32,3,1024,27186080,0.101276,136907902976
local-inline,4096,262144,393216,32,4,1024,27182230,0.101262,136907902976
local-cps,4096,262144,393216,32,0,1024,33762496,0.125775,136907902976
local-cps,4096,262144,393216,32,1,1024,33736236,0.125677,136907902976
local-cps,4096,262144,393216,32,2,1024,33744036,0.125706,136907902976
local-cps,4096,262144,393216,32,3,1024,33698166,0.125535,136907902976
local-cps,4096,262144,393216,32,4,1024,33692316,0.125514,136907902976
scan-inline,4096,262144,393216,32,0,1024,22022634,0.0820407,136907902976
scan-inline,4096,262144,393216,32,1,1024,22008074,0.0819865,136907902976
scan-inline,4096,262144,393216,32,2,1024,22076935,0.082243,136907902976
scan-inline,4096,262144,393216,32,3,1024,22047694,0.0821341,136907902976
scan-inline,4096,262144,393216,32,4,1024,22064874,0.0821981,136907902976
scan-cps,4096,262144,393216,32,0,1024,30746155,0.114538,136907902976
scan-cps,4096,262144,393216,32,1,1024,30819426,0.114811,136907902976
scan-cps,4096,262144,393216,32,2,1024,30754615,0.11457,136907902976
scan-cps,4096,262144,393216,32,3,1024,30814355,0.114792,136907902976
scan-cps,4096,262144,393216,32,4,1024,30821746,0.11482,136907902976
scan-middle-inline,4096,262144,393216,32,0,1024,21994534,0.081936,136907902976
scan-middle-inline,4096,262144,393216,32,1,1024,22041275,0.0821101,136907902976
scan-middle-inline,4096,262144,393216,32,2,1024,21993273,0.0819313,136907902976
scan-middle-inline,4096,262144,393216,32,3,1024,22016135,0.0820165,136907902976
scan-middle-inline,4096,262144,393216,32,4,1024,21995703,0.0819404,136907902976
scan-middle-cps,4096,262144,393216,32,0,1024,33796857,0.125903,136907902976
scan-middle-cps,4096,262144,393216,32,1,1024,33739176,0.125688,136907902976
scan-middle-cps,4096,262144,393216,32,2,1024,33745476,0.125712,136907902976
scan-middle-cps,4096,262144,393216,32,3,1024,33697766,0.125534,136907902976
scan-middle-cps,4096,262144,393216,32,4,1024,33699476,0.12554,136907902976
