width,operation,native_bytes,repetition,tiles,rounds,ns_per512values
1,decode,32,0,512,8192,3.45043206
1,decode,32,1,512,8192,3.44296503
1,decode,32,2,512,8192,3.43518019
1,decode,32,3,512,8192,3.43873525
1,decode,32,4,512,8192,3.44235444
1,decode,64,0,512,8192,3.38411808
1,decode,64,1,512,8192,3.33662939
1,decode,64,2,512,8192,3.39796281
1,decode,64,3,512,8192,3.40235472
1,decode,64,4,512,8192,3.39700460
1,encode,32,0,512,8192,2.73271084
1,encode,32,1,512,8192,2.73115897
1,encode,32,2,512,8192,2.72978306
1,encode,32,3,512,8192,2.73146152
1,encode,32,4,512,8192,2.73063898
1,encode,64,0,512,8192,2.73049116
1,encode,64,1,512,8192,2.73416758
1,encode,64,2,512,8192,2.72639513
1,encode,64,3,512,8192,2.72414684
1,encode,64,4,512,8192,2.72199392
2,decode,32,0,512,8192,3.49386978
2,decode,32,1,512,8192,3.48821950
2,decode,32,2,512,8192,3.49482584
2,decode,32,3,512,8192,3.48930430
2,decode,32,4,512,8192,3.49155712
2,decode,64,0,512,8192,3.66406155
2,decode,64,1,512,8192,3.69265747
2,decode,64,2,512,8192,3.71163106
2,decode,64,3,512,8192,3.69956231
2,decode,64,4,512,8192,3.70871520
2,encode,32,0,512,8192,2.86264038
2,encode,32,1,512,8192,2.85305595
2,encode,32,2,512,8192,2.85595512
2,encode,32,3,512,8192,2.85477471
2,encode,32,4,512,8192,2.86679363
2,encode,64,0,512,8192,3.02812314
2,encode,64,1,512,8192,3.02223897
2,encode,64,2,512,8192,3.02998042
2,encode,64,3,512,8192,3.02327371
2,encode,64,4,512,8192,3.01465940
4,decode,32,0,512,8192,3.74029875
4,decode,32,1,512,8192,3.73937583
4,decode,32,2,512,8192,3.74308348
4,decode,32,3,512,8192,3.76605058
4,decode,32,4,512,8192,3.74619961
4,decode,64,0,512,8192,4.40691209
4,decode,64,1,512,8192,4.41183567
4,decode,64,2,512,8192,4.38146305
4,decode,64,3,512,8192,4.44345260
4,decode,64,4,512,8192,4.26768661
4,encode,32,0,512,8192,3.56797338
4,encode,32,1,512,8192,3.55183458
4,encode,32,2,512,8192,3.54797935
4,encode,32,3,512,8192,3.56130481
4,encode,32,4,512,8192,3.58215451
4,encode,64,0,512,8192,3.23557973
4,encode,64,1,512,8192,3.23137879
4,encode,64,2,512,8192,3.23917508
4,encode,64,3,512,8192,3.23197961
4,encode,64,4,512,8192,3.24333549
