suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23240525,5.540972948,0.02164442558,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,89970510,197169501,0,47977179,47977179,not_applicable,0
bulk,decode,opaque,selected,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23312616,5.558160782,0.02171156555,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,89930112,197169501,0,23281177,23281177,not_applicable,0
bulk,decode,opaque,selected,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23297533,5.554564714,0.02169751842,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,89930164,197169500,0,23260818,23260818,not_applicable,0
bulk,decode,opaque,selected,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23343722,5.56557703,0.02174053527,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,89928168,197169502,0,23298406,23298406,not_applicable,0
bulk,decode,opaque,selected,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23246497,5.542396784,0.02164998744,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,89932557,197169500,0,23253996,23253996,not_applicable,0
bulk,encode,opaque,selected,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,22279421,5.311827898,0.02074932773,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,86000153,159420765,0,22268217,22268217,not_applicable,0
bulk,encode,opaque,selected,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,22191216,5.290798187,0.02066718042,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,85965829,159420763,0,22209861,22209861,not_applicable,0
bulk,encode,opaque,selected,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,22243112,5.303171158,0.02071551234,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,85985967,159420765,0,22242968,22242968,not_applicable,0
bulk,encode,opaque,selected,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,22258454,5.306828976,0.02072980069,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,85986217,159420764,0,22236683,22236683,not_applicable,0
bulk,encode,opaque,selected,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,22400564,5.34071064,0.02086215094,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,86005203,159420768,0,22314743,22314743,not_applicable,0
