suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,30615586,7.299324512,0.02851298638,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,84790460,222335276,1893606,30531396,30531396,not_applicable,0
bulk,decode,opaque,selected,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,30463897,7.263159037,0.02837171499,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,84870979,222335276,1916155,30480875,30480875,not_applicable,0
bulk,decode,opaque,selected,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,30613191,7.2987535,0.02851075586,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,84838931,222335276,1864144,30531139,30531139,not_applicable,0
bulk,decode,opaque,selected,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,30525970,7.277958393,0.02842952497,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,84898950,222335276,1859412,30511829,30511829,not_applicable,0
bulk,decode,opaque,selected,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,30462272,7.262771606,0.02837020159,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,84905931,222335276,1884387,30479832,30479832,not_applicable,0
bulk,encode,opaque,selected,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,29413490,7.012722492,0.02739344724,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,81873368,205558060,271188,29416744,29416744,not_applicable,0
bulk,encode,opaque,selected,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,29327670,6.99226141,0.02731352113,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,81877927,205558060,211106,29358154,29358154,not_applicable,0
bulk,encode,opaque,selected,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,29383356,7.005537987,0.02736538276,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,81868778,205558060,203849,29389705,29389705,not_applicable,0
bulk,encode,opaque,selected,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,29406045,7.010947466,0.02738651354,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,81894158,205558060,181694,29413298,29413298,not_applicable,0
bulk,encode,opaque,selected,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,262144,229376,491520,32,0,7168,64,4096,29484663,7.029691458,0.02745973226,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,81822466,205558060,180989,29432542,29432542,not_applicable,0
bulk,decode,opaque,prior,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,43983658,10.48652124,0.04096297361,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,122172457,327192876,17674840,43940741,43940741,not_applicable,0
bulk,decode,opaque,prior,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,43933569,10.4745791,0.04091632459,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,122177823,327192876,17687446,43914925,43914925,not_applicable,0
bulk,decode,opaque,prior,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,43864852,10.45819569,0.0408523269,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,122168514,327192876,17692863,43856056,43856056,not_applicable,0
bulk,decode,opaque,prior,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,43864993,10.4582293,0.04085245822,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,122197151,327192876,17675318,43860271,43860271,not_applicable,0
