suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23391573,5.576985598,0.02178509999,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90588357,163615068,0,23428475,23428475,not_applicable,0
bulk,decode,opaque,selected,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23631835,5.634268522,0.02200886142,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90565123,163615074,0,23530545,23530545,not_applicable,0
bulk,decode,opaque,selected,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23449114,5.590704441,0.02183868922,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90541396,163615070,0,23438763,23438763,not_applicable,0
bulk,decode,opaque,selected,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23441499,5.588888884,0.0218315972,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90545687,163615070,0,23432059,23432059,not_applicable,0
bulk,decode,opaque,selected,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23498147,5.602394819,0.02188435476,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90565920,163615069,0,23444294,23444294,not_applicable,0
bulk,decode,opaque,prior,scan,7,0,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23417710,5.583217144,0.02180944197,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90513272,218141021,0,23415190,23415190,not_applicable,0
bulk,decode,opaque,prior,scan,7,1,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23350750,5.567252636,0.02174708061,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90451602,218141020,0,23368078,23368078,not_applicable,0
bulk,decode,opaque,prior,scan,7,2,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23423505,5.58459878,0.02181483898,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90422216,218141022,0,23409192,23409192,not_applicable,0
bulk,decode,opaque,prior,scan,7,3,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23431605,5.58652997,0.0218223827,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90423307,218141021,0,23399578,23399578,not_applicable,0
bulk,decode,opaque,prior,scan,7,4,0,262144,4194304,256,4096,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,23391907,5.577065229,0.02178541105,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,90441103,218141021,0,23389402,23389402,not_applicable,0
