suite,operation,arm,cpu,repetition,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_line_visits,required_unique_payload_lines,payload_lines,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns
bulk,decode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22108603,42.1688137054,0.164721928537,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84850572,56660278,0,74386688,74386688
bulk,decode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22225205,42.3912143707,0.165590681136,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84792615,56660281,0,22105484,22105484
bulk,decode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22048297,42.0537891388,0.164272613823,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84821939,56660280,0,22027516,22027516
bulk,decode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,21967447,41.8995800018,0.163670234382,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84667342,56660278,0,21974244,21974244
bulk,decode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22048556,42.0542831421,0.164274543524,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84787415,56660280,0,22074057,22074057
bulk,encode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,25430367,48.5045757294,0.189470998943,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,96746975,39883068,0,25380506,25380506
bulk,encode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,25437182,48.5175743103,0.18952177465,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,96722772,39883069,0,25428234,25428234
bulk,encode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,25278584,48.2150726318,0.188340127468,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,96723792,39883068,0,25286142,25286142
bulk,encode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,25255369,48.1707935333,0.18816716224,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,96721398,39883069,0,25247950,25247950
bulk,encode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,25200176,48.0655212402,0.187755942345,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,96711421,39883067,0,25152165,25152165
bulk,sum,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9162383,17.4758586884,0.0682650730014,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34064426,59269419,0,9152817,9152817
