suite,operation,arm,cpu,repetition,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_line_visits,required_unique_payload_lines,payload_lines,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns
bulk,decode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22068724,42.0927505493,0.164424806833,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84825297,56660278,0,69830016,69830016
bulk,decode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22221927,42.3849620819,0.165566258132,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84821078,56660278,0,22162380,22162380
bulk,decode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22233362,42.4067726135,0.165651455522,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84781789,56660279,0,22221911,22221911
bulk,decode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22071257,42.0975818634,0.164443679154,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84697445,56660278,0,22075649,22075649
bulk,decode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,22222873,42.3867664337,0.165573306382,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,84751101,56660279,0,22214345,22214345
bulk,encode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,22808389,43.5035495758,0.16993574053,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87410722,57184569,0,22814986,22814986
bulk,encode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,22949876,43.7734146118,0.170989900827,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87820533,57184569,0,22892138,22892138
bulk,encode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,22871569,43.6240558624,0.170406468213,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87592290,57184573,0,22801030,22801030
bulk,encode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,22853215,43.5890483856,0.170269720256,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87549754,57184570,0,22846152,22846152
bulk,encode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,22904201,43.686296463,0.170649595559,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87596824,57184570,0,22895655,22895655
bulk,sum,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9500521,18.1208057404,0.0707843974233,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34469659,59269420,0,9443101,9443101
bulk,sum,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9309639,17.7567272186,0.0693622156978,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34137735,59269418,0,9317239,9317239
bulk,sum,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9257266,17.6568336487,0.0689720064402,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34034468,59269418,0,9265458,9265458
bulk,sum,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9404573,17.9377994537,0.0700695291162,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34278026,59269419,0,9412355,9412355
bulk,sum,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,9248895,17.6408672333,0.06890963763,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,34025324,59269419,0,9238543,9238543
bulk,decode,prior_shape,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,54071049,103.132341385,0.402860708535,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,198667087,702583127,0,53944402,53944402
bulk,decode,prior_shape,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,53754207,102.528013229,0.400500051677,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,198753323,702583128,0,53655455,53655455
bulk,decode,prior_shape,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,53275412,101.614784241,0.39693275094,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,198719224,702583127,0,53267391,53267391
bulk,decode,prior_shape,0,3,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,54115141,103.216440201,0.403189219534,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,198734730,702583127,0,54105804,54105804
bulk,decode,prior_shape,0,4,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,54232659,103.440587997,0.404064796865,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,198767473,702583127,0,54224771,54224771
bulk,encode,prior_shape,0,0,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,41842333,79.8079166412,0.31174967438,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,159861722,483430733,0,41789439,41789439
bulk,encode,prior_shape,0,1,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,41904086,79.9257011414,0.312209770083,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,159913381,483430732,0,41894866,41894866
bulk,encode,prior_shape,0,2,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,41511114,79.1761665344,0.309281900525,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,159752813,483430732,0,41517443,41517443
bulk,encode,prior_shape,0,3,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,41569505,79.2875385284,0.309716947377,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,159842639,483430734,0,41561557,41561557
bulk,encode,prior_shape,0,4,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,42932339,81.8869380951,0.319870851934,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,159963150,483430741,0,42179912,42179912
bulk,sum,prior_shape,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,57534057,109.737504959,0.428662128747,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,212593779,738746716,0,57443391,57443391
bulk,sum,prior_shape,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,57041313,108.797670364,0.424990899861,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,212634760,738746716,0,57021172,57021172
bulk,sum,prior_shape,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,57040424,108.795974731,0.424984276295,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,212644301,738746716,0,57017581,57017581
