suite,operation,logical_values,arm,repetitions,median_ns,min_ns,max_ns,median_cycles,ratio_to_local,mean_required_lines_per_request,max_major_faults,max_minor_faults
bulk,decode,32768,fixed_planes,5,26.0249986649,25.5760564804,26.0946369171,115.88002586364746,1.0650661994064223,28.0,0,0
bulk,decode,32768,local_aos7,5,24.4350996017,24.3441753387,24.624174118,108.8525619506836,1.0,28.0,0,0
bulk,decode,32768,plain_u64,5,28.6043081284,28.4427270889,28.6707229614,127.70696830749512,1.1706237582272814,32.0,0,0
bulk,decode,32768,prior_shape,5,47.7288866043,47.7187786102,47.8768310547,212.87964248657227,1.9532920832039256,28.0,0,0
bulk,encode,32768,fixed_planes,5,18.7588062286,18.3575668335,19.5007276535,83.32179355621338,0.8184931870216402,28.0,0,0
bulk,encode,32768,local_aos7,5,22.9187078476,22.7573843002,23.1033391953,102.16434669494629,1.0,28.0,0,0
bulk,encode,32768,plain_u64,5,19.9098348618,19.8039865494,20.1825761795,88.6231861114502,0.8687154177361233,32.0,0,0
bulk,encode,32768,prior_shape,5,30.8035593033,30.7289247513,30.9714641571,137.13606548309326,1.3440356021871314,28.0,0,0
bulk,sum,32768,fixed_planes,5,21.5094242096,21.4533481598,22.441365242,95.85241794586182,2.0273574066528424,28.0,0,0
bulk,sum,32768,local_aos7,5,10.6095867157,10.5447940826,10.9354190826,47.15606117248535,1.0,28.0,0,0
bulk,sum,32768,plain_u64,5,14.0779209137,13.9812002182,14.2666540146,62.50284481048584,1.326905683599115,32.0,0,0
bulk,sum,32768,prior_shape,5,31.8002738953,31.7689828873,31.8773880005,141.82292938232422,2.997315046046247,28.0,0,0
