suite,operation,arm,cpu,repetition,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_line_visits,required_unique_payload_lines,payload_lines,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns
bulk,decode,local_aos7,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,25563068,24.3788414001,0.0952298492193,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,113976388,113320256,4230,42269936,42269936
bulk,decode,local_aos7,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,25820318,24.624174118,0.0961881801486,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,115275634,113320256,3309,25830060,25830060
bulk,decode,local_aos7,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,25622059,24.4350996017,0.0954496078193,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,114313788,113320258,2237,25603520,25603520
bulk,decode,local_aos7,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,25526718,24.3441753387,0.095094434917,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,113780526,113320255,1759,25524370,25524370
bulk,decode,local_aos7,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,25658459,24.4698133469,0.0955852083862,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,114140184,113320258,2780,25609760,25609760
bulk,encode,local_aos7,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,24219997,23.0979890823,0.0902265198529,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,107668511,114368833,1862,24169939,24169939
bulk,encode,local_aos7,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,23862847,22.7573843002,0.0888960324228,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,106215695,114368833,1747,23841730,23841730
bulk,encode,local_aos7,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,23961497,22.8514642715,0.0892635323107,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,107040410,114368832,1128,23971999,23971999
bulk,encode,local_aos7,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,24032007,22.9187078476,0.0895262025297,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,107127082,114368831,905,24043809,24043809
bulk,encode,local_aos7,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,24225607,23.1033391953,0.0902474187315,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,107872158,114368833,1396,24216159,24216159
bulk,sum,local_aos7,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,11057018,10.5447940826,0.0411906018853,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,49444572,118538542,39,11101554,11101554
bulk,sum,local_aos7,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,11093238,10.5793361664,0.0413255318999,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,49443785,118538543,33,11101714,11101714
bulk,sum,local_aos7,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,11466618,10.9354190826,0.0427164807916,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,49454533,118538547,2127,11242805,11242805
bulk,sum,local_aos7,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,11219808,10.7000427246,0.041797041893,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,49454942,118538551,307,11181244,11181244
bulk,sum,local_aos7,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,11124958,10.6095867157,0.0414436981082,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,49446714,118538547,251,11121124,11121124
bulk,decode,prior_shape,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,50202496,47.8768310547,0.187018871307,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,223209277,742465889,2997,50064680,50064680
bulk,decode,prior_shape,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,50038075,47.7200269699,0.186406355351,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,223220484,742465887,1949,50013279,50013279
bulk,decode,prior_shape,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,50047365,47.7288866043,0.186440963298,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,223176652,742465888,1646,50034539,50034539
bulk,decode,prior_shape,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,50187076,47.8621253967,0.186961427331,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,223242047,742465886,2601,50099139,50099139
bulk,decode,prior_shape,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,50036766,47.7187786102,0.186401478946,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,223226000,742465888,1864,50022020,50022020
bulk,encode,prior_shape,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,32475934,30.9714641571,0.120982281864,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,143737125,515973456,2446,32349412,32349412
bulk,encode,prior_shape,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,32352343,30.8535985947,0.12052186951,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,143805852,515973452,1870,32300083,32300083
bulk,encode,prior_shape,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,32253643,30.7594709396,0.120154183358,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,143797587,515973452,1008,32241272,32241272
bulk,encode,prior_shape,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,32299873,30.8035593033,0.120326403528,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,143835432,515973451,1369,32259093,32259093
bulk,encode,prior_shape,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,32221613,30.7289247513,0.12003486231,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,143771377,515973450,777,32233382,32233382
bulk,sum,prior_shape,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,33312193,31.7689828873,0.124097589403,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,148732827,638632267,85,33308473,33308473
bulk,sum,prior_shape,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,33367204,31.8214454651,0.124302521348,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,148685593,638632267,130,33317693,33317693
bulk,sum,prior_shape,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,33312924,31.7696800232,0.124100312591,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,148712120,638632268,67,33310913,33310913
bulk,sum,prior_shape,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,33425864,31.8773880005,0.124521046877,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,148728930,638632268,193,33354663,33354663
bulk,sum,prior_shape,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,33345004,31.8002738953,0.124219819903,9163909717603614720,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,148696503,638632267,163,33329772,33329772
bulk,decode,fixed_planes,0,0,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,27362210,26.0946369171,0.101932175457,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,121923442,372318530,1058,27358150,27358150
bulk,decode,fixed_planes,0,1,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,27333359,26.0671224594,0.101824697107,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,121790656,372318531,1368,27317891,27317891
bulk,decode,fixed_planes,0,2,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,27237970,25.97615242,0.101469345391,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,121509014,372318530,893,27247800,27247800
bulk,decode,fixed_planes,0,3,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,27289189,26.0249986649,0.101660151035,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,120672538,372318546,3577,27158451,27158451
bulk,decode,fixed_planes,0,4,32768,1048576,256,8192,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,26818439,25.5760564804,0.0999064706266,18407330318386166812,0,0,0,0,29360128,3584,3584,unestablished,0,0,available,119578817,372318534,1304,26828240,26828240
