suite,operation,logical_values,arm,repetitions,median_ns,min_ns,max_ns,median_cycles,ratio_to_local,mean_required_lines_per_request,max_major_faults,max_minor_faults
bulk,decode,32768,fixed_planes,5,66.7915763855,66.6956653595,66.9021892548,256.256893157959,1.5840235820234136,28.0,0,0
bulk,decode,32768,local_aos7,5,42.1657714844,42.104631424,42.4757499695,162.5363368988037,1.0,28.0,0,0
bulk,decode,32768,plain_u64,5,42.6686878204,42.5078964233,42.766664505,163.51817893981934,1.011927122836732,32.0,0,0
bulk,decode,32768,prior_shape,5,103.007526398,102.215164185,103.495594025,379.21865463256836,2.44291810090821,28.0,0,0
bulk,encode,32768,fixed_planes,5,67.3756561279,66.9376792908,68.1999912262,257.4424476623535,1.3993126841734747,28.0,0,0
bulk,encode,32768,local_aos7,5,48.1491069794,48.0064563751,48.2100067139,184.7072582244873,1.0,28.0,0,0
bulk,encode,32768,plain_u64,5,42.6061515808,42.4740447998,42.9107627869,163.29636001586914,0.8848793727166844,32.0,0,0
bulk,encode,32768,prior_shape,5,79.5813846588,79.3251953125,79.9113178253,304.7320556640625,1.6528112285207681,28.0,0,0
bulk,sum,32768,fixed_planes,5,67.3914260864,67.1096878052,67.5900287628,258.48054695129395,3.8200453226314526,28.0,0,0
bulk,sum,32768,local_aos7,5,17.6415252686,17.4732398987,17.6943817139,65.05352020263672,1.0,28.0,0,0
bulk,sum,32768,plain_u64,5,12.8615989685,12.8476314545,12.9122390747,49.472829818725586,0.7290525491802146,32.0,0,0
bulk,sum,32768,prior_shape,5,108.613027573,108.196228027,113.210401535,402.3646430969238,6.156668764141353,28.0,0,0
capacity,dependent,1024,fixed_planes,5,7.49868202209,7.44176578522,7.50994586945,28.757097244262695,0.9639456003304958,4.0,0,0
capacity,dependent,1024,local_aos7,5,7.77915477753,7.72043037415,7.81058120728,29.859007835388184,1.0,1.093740463256836,0,0
capacity,dependent,1024,plain_u64,5,6.39057350159,6.33419513702,6.41902256012,24.44377040863037,0.8214997238580596,1.0,0,0
capacity,dependent,1024,prior_shape,5,9.10691547394,9.05610084534,9.14921092987,34.933013916015625,1.1706818715376663,4.0,0,0
capacity,dependent,65536,fixed_planes,5,11.7217121124,11.6938838959,11.845536232,45.00680923461914,1.019258689953935,4.0,0,0
capacity,dependent,65536,local_aos7,5,11.5002326965,11.4225873947,11.514084816,44.076541900634766,1.0,1.093852424621582,0,0
capacity,dependent,65536,plain_u64,5,9.42118167877,9.40139389038,9.50946903229,36.26695442199707,0.8192166130375134,1.0,0,0
capacity,dependent,65536,prior_shape,5,12.1373414993,12.0252923965,12.3673353195,46.475929260253906,1.0553996444779676,4.0,0,0
capacity,dependent,67108864,fixed_planes,5,207.964920044,204.808096886,215.717843056,789.3051948547363,1.2642065695465157,4.0,0,0
capacity,dependent,67108864,local_aos7,5,164.502325058,163.980379105,165.387866974,629.8262519836426,1.0,1.0938589096069335,0,0
capacity,dependent,67108864,plain_u64,5,160.846082687,155.928767204,161.921836853,617.8713550567627,0.9777739167533901,1.0,0,0
capacity,dependent,67108864,prior_shape,5,217.876364708,214.807598114,222.744961739,824.6901531219482,1.324457661198293,4.0,0,0
capacity,get16,1024,fixed_planes,5,8.82333183289,8.78646564484,8.84536266327,33.85500240325928,1.2171110298126695,4.0,0,0
capacity,get16,1024,local_aos7,5,7.2494058609,7.22993087769,7.3116235733,27.914125442504883,1.0,2.499532127380371,0,0
capacity,get16,1024,plain_u64,5,5.12659454346,5.07629966736,5.16893959045,19.61135959625244,0.7071744418546796,2.0,0,0
capacity,get16,1024,prior_shape,5,26.0910520554,25.9224300385,26.1474819183,99.96407127380371,3.5990607445671206,4.0,0,0
capacity,get16,65536,fixed_planes,5,9.63115406036,9.58696842194,9.64789772034,37.07428455352783,1.2292934171735974,4.0,0,0
capacity,get16,65536,local_aos7,5,7.83470726013,7.79837608337,7.855052948,30.039877891540527,1.0,2.500478172302246,0,0
capacity,get16,65536,plain_u64,5,5.81941890717,5.80980873108,5.87091445923,22.457642555236816,0.7427742625157687,2.0,0,0
capacity,get16,65536,prior_shape,5,29.0379619598,29.0112733841,29.0685787201,111.65343952178955,3.7063237968789378,4.0,0,0
capacity,get16,67108864,fixed_planes,5,66.2644071579,62.5905780792,66.7450799942,250.68173217773438,1.4213752844897316,4.0,0,0
capacity,get16,67108864,local_aos7,5,46.6199235916,45.1218881607,47.6290712357,176.52942848205566,1.0,2.5000648498535156,0,0
capacity,get16,67108864,plain_u64,5,38.3168649673,38.1069898605,38.9003181458,144.89438152313232,0.8218989225071135,2.0,0,0
capacity,get16,67108864,prior_shape,5,211.197436333,200.970871925,212.948971748,787.0949516296387,4.530196964352247,4.0,0,0
capacity,independent,1024,fixed_planes,5,2.95868015289,2.95237159729,2.96598911285,11.414567947387695,1.1715661913520865,4.0,0,0
capacity,independent,1024,local_aos7,5,2.52540588379,2.51207542419,2.55161857605,9.789925575256348,1.0,1.093874168395996,0,0
capacity,independent,1024,plain_u64,5,1.94816398621,1.92806053162,1.97181987762,7.476978302001953,0.771426089847504,1.0,0,0
capacity,independent,1024,prior_shape,5,3.01714038849,2.98540496826,3.11477184296,11.566985130310059,1.1947150388206231,4.0,0,0
capacity,independent,65536,fixed_planes,5,3.11797237396,3.11219024658,3.15921211243,12.048413276672363,1.1558498123597003,4.0,0,0
capacity,independent,65536,local_aos7,5,2.69755840302,2.68307781219,2.749335289,10.418601989746094,1.0,1.093783187866211,0,0
capacity,independent,65536,plain_u64,5,2.02592086792,2.02053165436,2.08201885223,7.813346862792969,0.7510202061434218,1.0,0,0
capacity,independent,65536,prior_shape,5,3.14150524139,3.1266450882,3.1745557785,12.078006744384766,1.1645735780448674,4.0,0,0
capacity,independent,67108864,fixed_planes,5,23.9918775558,23.4698371887,25.9537506104,90.28750705718994,1.5199306532940355,4.0,0,0
