suite,operation,logical_values,arm,repetitions,median_ns,min_ns,max_ns,median_cycles,ratio_to_local,mean_required_lines_per_request,max_major_faults,max_minor_faults
bulk,decode,32768,fixed_planes,5,218.253948212,218.20507431,218.873325348,608.1409397125244,3.6556537900558554,28.0,0,0
bulk,decode,32768,local_aos7,5,59.7031230927,59.6636104584,59.777967453,166.11232948303223,1.0,28.0,0,0
bulk,decode,32768,plain_u64,5,49.1090316772,49.0250644684,49.2945308685,136.58489227294922,0.8225538151655696,32.0,0,0
bulk,decode,32768,prior_shape,5,357.036895752,356.777072906,357.464471817,994.5207118988037,5.980204673675698,28.0,0,0
bulk,encode,32768,fixed_planes,5,115.812164307,115.665220261,115.886341095,322.48548698425293,1.618800254816243,28.0,0,0
bulk,encode,32768,local_aos7,5,71.541973114,71.4661560059,71.8680400848,199.18941497802734,1.0,28.0,0,0
bulk,encode,32768,plain_u64,5,48.1400241852,47.9936141968,48.3344593048,133.93065452575684,0.6728920393136251,32.0,0,0
bulk,encode,32768,prior_shape,5,161.34709549,161.215415955,161.507801056,449.5967216491699,2.255278803016772,28.0,0,0
bulk,sum,32768,fixed_planes,5,276.71721077,276.548837662,277.159650803,771.1416187286377,5.918344400019386,28.0,0,0
bulk,sum,32768,local_aos7,5,46.7558479309,46.7021350861,46.9101676941,130.26823234558105,1.0,28.0,0,0
bulk,sum,32768,plain_u64,5,35.3782348633,35.2364120483,35.399887085,98.37494468688965,0.7566590368671131,32.0,0,0
bulk,sum,32768,prior_shape,5,365.854034424,365.127592087,366.004055023,1018.7132034301758,7.824775950265987,28.0,0,0
capacity,dependent,1024,fixed_planes,5,8.35936737061,8.28935337067,8.3702287674,23.23996353149414,1.0773193240798458,4.0,0,0
capacity,dependent,1024,local_aos7,5,7.75941467285,7.74262428284,7.80547046661,21.63510036468506,1.0,1.093740463256836,0,0
capacity,dependent,1024,plain_u64,5,5.87272071838,5.85406780243,5.94044399261,16.396244049072266,0.7568509953371231,1.0,0,0
capacity,dependent,1024,prior_shape,5,8.68809223175,8.66273212433,8.73144435883,24.26853084564209,1.119683970770298,4.0,0,0
capacity,dependent,65536,fixed_planes,5,12.1422014236,12.0900316238,12.1824178696,33.830270767211914,1.1388888391872174,4.0,0,0
capacity,dependent,65536,local_aos7,5,10.6614456177,10.6162662506,10.7804431915,29.644646644592285,1.0,1.093852424621582,0,0
capacity,dependent,65536,plain_u64,5,8.92265701294,8.87870788574,9.04546928406,24.866992950439453,0.8369087394796364,1.0,0,0
capacity,dependent,65536,prior_shape,5,12.1269674301,12.1217241287,12.2870521545,33.84341907501221,1.1374599528948457,4.0,0,0
capacity,dependent,67108864,fixed_planes,5,196.304128647,192.708355904,200.606741905,545.3779621124268,1.4120993336560703,4.0,0,0
capacity,dependent,67108864,local_aos7,5,139.015807152,137.203095436,142.437279701,386.3351888656616,1.0,1.0938589096069335,0,0
capacity,dependent,67108864,plain_u64,5,138.695407867,138.241929054,143.795405388,384.7816352844238,0.9976952312721554,1.0,0,0
capacity,dependent,67108864,prior_shape,5,190.241200447,189.584770203,193.107521057,527.1457071304321,1.3684861048858286,4.0,0,0
capacity,get16,1024,fixed_planes,5,16.43770504,16.4341812134,16.5137090683,45.8884334564209,1.9846835778304839,4.0,0,0
capacity,get16,1024,local_aos7,5,8.28227996826,8.27620983124,8.32897281647,23.1256685256958,1.0,2.499532127380371,0,0
capacity,get16,1024,plain_u64,5,6.68646621704,6.68414402008,6.71588516235,18.66097354888916,0.8073219261682048,2.0,0,0
capacity,get16,1024,prior_shape,5,41.9777822495,41.9393348694,42.1293363571,117.01180839538574,5.06838484214136,4.0,0,0
capacity,get16,65536,fixed_planes,5,19.1470346451,19.0894517899,19.1764316559,53.29421901702881,1.906405339015561,4.0,0,0
capacity,get16,65536,local_aos7,5,10.0435276031,10.0348453522,10.1267175674,28.025553703308105,1.0,2.500478172302246,0,0
capacity,get16,65536,plain_u64,5,8.6009311676,8.53063964844,8.66487407684,23.82778835296631,0.8563655627277081,2.0,0,0
capacity,get16,65536,prior_shape,5,48.0529460907,47.9613075256,48.3091640472,133.81448078155518,4.784468962465752,4.0,0,0
capacity,get16,67108864,fixed_planes,5,136.736319542,136.416489601,140.959241867,379.15999603271484,2.626696984362765,4.0,0,0
capacity,get16,67108864,local_aos7,5,52.0563735962,51.6396617889,53.2750921249,144.6340675354004,1.0,2.5000648498535156,0,0
capacity,get16,67108864,plain_u64,5,50.1260023117,49.0901079178,50.4551868439,138.3894214630127,0.9629176765274923,2.0,0,0
capacity,get16,67108864,prior_shape,5,316.889326096,309.654430389,317.464165688,880.7514324188232,6.087426076854732,4.0,0,0
capacity,independent,1024,fixed_planes,5,2.24650764465,2.24406337738,2.24867630005,6.274547576904297,1.1299283755833152,4.0,0,0
capacity,independent,1024,local_aos7,5,1.98818588257,1.9848947525,2.10443496704,5.547113418579102,1.0,1.093874168395996,0,0
capacity,independent,1024,plain_u64,5,1.73618602753,1.73373889923,1.73689651489,4.845993995666504,0.8732513608263549,1.0,0,0
capacity,independent,1024,prior_shape,5,2.44323348999,2.4404296875,2.44872951508,6.825170516967773,1.2288757864188176,4.0,0,0
capacity,independent,65536,fixed_planes,5,3.17035484314,3.16419219971,4.33101654053,8.853473663330078,1.373506978145506,4.0,0,0
capacity,independent,65536,local_aos7,5,2.30821895599,2.2994184494,2.35993480682,6.4359893798828125,1.0,1.093783187866211,0,0
capacity,independent,65536,plain_u64,5,1.86217880249,1.8584022522,1.86761379242,5.200767517089844,0.8067600335997186,1.0,0,0
capacity,independent,65536,prior_shape,5,3.30704498291,3.30010223389,3.36568641663,9.229284286499023,1.432725857452982,4.0,0,0
capacity,independent,67108864,fixed_planes,5,32.550901413,31.4963827133,34.7956552505,90.15071773529053,1.6283799334047546,4.0,0,0
capacity,independent,67108864,local_aos7,5,19.9897460938,19.7081384659,20.4576845169,55.257612228393555,1.0,1.093806266784668,0,0
capacity,independent,67108864,plain_u64,5,15.961274147,15.6478385925,16.655043602,44.183173179626465,0.7984730807536636,1.0,0,0
capacity,independent,67108864,prior_shape,5,32.9068746567,32.494181633,33.4251279831,91.04044723510742,1.6461877255612747,4.0,0,0
