host,case,median_seed_median_ns,allocated_bytes,on_observed_frontier
zen5,n16b12stride104_split/load90_uniform/mixed/rawfp_tuplepack,53.6260662075,2986368,False
zen5,n16b12stride104_split/load90_uniform/mixed/seriespack_tuplepack,37.920333862,2986368,False
zen5,n16b12stride128_combined/load90_uniform/mixed/rawfp_tuplepack,49.235029220499996,2986368,False
zen5,n16b8stride104_split/load90_uniform/mixed/rawfp_tuplepack,40.251312256000006,2799744,False
zen5,n16b8stride104_split/load90_uniform/mixed/seriespack_tuplepack,36.0600147245,2799744,True
zen5,n16b8stride120_combined/load90_uniform/mixed/rawfp_tuplepack,37.939559936500004,2799744,False
zen5,n16b8stride128_combined/load90_uniform/mixed/rawfp_tuplepack,38.3043127055,2986368,False
zen5,n8b7stride63_combined/load90_uniform/mixed/rawfp_tuplepack,42.621429443500006,2981632,False
zen5,n8b7stride63_combined/load90_uniform/mixed/seriespack_tuplepack,39.348178863499996,2981632,False
zen5,n8b7stride64_combined/load90_uniform/mixed/rawfp_tuplepack,41.2244644165,3028992,False
zen5,n8b7stride64_combined/load90_uniform/mixed/seriespack_tuplepack,38.855396271000004,3028992,False
zen5,n8b8stride64_combined/load90_uniform/mixed/rawfp_tuplepack,33.248630524,3028992,True
zen5,n8b8stride64_combined/load90_uniform/mixed/seriespack_tuplepack,36.2821445465,3028992,False
zen5,n9b7stride62_split/load90_uniform/mixed/rawfp_tuplepack,48.775033951,3191040,False
zen5,n9b7stride62_split/load90_uniform/mixed/seriespack_tuplepack,37.8446979525,3191040,False
zen5,n9b7stride76_combined/load90_uniform/mixed/rawfp_tuplepack,44.244228363000005,3191168,False
zen5,n9b7stride96_combined/load90_uniform/mixed/rawfp_tuplepack,44.515319824,4030848,False
gnr,n16b12stride104_split/load90_uniform/mixed/rawfp_tuplepack,70.9203300475,2986368,False
gnr,n16b12stride104_split/load90_uniform/mixed/seriespack_tuplepack,49.7579421995,2986368,False
gnr,n16b12stride128_combined/load90_uniform/mixed/rawfp_tuplepack,76.59872818,2986368,False
gnr,n16b8stride104_split/load90_uniform/mixed/rawfp_tuplepack,52.269443511999995,2799744,False
gnr,n16b8stride104_split/load90_uniform/mixed/seriespack_tuplepack,44.130270003999996,2799744,True
gnr,n16b8stride120_combined/load90_uniform/mixed/rawfp_tuplepack,53.7649860385,2799744,False
gnr,n16b8stride128_combined/load90_uniform/mixed/rawfp_tuplepack,58.874328613,2986368,False
gnr,n8b7stride63_combined/load90_uniform/mixed/rawfp_tuplepack,68.133579254,2981632,False
gnr,n8b7stride63_combined/load90_uniform/mixed/seriespack_tuplepack,53.54873848,2981632,False
gnr,n8b7stride64_combined/load90_uniform/mixed/rawfp_tuplepack,57.940761566,3028992,False
gnr,n8b7stride64_combined/load90_uniform/mixed/seriespack_tuplepack,50.913379669,3028992,False
gnr,n8b8stride64_combined/load90_uniform/mixed/rawfp_tuplepack,43.2263908385,3028992,True
gnr,n8b8stride64_combined/load90_uniform/mixed/seriespack_tuplepack,49.376171111999994,3028992,False
gnr,n9b7stride62_split/load90_uniform/mixed/rawfp_tuplepack,70.0936126705,3191040,False
gnr,n9b7stride62_split/load90_uniform/mixed/seriespack_tuplepack,51.298044205,3191040,False
gnr,n9b7stride76_combined/load90_uniform/mixed/rawfp_tuplepack,73.290679932,3191168,False
gnr,n9b7stride96_combined/load90_uniform/mixed/rawfp_tuplepack,79.3164348605,4030848,False
