host,family,context,change,seed,baseline_ns,candidate_ns,candidate_over_baseline,baseline_allocated_bytes,candidate_allocated_bytes
zen5,prefix,rows4096/all_fields,7-byte prefix,712367,14.954073951,14.954815093,1.0000495612100375,299264,299264
zen5,prefix,rows4096/scalar_tuplepack,7-byte prefix,712367,1.338821545,1.339382372,1.0004188960075333,299264,299264
zen5,prefix,rows4096/full_string_rare,7-byte prefix,712367,18.766133028,18.681832706,0.995507848000746,299264,299264
zen5,prefix,rows4096/equality_mismatch7,7-byte prefix,712367,1.346303259,2.976342655,2.2107520241841736,299264,299264
zen5,prefix,rows4096/equality_mismatch8,7-byte prefix,712367,2.953973917,2.977293737,1.0078943892719552,299264,299264
zen5,prefix,rows4096/equality_mismatch17,7-byte prefix,712367,1.975378418,2.799132191,1.4170106170512995,299264,299264
zen5,prefix,rows4096/update_tuplepack_effects,7-byte prefix,712367,2.473386949,2.453812256,0.992085875197201,299264,299264
zen5,prefix,rows4096/all_fields,9-byte prefix,712367,14.681492397,14.689557757,1.0005493555955964,291072,291072
zen5,prefix,rows4096/scalar_tuplepack,9-byte prefix,712367,1.339098746,1.338828274,0.999798019376235,291072,291072
zen5,prefix,rows4096/full_string_rare,9-byte prefix,712367,18.759473015,18.613471536,0.9922171865444589,291072,291072
zen5,prefix,rows4096/equality_mismatch7,9-byte prefix,712367,1.346770971,1.349111683,1.0017380178593114,291072,291072
zen5,prefix,rows4096/equality_mismatch8,9-byte prefix,712367,2.944164276,1.34756295,0.4577064401551756,291072,291072
zen5,prefix,rows4096/equality_mismatch17,9-byte prefix,712367,1.972761782,1.788422166,0.9065575896279199,291072,291072
zen5,prefix,rows4096/update_tuplepack_effects,9-byte prefix,712367,2.470642828,2.45289209,0.9928153362360479,291072,291072
zen5,prefix,rows4096/all_fields,63 to 64 padding,712367,14.681492397,14.683396112,1.0001296676760456,291072,295168
zen5,prefix,rows4096/scalar_tuplepack,63 to 64 padding,712367,1.339098746,1.338950174,0.9998890507511536,291072,295168
zen5,prefix,rows4096/full_string_rare,63 to 64 padding,712367,18.759473015,18.724557316,0.9981387697313201,291072,295168
zen5,prefix,rows4096/equality_mismatch7,63 to 64 padding,712367,1.346770971,1.348783518,1.001494349851115,291072,295168
zen5,prefix,rows4096/equality_mismatch8,63 to 64 padding,712367,2.944164276,2.960491474,1.0055456137869394,291072,295168
zen5,prefix,rows4096/equality_mismatch17,63 to 64 padding,712367,1.972761782,1.984533533,1.005967142666392,291072,295168
zen5,prefix,rows4096/update_tuplepack_effects,63 to 64 padding,712367,2.470642828,2.453585205,0.9930958765845534,291072,295168
zen5,prefix,rows4096/all_fields,rare byte plane,712367,14.954073951,14.986466181,1.0021661140707303,299264,299136
zen5,prefix,rows4096/scalar_tuplepack,rare byte plane,712367,1.338821545,1.337815464,0.9992485324098963,299264,299136
zen5,prefix,rows4096/full_string_rare,rare byte plane,712367,18.766133028,19.378673553,1.032640742985572,299264,299136
