case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,712367,0,36.528313531,66048,33018,2477619495621,9
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,712367,1,36.409871419,66048,33018,2477619495621,9
n8b7stride63_combined/load50_uniform/hit/raw,4096,32768,712367,2,36.641927083,66048,33018,2477619495621,9
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,712367,0,39.651309967,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,712367,1,39.389690399,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,4096,32768,712367,2,39.335498810,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,712367,0,38.884479523,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,712367,1,39.035781860,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,4096,32768,712367,2,39.003562927,66048,33018,2202328440552,8
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,712367,0,27.844390869,66048,33412,1548112371908608,11
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,712367,1,27.762739702,66048,33412,1548112371908608,11
n8b7stride63_combined/load50_uniform/miss/raw,4096,32768,712367,2,27.822728937,66048,33412,1548112371908608,11
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,0,26.585965474,66048,33412,1688849860263936,12
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,1,26.602470398,66048,33412,1688849860263936,12
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,2,26.662437439,66048,33412,1688849860263936,12
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,0,31.007516479,66048,33412,1407374883553280,10
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,1,30.963604736,66048,33412,1407374883553280,10
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,2,30.939904785,66048,33412,1407374883553280,10
n8b7stride63_combined/load50_uniform/mixed/raw,4096,32768,712367,0,32.692239380,66048,33219,705057580338320,10
