case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
D_prefix_plane/scalar_raw,4096,32768,712367,0,0.408509484,299136,0,1635131377079339452,748
D_prefix_plane/scalar_raw,4096,32768,712367,1,0.409707621,299136,0,3872762816352509477,745
D_prefix_plane/scalar_raw,4096,32768,712367,2,0.408505934,299136,0,1635131377079339452,748
D_prefix_plane/scalar_tuplepack,4096,32768,712367,0,1.363014187,299136,0,16645082791607764285,225
D_prefix_plane/scalar_tuplepack,4096,32768,712367,1,1.362542697,299136,0,11242045246795637088,224
D_prefix_plane/scalar_tuplepack,4096,32768,712367,2,1.361528998,299136,0,16645082791607764285,225
D_prefix_plane/full_string_rare,4096,32768,712367,0,9.265129321,299136,32768,18846812061,33
D_prefix_plane/full_string_rare,4096,32768,712367,1,9.258310954,299136,32768,18846812061,33
D_prefix_plane/full_string_rare,4096,32768,712367,2,9.262588963,299136,32768,18846812061,33
D_prefix_plane/all_fields,4096,32768,712367,0,17.342232598,299136,32768,5020955561534693014,18
D_prefix_plane/all_fields,4096,32768,712367,1,17.572601318,299136,32768,5020955561534693014,18
D_prefix_plane/all_fields,4096,32768,712367,2,17.370078193,299136,32768,5020955561534693014,18
D_prefix_plane/equality_mismatch0,4096,32768,712367,0,1.304899175,299136,0,0,235
D_prefix_plane/equality_mismatch0,4096,32768,712367,1,1.300182586,299136,0,0,235
D_prefix_plane/equality_mismatch0,4096,32768,712367,2,1.299744432,299136,0,0,235
D_prefix_plane/equality_mismatch7,4096,32768,712367,0,1.300162717,299136,0,0,235
D_prefix_plane/equality_mismatch7,4096,32768,712367,1,1.304630769,299136,0,0,234
D_prefix_plane/equality_mismatch7,4096,32768,712367,2,1.299533016,299136,0,0,235
D_prefix_plane/equality_mismatch8,4096,32768,712367,0,3.919415596,299136,32768,0,78
D_prefix_plane/equality_mismatch8,4096,32768,712367,1,3.865845113,299136,32768,0,79
D_prefix_plane/equality_mismatch8,4096,32768,712367,2,3.875132887,299136,32768,0,79
D_prefix_plane/equality_mismatch15,4096,32768,712367,0,3.882496122,299136,32768,0,79
D_prefix_plane/equality_mismatch15,4096,32768,712367,1,3.871628001,299136,32768,0,79
D_prefix_plane/equality_mismatch15,4096,32768,712367,2,3.878891571,299136,32768,0,79
D_prefix_plane/equality_mismatch16,4096,32768,712367,0,3.345737291,299136,32768,3014656,92
D_prefix_plane/equality_mismatch16,4096,32768,712367,1,3.364491222,299136,32768,2981888,91
D_prefix_plane/equality_mismatch16,4096,32768,712367,2,3.341983629,299136,32768,3014656,92
D_prefix_plane/equality_mismatch17,4096,32768,712367,0,2.424317617,299136,12288,516096,126
D_prefix_plane/equality_mismatch17,4096,32768,712367,1,2.422387744,299136,12288,516096,126
D_prefix_plane/equality_mismatch17,4096,32768,712367,2,2.422360375,299136,12288,516096,126
D_prefix_plane/update_raw,4096,32768,712367,0,1.049724566,299136,0,9535488,291
D_prefix_plane/update_raw,4096,32768,712367,1,1.037896211,299136,0,9666560,295
D_prefix_plane/update_raw,4096,32768,712367,2,1.046985783,299136,0,9568256,292
D_prefix_plane/update_tuplepack_effects,4096,32768,712367,0,3.117809996,299136,0,3211264,98
D_prefix_plane/update_tuplepack_effects,4096,32768,712367,1,3.076851501,299136,0,3276800,100
D_prefix_plane/update_tuplepack_effects,4096,32768,712367,2,3.103565563,299136,0,3244032,99
A63/scalar_raw,4096,32768,712367,0,0.412143393,291072,0,707356710813552305,741
A63/scalar_raw,4096,32768,712367,1,0.418260757,291072,0,15060920012718359602,730
A63/scalar_raw,4096,32768,712367,2,0.411742671,291072,0,6110394255625679502,742
A63/scalar_tuplepack,4096,32768,712367,0,1.367421286,291072,0,11242045246795637088,224
A63/scalar_tuplepack,4096,32768,712367,1,1.371024230,291072,0,5839007701983509891,223
A63/scalar_tuplepack,4096,32768,712367,2,1.366422244,291072,0,11242045246795637088,224
A63/full_string_rare,4096,32768,712367,0,8.445864291,291072,32768,21131274129,37
A63/full_string_rare,4096,32768,712367,1,8.411419018,291072,32768,21131274129,37
A63/full_string_rare,4096,32768,712367,2,8.426597801,291072,32768,21131274129,37
A63/all_fields,4096,32768,712367,0,16.409619783,291072,32768,10423993104450729923,19
A63/all_fields,4096,32768,712367,1,16.411381772,291072,32768,10423993104450729923,19
A63/all_fields,4096,32768,712367,2,16.365415874,291072,32768,10423993104450729923,19
A63/equality_mismatch0,4096,32768,712367,0,1.500075995,291072,0,0,204
A63/equality_mismatch0,4096,32768,712367,1,1.497852400,291072,0,0,204
A63/equality_mismatch0,4096,32768,712367,2,1.515935161,291072,0,0,202
A63/equality_mismatch7,4096,32768,712367,0,1.505208885,291072,0,0,203
A63/equality_mismatch7,4096,32768,712367,1,1.504673248,291072,0,0,203
A63/equality_mismatch7,4096,32768,712367,2,1.504174594,291072,0,0,203
A63/equality_mismatch8,4096,32768,712367,0,3.861705017,291072,32768,0,80
A63/equality_mismatch8,4096,32768,712367,1,3.835477829,291072,32768,0,80
A63/equality_mismatch8,4096,32768,712367,2,3.837889481,291072,32768,0,80
A63/equality_mismatch15,4096,32768,712367,0,3.859225464,291072,32768,0,80
A63/equality_mismatch15,4096,32768,712367,1,3.849238968,291072,32768,0,80
