case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
n8b7stride63_combined/load50_uniform/hit/raw,262144,262144,712367,0,38.659416199,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/raw,262144,262144,712367,1,38.632026672,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/raw,262144,262144,712367,2,38.621345520,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,0,41.764778137,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,1,41.731021881,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,2,41.742042542,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,0,38.394023895,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,1,38.340049744,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,2,38.324520111,4217216,264267,2195143350105,1
n8b7stride63_combined/load50_uniform/miss/raw,262144,262144,712367,0,31.640310287,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/raw,262144,262144,712367,1,31.633214951,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/raw,262144,262144,712367,2,31.658031464,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,262144,262144,712367,0,31.295688629,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,262144,262144,712367,1,31.252393723,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/rawfp_tuplepack,262144,262144,712367,2,31.241731644,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,262144,262144,712367,0,32.464057922,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,262144,262144,712367,1,32.473272324,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/miss/seriespack_tuplepack,262144,262144,712367,2,32.479986191,4217216,267687,2251799813685248,2
n8b7stride63_combined/load50_uniform/mixed/raw,262144,262144,712367,0,35.300485611,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/raw,262144,262144,712367,1,35.276626587,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/raw,262144,262144,712367,2,35.257095337,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,262144,262144,712367,0,36.620033264,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,262144,262144,712367,1,36.572216034,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/rawfp_tuplepack,262144,262144,712367,2,36.568935394,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,262144,262144,712367,0,35.559009552,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,262144,262144,712367,1,35.503658295,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/mixed/seriespack_tuplepack,262144,262144,712367,2,35.489677429,4217216,265941,1128093797091388,2
n8b7stride63_combined/load50_uniform/update/raw,262144,262144,712367,0,38.643737793,4217216,264267,2195143351223,1
n8b7stride63_combined/load50_uniform/update/raw,262144,262144,712367,1,38.660980225,4217216,264267,2195143351921,1
n8b7stride63_combined/load50_uniform/update/raw,262144,262144,712367,2,38.669067383,4217216,264267,2195143353039,1
n8b7stride63_combined/load50_uniform/update/rawfp_tuplepack,262144,262144,712367,0,44.724803925,4217216,264267,2195143351223,1
n8b7stride63_combined/load50_uniform/update/rawfp_tuplepack,262144,262144,712367,1,44.682842255,4217216,264267,2195143351921,1
n8b7stride63_combined/load50_uniform/update/rawfp_tuplepack,262144,262144,712367,2,44.710422516,4217216,264267,2195143353039,1
n8b7stride63_combined/load50_uniform/update/seriespack_tuplepack,262144,262144,712367,0,41.136688232,4217216,264267,2195143351223,1
n8b7stride63_combined/load50_uniform/update/seriespack_tuplepack,262144,262144,712367,1,41.107692719,4217216,264267,2195143351921,1
n8b7stride63_combined/load50_uniform/update/seriespack_tuplepack,262144,262144,712367,2,41.104339600,4217216,264267,2195143353039,1
n8b8stride64_combined/load50_uniform/hit/raw,262144,262144,712367,0,27.824857712,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/raw,262144,262144,712367,1,27.701393127,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/raw,262144,262144,712367,2,27.710109711,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,0,33.915252686,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,1,33.838270187,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/rawfp_tuplepack,262144,262144,712367,2,33.823373795,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,0,36.933258057,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,1,36.872528076,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/hit/seriespack_tuplepack,262144,262144,712367,2,36.814165115,4284160,264267,4390286700210,2
n8b8stride64_combined/load50_uniform/miss/raw,262144,262144,712367,0,25.137258530,4284160,267687,2251799813685248,2
n8b8stride64_combined/load50_uniform/miss/raw,262144,262144,712367,1,25.097797394,4284160,267687,2251799813685248,2
n8b8stride64_combined/load50_uniform/miss/raw,262144,262144,712367,2,25.104721069,4284160,267687,2251799813685248,2
n8b8stride64_combined/load50_uniform/miss/rawfp_tuplepack,262144,262144,712367,0,24.931245804,4284160,267687,2251799813685248,2
