case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
D_prefix_plane/scalar_raw,262144,262144,712367,0,0.674773501,19136640,0,66923883905184465,57
D_prefix_plane/scalar_raw,262144,262144,712367,1,0.631050735,19136640,0,71620296810811445,61
D_prefix_plane/scalar_raw,262144,262144,712367,2,0.631452216,19136640,0,71620296810811445,61
D_prefix_plane/scalar_tuplepack,262144,262144,712367,0,1.687737506,19136640,0,27004374207355135,23
D_prefix_plane/scalar_tuplepack,262144,262144,712367,1,1.679325270,19136640,0,27004374207355135,23
D_prefix_plane/scalar_tuplepack,262144,262144,712367,2,1.680882495,19136640,0,27004374207355135,23
D_prefix_plane/full_string_rare,262144,262144,712367,0,26.298570633,19136640,262144,9162019914,2
D_prefix_plane/full_string_rare,262144,262144,712367,1,27.553380966,19136640,262144,9162019914,2
D_prefix_plane/full_string_rare,262144,262144,712367,2,26.939594269,19136640,262144,9162019914,2
D_prefix_plane/all_fields,262144,262144,712367,0,22.034795761,19136640,262144,2348316302915540,2
D_prefix_plane/all_fields,262144,262144,712367,1,22.036054611,19136640,262144,2348316302915540,2
D_prefix_plane/all_fields,262144,262144,712367,2,21.961040497,19136640,262144,2348316302915540,2
D_prefix_plane/equality_mismatch0,262144,262144,712367,0,1.880288987,19136640,0,0,21
D_prefix_plane/equality_mismatch0,262144,262144,712367,1,1.897315434,19136640,0,0,21
D_prefix_plane/equality_mismatch0,262144,262144,712367,2,1.894639515,19136640,0,0,21
D_prefix_plane/equality_mismatch7,262144,262144,712367,0,1.906198229,19136640,0,0,21
D_prefix_plane/equality_mismatch7,262144,262144,712367,1,1.903373355,19136640,0,0,21
D_prefix_plane/equality_mismatch7,262144,262144,712367,2,1.901239123,19136640,0,0,21
D_prefix_plane/equality_mismatch8,262144,262144,712367,0,7.363083522,19136640,262144,0,6
D_prefix_plane/equality_mismatch8,262144,262144,712367,1,7.164045334,19136640,262144,0,6
D_prefix_plane/equality_mismatch8,262144,262144,712367,2,6.962654114,19136640,262144,0,6
D_prefix_plane/equality_mismatch15,262144,262144,712367,0,7.174828211,19136640,262144,0,6
D_prefix_plane/equality_mismatch15,262144,262144,712367,1,7.116724014,19136640,262144,0,6
D_prefix_plane/equality_mismatch15,262144,262144,712367,2,7.130564372,19136640,262144,0,6
D_prefix_plane/equality_mismatch16,262144,262144,712367,0,6.805990855,19136640,262144,1572864,6
D_prefix_plane/equality_mismatch16,262144,262144,712367,1,7.602144877,19136640,262144,1572864,6
