condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.52827,1.54303,1.54303
isolated,mlp,base,16384,1,0,0,0,1,3,1.52831,1.53241,1.53241
isolated,mlp,base,16384,2,0,0,0,0,3,0.763911,0.765931,0.765931
isolated,mlp,base,16384,2,0,0,0,1,3,0.763957,0.765851,0.765851
isolated,mlp,base,16384,4,0,0,0,0,3,0.382419,0.383308,0.383308
isolated,mlp,base,16384,4,0,0,0,1,3,0.383396,0.384237,0.384237
isolated,mlp,base,16384,8,0,0,0,0,3,0.305478,0.306384,0.306384
isolated,mlp,base,16384,8,0,0,0,1,3,0.305639,0.306322,0.306322
isolated,mlp,base,16384,12,0,0,0,0,3,0.306243,0.306255,0.306255
isolated,mlp,base,16384,12,0,0,0,1,3,0.305495,0.306839,0.306839
isolated,mlp,base,16384,16,0,0,0,0,3,0.421149,0.422327,0.422327
isolated,mlp,base,16384,16,0,0,0,1,3,0.420065,0.421149,0.421149
isolated,mlp,base,16384,24,0,0,0,0,3,0.521842,0.522889,0.522889
isolated,mlp,base,16384,24,0,0,0,1,3,0.521847,0.524017,0.524017
isolated,mlp,base,16384,32,0,0,0,0,3,0.516895,0.516939,0.516939
isolated,mlp,base,16384,32,0,0,0,1,3,0.515482,0.518003,0.518003
isolated,mlp,base,16384,48,0,0,0,0,3,0.555459,0.556586,0.556586
isolated,mlp,base,16384,48,0,0,0,1,3,0.555225,0.555784,0.555784
isolated,mlp,base,16384,64,0,0,0,0,3,0.615751,0.616104,0.616104
isolated,mlp,base,16384,64,0,0,0,1,3,0.615699,0.618514,0.618514
isolated,mlp,base,524288,1,0,0,0,0,3,6.6456,6.69073,6.69073
isolated,mlp,base,524288,1,0,0,0,1,3,6.67923,6.76099,6.76099
isolated,mlp,base,524288,2,0,0,0,0,3,3.32061,3.41533,3.41533
isolated,mlp,base,524288,2,0,0,0,1,3,3.36642,3.36979,3.36979
isolated,mlp,base,524288,4,0,0,0,0,3,1.77273,1.794,1.794
isolated,mlp,base,524288,4,0,0,0,1,3,1.73112,1.78052,1.78052
isolated,mlp,base,524288,8,0,0,0,0,3,0.987354,1.00398,1.00398
isolated,mlp,base,524288,8,0,0,0,1,3,0.994,1.00158,1.00158
isolated,mlp,base,524288,12,0,0,0,0,3,0.806598,0.812603,0.812603
isolated,mlp,base,524288,12,0,0,0,1,3,0.805486,0.807724,0.807724
isolated,mlp,base,524288,16,0,0,0,0,3,0.811809,0.816128,0.816128
isolated,mlp,base,524288,16,0,0,0,1,3,0.814904,0.817247,0.817247
isolated,mlp,base,524288,24,0,0,0,0,3,0.822419,0.826985,0.826985
isolated,mlp,base,524288,24,0,0,0,1,3,0.826218,0.827456,0.827456
isolated,mlp,base,524288,32,0,0,0,0,3,0.81828,0.82304,0.82304
isolated,mlp,base,524288,32,0,0,0,1,3,0.818349,0.820031,0.820031
isolated,mlp,base,524288,48,0,0,0,0,3,0.87126,0.874375,0.874375
isolated,mlp,base,524288,48,0,0,0,1,3,0.868859,0.86973,0.86973
isolated,mlp,base,524288,64,0,0,0,0,3,0.911099,0.912845,0.912845
isolated,mlp,base,524288,64,0,0,0,1,3,0.904236,0.907483,0.907483
isolated,mlp,base,8388608,1,0,0,0,0,3,14.3142,15.4745,15.4745
isolated,mlp,base,8388608,1,0,0,0,1,3,14.3723,14.5059,14.5059
isolated,mlp,base,8388608,2,0,0,0,0,3,7.12303,7.19996,7.19996
isolated,mlp,base,8388608,2,0,0,0,1,3,7.17302,7.22555,7.22555
isolated,mlp,base,8388608,4,0,0,0,0,3,3.67473,3.71624,3.71624
