condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.40284,1.40342,1.40342
isolated,mlp,base,16384,1,0,0,0,1,3,1.40189,1.4027,1.4027
isolated,mlp,base,16384,1,0,0,0,2,3,1.40182,1.40272,1.40272
isolated,mlp,base,16384,2,0,0,0,0,3,0.70152,0.701717,0.701717
isolated,mlp,base,16384,2,0,0,0,1,3,0.701468,0.702227,0.702227
isolated,mlp,base,16384,2,0,0,0,2,3,0.701367,0.701629,0.701629
isolated,mlp,base,16384,4,0,0,0,0,3,0.350718,0.350873,0.350873
isolated,mlp,base,16384,4,0,0,0,1,3,0.350084,0.350645,0.350645
isolated,mlp,base,16384,4,0,0,0,2,3,0.35053,0.350886,0.350886
isolated,mlp,base,16384,8,0,0,0,0,3,0.211789,0.212396,0.212396
isolated,mlp,base,16384,8,0,0,0,1,3,0.212014,0.212306,0.212306
isolated,mlp,base,16384,8,0,0,0,2,3,0.211947,0.212338,0.212338
isolated,mlp,base,16384,12,0,0,0,0,3,0.198497,0.198866,0.198866
isolated,mlp,base,16384,12,0,0,0,1,3,0.198412,0.198497,0.198497
isolated,mlp,base,16384,12,0,0,0,2,3,0.198664,0.198722,0.198722
isolated,mlp,base,16384,16,0,0,0,0,3,0.385243,0.385453,0.385453
isolated,mlp,base,16384,16,0,0,0,1,3,0.385138,0.385239,0.385239
isolated,mlp,base,16384,16,0,0,0,2,3,0.38525,0.385259,0.385259
isolated,mlp,base,16384,24,0,0,0,0,3,0.338881,0.339096,0.339096
isolated,mlp,base,16384,24,0,0,0,1,3,0.339061,0.339078,0.339078
isolated,mlp,base,16384,24,0,0,0,2,3,0.338887,0.339147,0.339147
isolated,mlp,base,16384,32,0,0,0,0,3,0.385817,0.38586,0.38586
isolated,mlp,base,16384,32,0,0,0,1,3,0.385577,0.385631,0.385631
isolated,mlp,base,16384,32,0,0,0,2,3,0.385482,0.385648,0.385648
isolated,mlp,base,16384,48,0,0,0,0,3,0.455542,0.456011,0.456011
isolated,mlp,base,16384,48,0,0,0,1,3,0.455662,0.455791,0.455791
isolated,mlp,base,16384,48,0,0,0,2,3,0.455708,0.455737,0.455737
isolated,mlp,base,16384,64,0,0,0,0,3,0.473054,0.473411,0.473411
isolated,mlp,base,16384,64,0,0,0,1,3,0.472996,0.473117,0.473117
isolated,mlp,base,16384,64,0,0,0,2,3,0.473268,0.473333,0.473333
isolated,mlp,base,524288,1,0,0,0,0,3,7.39982,7.47872,7.47872
