condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,2.01818,2.03036,2.03036
isolated,mlp,base,16384,1,0,0,0,1,3,2.01405,2.01721,2.01721
isolated,mlp,base,16384,2,0,0,0,0,3,1.00394,1.00526,1.00526
isolated,mlp,base,16384,2,0,0,0,1,3,1.00246,1.00535,1.00535
isolated,mlp,base,16384,4,0,0,0,0,3,0.542172,0.589023,0.589023
isolated,mlp,base,16384,4,0,0,0,1,3,0.567851,0.575981,0.575981
isolated,mlp,base,16384,8,0,0,0,0,3,0.451821,0.453894,0.453894
isolated,mlp,base,16384,8,0,0,0,1,3,0.45153,0.452545,0.452545
isolated,mlp,base,16384,12,0,0,0,0,3,0.435085,0.435191,0.435191
isolated,mlp,base,16384,12,0,0,0,1,3,0.434789,0.435605,0.435605
isolated,mlp,base,16384,16,0,0,0,0,3,0.451556,0.451657,0.451657
isolated,mlp,base,16384,16,0,0,0,1,3,0.451878,0.452312,0.452312
isolated,mlp,base,16384,24,0,0,0,0,3,0.451682,0.452619,0.452619
isolated,mlp,base,16384,24,0,0,0,1,3,0.451658,0.45225,0.45225
isolated,mlp,base,16384,32,0,0,0,0,3,0.47697,0.478659,0.478659
isolated,mlp,base,16384,32,0,0,0,1,3,0.476616,0.47907,0.47907
isolated,mlp,base,16384,48,0,0,0,0,3,0.585307,0.58612,0.58612
isolated,mlp,base,16384,48,0,0,0,1,3,0.585072,0.586038,0.586038
isolated,mlp,base,16384,64,0,0,0,0,3,0.645592,0.647655,0.647655
isolated,mlp,base,16384,64,0,0,0,1,3,0.648114,0.648893,0.648893
isolated,mlp,base,524288,1,0,0,0,0,3,7.72492,7.87231,7.87231
isolated,mlp,base,524288,1,0,0,0,1,3,7.77757,7.848,7.848
isolated,mlp,base,524288,2,0,0,0,0,3,3.99086,3.9958,3.9958
isolated,mlp,base,524288,2,0,0,0,1,3,4.01183,4.02769,4.02769
isolated,mlp,base,524288,4,0,0,0,0,3,2.23801,2.24177,2.24177
isolated,mlp,base,524288,4,0,0,0,1,3,2.236,2.24923,2.24923
isolated,mlp,base,524288,8,0,0,0,0,3,1.45731,1.45872,1.45872
isolated,mlp,base,524288,8,0,0,0,1,3,1.46632,1.46715,1.46715
isolated,mlp,base,524288,12,0,0,0,0,3,1.25481,1.26173,1.26173
isolated,mlp,base,524288,12,0,0,0,1,3,1.2577,1.25997,1.25997
isolated,mlp,base,524288,16,0,0,0,0,3,1.18422,1.18509,1.18509
isolated,mlp,base,524288,16,0,0,0,1,3,1.18324,1.19093,1.19093
isolated,mlp,base,524288,24,0,0,0,0,3,1.13702,1.14082,1.14082
isolated,mlp,base,524288,24,0,0,0,1,3,1.13792,1.1402,1.1402
isolated,mlp,base,524288,32,0,0,0,0,3,1.26525,1.27513,1.27513
isolated,mlp,base,524288,32,0,0,0,1,3,1.2666,1.26661,1.26661
isolated,mlp,base,524288,48,0,0,0,0,3,1.44518,1.45073,1.45073
isolated,mlp,base,524288,48,0,0,0,1,3,1.4488,1.45471,1.45471
isolated,mlp,base,524288,64,0,0,0,0,3,1.54067,1.54164,1.54164
isolated,mlp,base,524288,64,0,0,0,1,3,1.53955,1.5532,1.5532
isolated,mlp,base,8388608,1,0,0,0,0,3,113.936,113.937,113.937
isolated,mlp,base,8388608,1,0,0,0,1,3,115.609,115.614,115.614
isolated,mlp,base,8388608,2,0,0,0,0,3,57.0602,57.6412,57.6412
isolated,mlp,base,8388608,2,0,0,0,1,3,57.6844,57.7864,57.7864
isolated,mlp,base,8388608,4,0,0,0,0,3,29.586,29.616,29.616
isolated,mlp,base,8388608,4,0,0,0,1,3,28.8659,29.0873,29.0873
isolated,mlp,base,8388608,8,0,0,0,0,3,14.4043,14.6724,14.6724
isolated,mlp,base,8388608,8,0,0,0,1,3,14.2056,14.452,14.452
isolated,mlp,base,8388608,12,0,0,0,0,3,8.45505,8.91289,8.91289
isolated,mlp,base,8388608,12,0,0,0,1,3,7.72743,7.82467,7.82467
isolated,mlp,base,8388608,16,0,0,0,0,3,7.17649,7.64955,7.64955
isolated,mlp,base,8388608,16,0,0,0,1,3,5.7061,5.94395,5.94395
isolated,mlp,base,8388608,24,0,0,0,0,3,6.46522,6.95486,6.95486
isolated,mlp,base,8388608,24,0,0,0,1,3,5.83657,6.07458,6.07458
isolated,mlp,base,8388608,32,0,0,0,0,3,6.43298,7.09566,7.09566
isolated,mlp,base,8388608,32,0,0,0,1,3,5.53808,5.62958,5.62958
isolated,mlp,base,8388608,48,0,0,0,0,3,7.43201,8.09781,8.09781
isolated,mlp,base,8388608,48,0,0,0,1,3,6.80447,6.90722,6.90722
isolated,mlp,base,8388608,64,0,0,0,0,3,8.05759,8.64142,8.64142
isolated,mlp,base,8388608,64,0,0,0,1,3,7.10508,7.61449,7.61449
isolated,mlp,base,268435456,1,0,0,0,0,3,135.284,135.406,135.406
isolated,mlp,base,268435456,1,0,0,0,1,3,135.252,135.475,135.475
isolated,mlp,base,268435456,2,0,0,0,0,3,68.7672,69.0731,69.0731
isolated,mlp,base,268435456,2,0,0,0,1,3,68.0908,68.4462,68.4462
isolated,mlp,base,268435456,4,0,0,0,0,3,35.9707,36.2997,36.2997
isolated,mlp,base,268435456,4,0,0,0,1,3,36.0819,36.1118,36.1118
isolated,mlp,base,268435456,8,0,0,0,0,3,17.3818,17.6365,17.6365
isolated,mlp,base,268435456,8,0,0,0,1,3,17.4204,17.5495,17.5495
isolated,mlp,base,268435456,12,0,0,0,0,3,12.1136,12.1699,12.1699
isolated,mlp,base,268435456,12,0,0,0,1,3,12.0487,12.1834,12.1834
isolated,mlp,base,268435456,16,0,0,0,0,3,10.2904,10.3469,10.3469
isolated,mlp,base,268435456,16,0,0,0,1,3,10.2331,10.2601,10.2601
isolated,mlp,base,268435456,24,0,0,0,0,3,9.17024,9.30996,9.30996
isolated,mlp,base,268435456,24,0,0,0,1,3,9.23631,9.32889,9.32889
isolated,mlp,base,268435456,32,0,0,0,0,3,9.27289,9.35105,9.35105
isolated,mlp,base,268435456,32,0,0,0,1,3,9.38086,9.3913,9.3913
isolated,mlp,base,268435456,48,0,0,0,0,3,9.54149,9.63393,9.63393
isolated,mlp,base,268435456,48,0,0,0,1,3,9.61365,9.66193,9.66193
isolated,mlp,base,268435456,64,0,0,0,0,3,9.95702,10.173,10.173
isolated,mlp,base,268435456,64,0,0,0,1,3,9.87266,9.90156,9.90156
isolated,tlb,packed-base,4096,1,0,0,0,0,3,2.01389,2.02301,2.02301
isolated,tlb,packed-base,4096,1,0,0,0,1,3,2.01358,2.017,2.017
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,2.01731,2.02161,2.02161
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,2.01409,2.01639,2.01639
isolated,tlb,packed-base,4096,1,0,0,0,0,3,2.01424,2.01591,2.01591
isolated,tlb,packed-base,4096,1,0,0,0,1,3,2.01338,2.01438,2.01438
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,2.01372,2.01788,2.01788
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,2.01382,2.01408,2.01408
isolated,tlb,packed-base,4096,1,0,0,0,0,3,2.01771,2.01886,2.01886
isolated,tlb,packed-base,4096,1,0,0,0,1,3,2.01298,2.01334,2.01334
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,4.03361,4.03776,4.03776
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,4.03207,4.03232,4.03232
isolated,tlb,packed-base,8192,1,0,0,0,0,3,2.01808,2.01946,2.01946
isolated,tlb,packed-base,8192,1,0,0,0,1,3,2.01643,2.0169,2.0169
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,4.03301,4.04142,4.04142
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,4.0318,4.03674,4.03674
isolated,tlb,packed-base,16384,1,0,0,0,0,3,2.01357,2.01885,2.01885
isolated,tlb,packed-base,16384,1,0,0,0,1,3,2.01395,2.01679,2.01679
isolated,tlb,sparse-base,1048576,1,0,0,0,0,3,4.03401,4.04031,4.04031
isolated,tlb,sparse-base,1048576,1,0,0,0,1,3,4.03325,4.03992,4.03992
isolated,tlb,packed-base,32768,1,0,0,0,0,3,2.014,2.01977,2.01977
isolated,tlb,packed-base,32768,1,0,0,0,1,3,2.01395,2.01858,2.01858
isolated,tlb,sparse-base,2097152,1,0,0,0,0,3,7.04268,7.04959,7.04959
isolated,tlb,sparse-base,2097152,1,0,0,0,1,3,7.04118,7.05266,7.05266
isolated,tlb,packed-base,65536,1,0,0,0,0,3,2.04642,2.0483,2.0483
isolated,tlb,packed-base,65536,1,0,0,0,1,3,2.03712,2.04027,2.04027
isolated,tlb,sparse-base,4194304,1,0,0,0,0,3,16.0941,16.3146,16.3146
isolated,tlb,sparse-base,4194304,1,0,0,0,1,3,15.9931,16.2252,16.2252
isolated,tlb,packed-base,131072,1,0,0,0,0,3,5.23647,5.26701,5.26701
isolated,tlb,packed-base,131072,1,0,0,0,1,3,5.232,5.24012,5.24012
isolated,tlb,sparse-base,8388608,1,0,0,0,0,3,38.2386,38.2934,38.2934
isolated,tlb,sparse-base,8388608,1,0,0,0,1,3,37.2797,37.9391,37.9391
isolated,tlb,packed-base,262144,1,0,0,0,0,3,5.72862,5.74243,5.74243
isolated,tlb,packed-base,262144,1,0,0,0,1,3,5.72747,5.7342,5.7342
isolated,tlb,sparse-base,16777216,1,0,0,0,0,3,42.9379,43.4051,43.4051
isolated,tlb,sparse-base,16777216,1,0,0,0,1,3,42.9651,43.1665,43.1665
