condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,2.01298,2.01974,2.01974
isolated,mlp,base,16384,1,0,0,0,1,3,2.0119,2.01352,2.01352
isolated,mlp,base,16384,1,0,0,0,2,3,2.01276,2.01471,2.01471
isolated,mlp,base,16384,2,0,0,0,0,3,1.00375,1.00386,1.00386
isolated,mlp,base,16384,2,0,0,0,1,3,1.00302,1.00363,1.00363
isolated,mlp,base,16384,2,0,0,0,2,3,1.00349,1.00362,1.00362
isolated,mlp,base,16384,4,0,0,0,0,3,0.539214,0.566844,0.566844
isolated,mlp,base,16384,4,0,0,0,1,3,0.569669,0.573931,0.573931
isolated,mlp,base,16384,4,0,0,0,2,3,0.569223,0.574146,0.574146
isolated,mlp,base,16384,8,0,0,0,0,3,0.45176,0.451786,0.451786
isolated,mlp,base,16384,8,0,0,0,1,3,0.451615,0.451835,0.451835
isolated,mlp,base,16384,8,0,0,0,2,3,0.45156,0.451844,0.451844
isolated,mlp,base,16384,12,0,0,0,0,3,0.434909,0.434964,0.434964
isolated,mlp,base,16384,12,0,0,0,1,3,0.434904,0.434957,0.434957
isolated,mlp,base,16384,12,0,0,0,2,3,0.434849,0.434893,0.434893
isolated,mlp,base,16384,16,0,0,0,0,3,0.45157,0.451592,0.451592
isolated,mlp,base,16384,16,0,0,0,1,3,0.451606,0.451743,0.451743
isolated,mlp,base,16384,16,0,0,0,2,3,0.451555,0.451829,0.451829
isolated,mlp,base,16384,24,0,0,0,0,3,0.45157,0.451619,0.451619
isolated,mlp,base,16384,24,0,0,0,1,3,0.451759,0.451784,0.451784
isolated,mlp,base,16384,24,0,0,0,2,3,0.45159,0.451655,0.451655
isolated,mlp,base,16384,32,0,0,0,0,3,0.477197,0.478428,0.478428
isolated,mlp,base,16384,32,0,0,0,1,3,0.477007,0.478248,0.478248
isolated,mlp,base,16384,32,0,0,0,2,3,0.476767,0.476978,0.476978
isolated,mlp,base,16384,48,0,0,0,0,3,0.585945,0.586471,0.586471
isolated,mlp,base,16384,48,0,0,0,1,3,0.585617,0.5863,0.5863
isolated,mlp,base,16384,48,0,0,0,2,3,0.585252,0.585427,0.585427
isolated,mlp,base,16384,64,0,0,0,0,3,0.649225,0.649362,0.649362
isolated,mlp,base,16384,64,0,0,0,1,3,0.647581,0.647626,0.647626
isolated,mlp,base,16384,64,0,0,0,2,3,0.647891,0.648247,0.648247
isolated,mlp,base,524288,1,0,0,0,0,3,6.6137,6.63317,6.63317
isolated,mlp,base,524288,1,0,0,0,1,3,6.60046,6.61017,6.61017
isolated,mlp,base,524288,1,0,0,0,2,3,6.54829,6.55778,6.55778
isolated,mlp,base,524288,2,0,0,0,0,3,3.33796,3.34103,3.34103
isolated,mlp,base,524288,2,0,0,0,1,3,3.3557,3.36275,3.36275
isolated,mlp,base,524288,2,0,0,0,2,3,3.36326,3.38638,3.38638
isolated,mlp,base,524288,4,0,0,0,0,3,1.82294,1.84604,1.84604
isolated,mlp,base,524288,4,0,0,0,1,3,1.84543,1.85673,1.85673
isolated,mlp,base,524288,4,0,0,0,2,3,1.8274,1.83861,1.83861
isolated,mlp,base,524288,8,0,0,0,0,3,1.16197,1.16338,1.16338
