condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.36543,1.36776,1.36776
isolated,mlp,base,16384,1,0,0,0,1,3,1.36241,1.36531,1.36531
isolated,mlp,base,16384,2,0,0,0,0,3,0.681435,0.684548,0.684548
isolated,mlp,base,16384,2,0,0,0,1,3,0.681274,0.682696,0.682696
isolated,mlp,base,16384,4,0,0,0,0,3,0.340534,0.341059,0.341059
isolated,mlp,base,16384,4,0,0,0,1,3,0.341018,0.34128,0.34128
isolated,mlp,base,16384,8,0,0,0,0,3,0.22087,0.221325,0.221325
isolated,mlp,base,16384,8,0,0,0,1,3,0.221755,0.222051,0.222051
isolated,mlp,base,16384,12,0,0,0,0,3,0.227714,0.229349,0.229349
isolated,mlp,base,16384,12,0,0,0,1,3,0.229627,0.230396,0.230396
isolated,mlp,base,16384,16,0,0,0,0,3,0.358173,0.360583,0.360583
isolated,mlp,base,16384,16,0,0,0,1,3,0.357826,0.360317,0.360317
isolated,mlp,base,16384,24,0,0,0,0,3,0.337324,0.338966,0.338966
isolated,mlp,base,16384,24,0,0,0,1,3,0.337557,0.338789,0.338789
isolated,mlp,base,16384,32,0,0,0,0,3,0.374387,0.374967,0.374967
isolated,mlp,base,16384,32,0,0,0,1,3,0.375183,0.375673,0.375673
isolated,mlp,base,16384,48,0,0,0,0,3,0.442631,0.443502,0.443502
isolated,mlp,base,16384,48,0,0,0,1,3,0.442642,0.442985,0.442985
isolated,mlp,base,16384,64,0,0,0,0,3,0.459644,0.460994,0.460994
isolated,mlp,base,16384,64,0,0,0,1,3,0.46024,0.460609,0.460609
isolated,mlp,base,524288,1,0,0,0,0,3,5.20083,5.21768,5.21768
isolated,mlp,base,524288,1,0,0,0,1,3,5.18133,5.22722,5.22722
isolated,mlp,base,524288,2,0,0,0,0,3,2.61511,2.63117,2.63117
isolated,mlp,base,524288,2,0,0,0,1,3,2.61088,2.61182,2.61182
isolated,mlp,base,524288,4,0,0,0,0,3,1.33754,1.33835,1.33835
isolated,mlp,base,524288,4,0,0,0,1,3,1.3341,1.34064,1.34064
isolated,mlp,base,524288,8,0,0,0,0,3,0.721127,0.721747,0.721747
isolated,mlp,base,524288,8,0,0,0,1,3,0.719428,0.727833,0.727833
isolated,mlp,base,524288,12,0,0,0,0,3,0.555907,0.557333,0.557333
isolated,mlp,base,524288,12,0,0,0,1,3,0.563943,0.56452,0.56452
isolated,mlp,base,524288,16,0,0,0,0,3,0.563962,0.566632,0.566632
isolated,mlp,base,524288,16,0,0,0,1,3,0.566682,0.568806,0.568806
isolated,mlp,base,524288,24,0,0,0,0,3,0.548405,0.554356,0.554356
isolated,mlp,base,524288,24,0,0,0,1,3,0.547616,0.549603,0.549603
isolated,mlp,base,524288,32,0,0,0,0,3,0.546052,0.550448,0.550448
isolated,mlp,base,524288,32,0,0,0,1,3,0.544686,0.547759,0.547759
isolated,mlp,base,524288,48,0,0,0,0,3,0.545574,0.546627,0.546627
isolated,mlp,base,524288,48,0,0,0,1,3,0.544655,0.546294,0.546294
isolated,mlp,base,524288,64,0,0,0,0,3,0.549301,0.551461,0.551461
isolated,mlp,base,524288,64,0,0,0,1,3,0.550344,0.550765,0.550765
isolated,mlp,base,8388608,1,0,0,0,0,3,16.8369,16.8746,16.8746
isolated,mlp,base,8388608,1,0,0,0,1,3,15.8593,16.2373,16.2373
isolated,mlp,base,8388608,2,0,0,0,0,3,7.91067,7.91766,7.91766
isolated,mlp,base,8388608,2,0,0,0,1,3,7.87121,8.02755,8.02755
isolated,mlp,base,8388608,4,0,0,0,0,3,4.00186,4.25478,4.25478
isolated,mlp,base,8388608,4,0,0,0,1,3,3.96265,4.11011,4.11011
isolated,mlp,base,8388608,8,0,0,0,0,3,2.06928,2.09888,2.09888
isolated,mlp,base,8388608,8,0,0,0,1,3,2.01004,2.07733,2.07733
isolated,mlp,base,8388608,12,0,0,0,0,3,1.4252,1.57696,1.57696
isolated,mlp,base,8388608,12,0,0,0,1,3,1.38499,1.41209,1.41209
isolated,mlp,base,8388608,16,0,0,0,0,3,1.2611,1.30558,1.30558
isolated,mlp,base,8388608,16,0,0,0,1,3,1.16085,1.18414,1.18414
isolated,mlp,base,8388608,24,0,0,0,0,3,0.986857,1.01335,1.01335
isolated,mlp,base,8388608,24,0,0,0,1,3,0.919098,1.04959,1.04959
isolated,mlp,base,8388608,32,0,0,0,0,3,0.865178,0.974338,0.974338
isolated,mlp,base,8388608,32,0,0,0,1,3,0.833062,0.846011,0.846011
isolated,mlp,base,8388608,48,0,0,0,0,3,0.876365,1.15433,1.15433
isolated,mlp,base,8388608,48,0,0,0,1,3,0.852544,0.917308,0.917308
isolated,mlp,base,8388608,64,0,0,0,0,3,0.904418,0.997729,0.997729
isolated,mlp,base,8388608,64,0,0,0,1,3,1.03589,1.04627,1.04627
isolated,mlp,base,268435456,1,0,0,0,0,3,146.643,146.956,146.956
isolated,mlp,base,268435456,1,0,0,0,1,3,146.557,146.663,146.663
isolated,mlp,base,268435456,2,0,0,0,0,3,73.3532,73.6383,73.6383
isolated,mlp,base,268435456,2,0,0,0,1,3,73.0843,73.737,73.737
isolated,mlp,base,268435456,4,0,0,0,0,3,36.5687,36.8918,36.8918
isolated,mlp,base,268435456,4,0,0,0,1,3,36.2743,36.518,36.518
isolated,mlp,base,268435456,8,0,0,0,0,3,19.2047,19.4718,19.4718
isolated,mlp,base,268435456,8,0,0,0,1,3,19.4323,19.4442,19.4442
isolated,mlp,base,268435456,12,0,0,0,0,3,13.6785,13.7638,13.7638
isolated,mlp,base,268435456,12,0,0,0,1,3,13.7668,13.8498,13.8498
isolated,mlp,base,268435456,16,0,0,0,0,3,10.1781,10.1823,10.1823
isolated,mlp,base,268435456,16,0,0,0,1,3,10.1726,10.18,10.18
isolated,mlp,base,268435456,24,0,0,0,0,3,8.04927,8.0499,8.0499
isolated,mlp,base,268435456,24,0,0,0,1,3,8.00746,8.03804,8.03804
isolated,mlp,base,268435456,32,0,0,0,0,3,8.15447,8.19342,8.19342
isolated,mlp,base,268435456,32,0,0,0,1,3,8.23213,8.23317,8.23317
isolated,mlp,base,268435456,48,0,0,0,0,3,8.67777,8.67878,8.67878
isolated,mlp,base,268435456,48,0,0,0,1,3,8.71382,8.76137,8.76137
isolated,mlp,base,268435456,64,0,0,0,0,3,8.60178,8.76381,8.76381
isolated,mlp,base,268435456,64,0,0,0,1,3,8.80493,8.84552,8.84552
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.48252,1.48857,1.48857
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.48064,1.48174,1.48174
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,1.48073,1.48272,1.48272
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,1.48086,1.48165,1.48165
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.4216,1.42618,1.42618
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.42181,1.42571,1.42571
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,1.42182,1.4247,1.4247
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,1.42454,1.42459,1.42459
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.39191,1.39369,1.39369
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.39136,1.39508,1.39508
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,1.39288,1.39561,1.39561
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,1.39244,1.39382,1.39382
isolated,tlb,packed-base,8192,1,0,0,0,0,3,1.3918,1.39409,1.39409
isolated,tlb,packed-base,8192,1,0,0,0,1,3,1.39163,1.39527,1.39527
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,3.27696,3.2772,3.2772
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,3.26952,3.27746,3.27746
isolated,tlb,packed-base,16384,1,0,0,0,0,3,1.394,1.39472,1.39472
isolated,tlb,packed-base,16384,1,0,0,0,1,3,1.39205,1.39494,1.39494
isolated,tlb,sparse-base,1048576,1,0,0,0,0,3,3.28436,3.29405,3.29405
isolated,tlb,sparse-base,1048576,1,0,0,0,1,3,3.27075,3.27996,3.27996
isolated,tlb,packed-base,32768,1,0,0,0,0,3,1.45525,1.46531,1.46531
isolated,tlb,packed-base,32768,1,0,0,0,1,3,1.46373,1.47867,1.47867
isolated,tlb,sparse-base,2097152,1,0,0,0,0,3,3.30501,3.346,3.346
isolated,tlb,sparse-base,2097152,1,0,0,0,1,3,3.32283,3.33163,3.33163
isolated,tlb,packed-base,65536,1,0,0,0,0,3,4.09815,4.09848,4.09848
isolated,tlb,packed-base,65536,1,0,0,0,1,3,4.09681,4.11067,4.11067
isolated,tlb,sparse-base,4194304,1,0,0,0,0,3,6.26174,6.28877,6.28877
isolated,tlb,sparse-base,4194304,1,0,0,0,1,3,6.26749,6.28793,6.28793
isolated,tlb,packed-base,131072,1,0,0,0,0,3,4.1022,4.11123,4.11123
isolated,tlb,packed-base,131072,1,0,0,0,1,3,4.09565,4.09747,4.09747
isolated,tlb,sparse-base,8388608,1,0,0,0,0,3,6.55547,6.57496,6.57496
isolated,tlb,sparse-base,8388608,1,0,0,0,1,3,6.58274,6.67076,6.67076
isolated,tlb,packed-base,262144,1,0,0,0,0,3,4.10527,4.10689,4.10689
isolated,tlb,packed-base,262144,1,0,0,0,1,3,4.10859,4.14707,4.14707
isolated,tlb,sparse-base,16777216,1,0,0,0,0,3,14.077,14.1085,14.1085
isolated,tlb,sparse-base,16777216,1,0,0,0,1,3,13.7832,13.929,13.929
isolated,tlb,packed-base,524288,1,0,0,0,0,3,5.21413,5.21717,5.21717
isolated,tlb,packed-base,524288,1,0,0,0,1,3,5.20737,5.21357,5.21357
isolated,tlb,sparse-base,33554432,1,0,0,0,0,3,25.1171,25.3549,25.3549
isolated,tlb,sparse-base,33554432,1,0,0,0,1,3,24.9026,24.9989,24.9989
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,0,40,140.003,150.003,160.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,1,40,140.003,150.003,270.006
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,1,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,0,40,140.003,150.003,190.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,1,40,140.003,150.003,230.005
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,0,40,140.003,150.003,170.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,0,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,1,40,140.003,150.003,180.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,0,40,140.003,150.003,200.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,0,40,30.0007,30.0007,40.0009
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,1,40,140.003,150.003,180.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,1,40,20.0004,30.0007,40.0009
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,0,40,140.003,150.003,200.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,0,40,30.0007,140.003,180.004
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,0,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,1,40,140.003,150.003,180.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,1,40,30.0007,30.0007,160.004
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,1,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,0,40,140.003,150.003,160.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,0,40,30.0007,140.003,150.003
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,0,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,1,40,140.003,150.003,170.004
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,1,40,30.0007,150.003,160.004
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,0,40,140.003,150.003,190.004
isolated,adjacent,parity0:trained,33554432,0,1,1,-2,0,40,30.0007,140.003,160.004
isolated,adjacent,parity0:hot,33554432,0,1,1,-2,0,40,20.0004,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,1,40,140.003,150.003,180.004
isolated,adjacent,parity0:trained,33554432,0,1,1,-2,1,40,30.0007,150.003,160.004
isolated,adjacent,parity0:hot,33554432,0,1,1,-2,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,-1,0,40,140.003,150.003,160.004
isolated,adjacent,parity0:trained,33554432,0,1,1,-1,0,40,30.0007,140.003,170.004
isolated,adjacent,parity0:hot,33554432,0,1,1,-1,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,-1,1,40,140.003,150.003,190.004
isolated,adjacent,parity0:trained,33554432,0,1,1,-1,1,40,30.0007,30.0007,150.003
isolated,adjacent,parity0:hot,33554432,0,1,1,-1,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,1,0,40,140.003,150.003,170.004
isolated,adjacent,parity0:trained,33554432,0,1,1,1,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:hot,33554432,0,1,1,1,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,1,1,40,140.003,150.003,200.004
isolated,adjacent,parity0:trained,33554432,0,1,1,1,1,40,30.0007,30.0007,40.0009
isolated,adjacent,parity0:hot,33554432,0,1,1,1,1,40,20.0004,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,2,0,40,140.003,150.003,180.004
isolated,adjacent,parity0:trained,33554432,0,1,1,2,0,40,30.0007,30.0007,160.004
isolated,adjacent,parity0:hot,33554432,0,1,1,2,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,2,1,40,140.003,150.003,180.004
isolated,adjacent,parity0:trained,33554432,0,1,1,2,1,40,30.0007,150.003,270.006
isolated,adjacent,parity0:hot,33554432,0,1,1,2,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,4,0,40,140.003,150.003,190.004
isolated,adjacent,parity0:trained,33554432,0,1,1,4,0,40,30.0007,150.003,230.005
isolated,adjacent,parity0:hot,33554432,0,1,1,4,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity0:cold,33554432,0,1,1,4,1,40,140.003,150.003,170.004
isolated,adjacent,parity0:trained,33554432,0,1,1,4,1,40,30.0007,130.003,150.003
isolated,adjacent,parity0:hot,33554432,0,1,1,4,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,8,0,40,140.003,150.003,180.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,8,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,8,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,8,1,40,140.003,150.003,160.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,8,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,8,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,16,0,40,140.003,150.003,170.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,16,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,16,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,16,1,40,140.003,150.003,160.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,16,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,16,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,32,0,40,140.003,150.003,160.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,32,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,32,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,32,1,40,140.003,150.003,170.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,32,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:hot,33554432,0,1,1,32,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,64,0,40,140.003,150.003,170.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,64,0,40,30.0007,30.0007,40.0009
isolated,spatial,offset-parity1:hot,33554432,0,1,1,64,0,40,20.0004,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,64,1,40,140.003,150.003,220.005
isolated,spatial,offset-parity1:trained,33554432,0,1,1,64,1,40,30.0007,30.0007,40.0009
isolated,spatial,offset-parity1:hot,33554432,0,1,1,64,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,128,0,40,140.003,150.003,180.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,128,0,40,30.0007,140.003,170.004
isolated,spatial,offset-parity1:hot,33554432,0,1,1,128,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,128,1,40,130.003,150.003,180.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,128,1,40,30.0007,130.003,160.004
isolated,spatial,offset-parity1:hot,33554432,0,1,1,128,1,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,256,0,40,140.003,150.003,190.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,256,0,40,30.0007,150.003,170.004
isolated,spatial,offset-parity1:hot,33554432,0,1,1,256,0,40,30.0007,30.0007,30.0007
isolated,spatial,offset-parity1:cold,33554432,0,1,1,256,1,40,140.003,150.003,180.004
isolated,spatial,offset-parity1:trained,33554432,0,1,1,256,1,40,20.0004,30.0007,150.003
isolated,spatial,offset-parity1:hot,33554432,0,1,1,256,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,-2,0,40,140.003,150.003,180.004
isolated,adjacent,parity1:trained,33554432,0,1,1,-2,0,40,30.0007,140.003,160.004
isolated,adjacent,parity1:hot,33554432,0,1,1,-2,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,-2,1,40,140.003,150.003,200.004
isolated,adjacent,parity1:trained,33554432,0,1,1,-2,1,40,30.0007,40.0009,160.004
isolated,adjacent,parity1:hot,33554432,0,1,1,-2,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,-1,0,40,140.003,150.003,180.004
isolated,adjacent,parity1:trained,33554432,0,1,1,-1,0,40,30.0007,150.003,160.004
isolated,adjacent,parity1:hot,33554432,0,1,1,-1,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,-1,1,40,140.003,150.003,230.005
isolated,adjacent,parity1:trained,33554432,0,1,1,-1,1,40,30.0007,140.003,200.004
isolated,adjacent,parity1:hot,33554432,0,1,1,-1,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,1,0,40,140.003,150.003,170.004
isolated,adjacent,parity1:trained,33554432,0,1,1,1,0,40,30.0007,30.0007,40.0009
isolated,adjacent,parity1:hot,33554432,0,1,1,1,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,1,1,40,140.003,150.003,170.004
isolated,adjacent,parity1:trained,33554432,0,1,1,1,1,40,30.0007,30.0007,40.0009
isolated,adjacent,parity1:hot,33554432,0,1,1,1,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,2,0,40,140.003,150.003,210.005
isolated,adjacent,parity1:trained,33554432,0,1,1,2,0,40,30.0007,150.003,170.004
isolated,adjacent,parity1:hot,33554432,0,1,1,2,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,2,1,40,140.003,150.003,160.004
isolated,adjacent,parity1:trained,33554432,0,1,1,2,1,40,30.0007,30.0007,160.004
isolated,adjacent,parity1:hot,33554432,0,1,1,2,1,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,4,0,40,140.003,150.003,180.004
isolated,adjacent,parity1:trained,33554432,0,1,1,4,0,40,30.0007,140.003,170.004
isolated,adjacent,parity1:hot,33554432,0,1,1,4,0,40,30.0007,30.0007,30.0007
isolated,adjacent,parity1:cold,33554432,0,1,1,4,1,40,140.003,150.003,170.004
isolated,adjacent,parity1:trained,33554432,0,1,1,4,1,40,30.0007,150.003,170.004
isolated,adjacent,parity1:hot,33554432,0,1,1,4,1,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,1,1,0,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,1,1,0,40,30.0007,30.0007,130.003
isolated,learning,within-page:hot,33554432,0,1,1,1,0,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,1,1,1,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,1,1,1,40,30.0007,30.0007,40.0009
isolated,learning,within-page:hot,33554432,0,1,1,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,2,1,0,40,140.003,150.003,220.005
isolated,learning,within-page:trained,33554432,0,1,2,1,0,40,30.0007,140.003,160.004
isolated,learning,within-page:hot,33554432,0,1,2,1,0,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,2,1,1,40,140.003,150.003,160.004
isolated,learning,within-page:trained,33554432,0,1,2,1,1,40,30.0007,140.003,160.004
isolated,learning,within-page:hot,33554432,0,1,2,1,1,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,3,1,0,40,140.003,150.003,160.004
isolated,learning,within-page:trained,33554432,0,1,3,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,3,1,0,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,3,1,1,40,140.003,150.003,160.004
isolated,learning,within-page:trained,33554432,0,1,3,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,3,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,4,1,0,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,4,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,4,1,0,40,20.0004,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,4,1,1,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,4,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,4,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,6,1,0,40,140.003,150.003,190.004
isolated,learning,within-page:trained,33554432,0,1,6,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,6,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,6,1,1,40,140.003,150.003,210.005
isolated,learning,within-page:trained,33554432,0,1,6,1,1,40,20.0004,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,6,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,8,1,0,40,140.003,150.003,220.005
isolated,learning,within-page:trained,33554432,0,1,8,1,0,40,30.0007,40.0009,60.0013
isolated,learning,within-page:hot,33554432,0,1,8,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,8,1,1,40,140.003,150.003,200.004
isolated,learning,within-page:trained,33554432,0,1,8,1,1,40,30.0007,40.0009,70.0016
isolated,learning,within-page:hot,33554432,0,1,8,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,12,1,0,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,12,1,0,40,30.0007,30.0007,40.0009
isolated,learning,within-page:hot,33554432,0,1,12,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,12,1,1,40,140.003,150.003,180.004
isolated,learning,within-page:trained,33554432,0,1,12,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,12,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,16,1,0,40,140.003,150.003,170.004
isolated,learning,within-page:trained,33554432,0,1,16,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,16,1,0,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,1,16,1,1,40,140.003,150.003,190.004
isolated,learning,within-page:trained,33554432,0,1,16,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:hot,33554432,0,1,16,1,1,40,30.0007,30.0007,30.0007
isolated,learning,within-page:cold,33554432,0,2,1,1,0,40,140.003,150.003,180.004
isolated,learning,within-page:trained,33554432,0,2,1,1,0,40,30.0007,30.0007,180.004
isolated,learning,within-page:hot,33554432,0,2,1,1,0,40,30.0007,30.0007,30.0007
