condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.62569,1.63563,1.63563
isolated,mlp,base,16384,1,0,0,0,1,3,1.61546,1.62377,1.62377
isolated,mlp,base,16384,2,0,0,0,0,3,0.8032,0.819838,0.819838
isolated,mlp,base,16384,2,0,0,0,1,3,0.794754,0.798459,0.798459
isolated,mlp,base,16384,4,0,0,0,0,3,0.399792,0.413328,0.413328
isolated,mlp,base,16384,4,0,0,0,1,3,0.397394,0.39778,0.39778
isolated,mlp,base,16384,8,0,0,0,0,3,0.202332,0.210913,0.210913
isolated,mlp,base,16384,8,0,0,0,1,3,0.202115,0.202134,0.202134
isolated,mlp,base,16384,12,0,0,0,0,3,0.159614,0.162088,0.162088
isolated,mlp,base,16384,12,0,0,0,1,3,0.159331,0.15972,0.15972
isolated,mlp,base,16384,16,0,0,0,0,3,0.231766,0.241354,0.241354
isolated,mlp,base,16384,16,0,0,0,1,3,0.231767,0.231872,0.231872
isolated,mlp,base,16384,24,0,0,0,0,3,0.332449,0.346861,0.346861
isolated,mlp,base,16384,24,0,0,0,1,3,0.331107,0.331115,0.331115
isolated,mlp,base,16384,32,0,0,0,0,3,0.372467,0.389168,0.389168
isolated,mlp,base,16384,32,0,0,0,1,3,0.372465,0.372657,0.372657
isolated,mlp,base,16384,48,0,0,0,0,3,0.442156,0.448228,0.448228
isolated,mlp,base,16384,48,0,0,0,1,3,0.441414,0.441423,0.441423
isolated,mlp,base,16384,64,0,0,0,0,3,0.458985,0.47161,0.47161
isolated,mlp,base,16384,64,0,0,0,1,3,0.456331,0.46168,0.46168
isolated,mlp,base,524288,1,0,0,0,0,3,4.97357,4.97989,4.97989
isolated,mlp,base,524288,1,0,0,0,1,3,4.9801,5.1896,5.1896
isolated,mlp,base,524288,2,0,0,0,0,3,2.48893,2.49112,2.49112
isolated,mlp,base,524288,2,0,0,0,1,3,2.49183,2.59596,2.59596
isolated,mlp,base,524288,4,0,0,0,0,3,1.25874,1.26284,1.26284
isolated,mlp,base,524288,4,0,0,0,1,3,1.26272,1.31954,1.31954
isolated,mlp,base,524288,8,0,0,0,0,3,0.65935,0.660193,0.660193
isolated,mlp,base,524288,8,0,0,0,1,3,0.659358,0.687032,0.687032
isolated,mlp,base,524288,12,0,0,0,0,3,0.479373,0.48096,0.48096
isolated,mlp,base,524288,12,0,0,0,1,3,0.477412,0.483561,0.483561
isolated,mlp,base,524288,16,0,0,0,0,3,0.504228,0.51082,0.51082
isolated,mlp,base,524288,16,0,0,0,1,3,0.504404,0.51274,0.51274
isolated,mlp,base,524288,24,0,0,0,0,3,0.602734,0.612036,0.612036
isolated,mlp,base,524288,24,0,0,0,1,3,0.602663,0.602891,0.602891
isolated,mlp,base,524288,32,0,0,0,0,3,0.645118,0.67675,0.67675
isolated,mlp,base,524288,32,0,0,0,1,3,0.644578,0.645378,0.645378
isolated,mlp,base,524288,48,0,0,0,0,3,0.71487,0.728431,0.728431
isolated,mlp,base,524288,48,0,0,0,1,3,0.715094,0.715262,0.715262
isolated,mlp,base,524288,64,0,0,0,0,3,0.727504,0.738333,0.738333
isolated,mlp,base,524288,64,0,0,0,1,3,0.72754,0.732375,0.732375
isolated,mlp,base,8388608,1,0,0,0,0,3,39.7768,39.8397,39.8397
isolated,mlp,base,8388608,1,0,0,0,1,3,39.5382,39.7728,39.7728
isolated,mlp,base,8388608,2,0,0,0,0,3,19.7916,19.9376,19.9376
isolated,mlp,base,8388608,2,0,0,0,1,3,20.0307,20.1098,20.1098
isolated,mlp,base,8388608,4,0,0,0,0,3,10.121,10.1299,10.1299
isolated,mlp,base,8388608,4,0,0,0,1,3,10.0188,10.0556,10.0556
isolated,mlp,base,8388608,8,0,0,0,0,3,5.08596,5.08934,5.08934
isolated,mlp,base,8388608,8,0,0,0,1,3,5.08583,5.16701,5.16701
isolated,mlp,base,8388608,12,0,0,0,0,3,3.53985,3.60101,3.60101
isolated,mlp,base,8388608,12,0,0,0,1,3,3.5387,3.5408,3.5408
isolated,mlp,base,8388608,16,0,0,0,0,3,3.03843,3.03883,3.03883
isolated,mlp,base,8388608,16,0,0,0,1,3,3.05248,3.07493,3.07493
isolated,mlp,base,8388608,24,0,0,0,0,3,2.88198,2.89552,2.89552
isolated,mlp,base,8388608,24,0,0,0,1,3,2.87757,2.88439,2.88439
isolated,mlp,base,8388608,32,0,0,0,0,3,2.84835,2.85743,2.85743
isolated,mlp,base,8388608,32,0,0,0,1,3,2.86234,2.86565,2.86565
isolated,mlp,base,8388608,48,0,0,0,0,3,2.82207,2.84314,2.84314
isolated,mlp,base,8388608,48,0,0,0,1,3,2.8378,2.84208,2.84208
isolated,mlp,base,8388608,64,0,0,0,0,3,2.85466,2.8732,2.8732
isolated,mlp,base,8388608,64,0,0,0,1,3,2.85422,2.88015,2.88015
isolated,mlp,base,268435456,1,0,0,0,0,3,102.114,106.55,106.55
isolated,mlp,base,268435456,1,0,0,0,1,3,99.6637,101.59,101.59
isolated,mlp,base,268435456,2,0,0,0,0,3,36.844,40.3017,40.3017
isolated,mlp,base,268435456,2,0,0,0,1,3,43.4133,45.2457,45.2457
isolated,mlp,base,268435456,4,0,0,0,0,3,31.3727,31.3767,31.3767
isolated,mlp,base,268435456,4,0,0,0,1,3,30.9354,31.6712,31.6712
isolated,mlp,base,268435456,8,0,0,0,0,3,15.7135,16.0337,16.0337
isolated,mlp,base,268435456,8,0,0,0,1,3,16.8969,17.4809,17.4809
isolated,mlp,base,268435456,12,0,0,0,0,3,10.8368,11.0388,11.0388
isolated,mlp,base,268435456,12,0,0,0,1,3,12.0454,12.7616,12.7616
isolated,mlp,base,268435456,16,0,0,0,0,3,8.87559,8.97327,8.97327
isolated,mlp,base,268435456,16,0,0,0,1,3,10.6823,11.0899,11.0899
isolated,mlp,base,268435456,24,0,0,0,0,3,8.42685,8.46935,8.46935
isolated,mlp,base,268435456,24,0,0,0,1,3,10.2109,10.449,10.449
isolated,mlp,base,268435456,32,0,0,0,0,3,7.93206,8.09037,8.09037
