condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.61508,1.63251,1.63251
isolated,mlp,base,16384,1,0,0,0,1,3,1.60043,1.62044,1.62044
isolated,mlp,base,16384,1,0,0,0,2,3,1.61607,1.61845,1.61845
isolated,mlp,base,16384,2,0,0,0,0,3,0.810292,0.822243,0.822243
isolated,mlp,base,16384,2,0,0,0,1,3,0.808978,0.81367,0.81367
isolated,mlp,base,16384,2,0,0,0,2,3,0.800202,0.802795,0.802795
isolated,mlp,base,16384,4,0,0,0,0,3,0.404039,0.404641,0.404641
isolated,mlp,base,16384,4,0,0,0,1,3,0.403823,0.403873,0.403873
isolated,mlp,base,16384,4,0,0,0,2,3,0.40408,0.404929,0.404929
isolated,mlp,base,16384,8,0,0,0,0,3,0.205544,0.206443,0.206443
isolated,mlp,base,16384,8,0,0,0,1,3,0.206167,0.208391,0.208391
isolated,mlp,base,16384,8,0,0,0,2,3,0.20592,0.20601,0.20601
isolated,mlp,base,16384,12,0,0,0,0,3,0.162119,0.163039,0.163039
isolated,mlp,base,16384,12,0,0,0,1,3,0.16189,0.161915,0.161915
isolated,mlp,base,16384,12,0,0,0,2,3,0.162582,0.162592,0.162592
isolated,mlp,base,16384,16,0,0,0,0,3,0.236529,0.236762,0.236762
isolated,mlp,base,16384,16,0,0,0,1,3,0.236192,0.236568,0.236568
isolated,mlp,base,16384,16,0,0,0,2,3,0.233296,0.236411,0.236411
isolated,mlp,base,16384,24,0,0,0,0,3,0.338498,0.340141,0.340141
isolated,mlp,base,16384,24,0,0,0,1,3,0.336849,0.337373,0.337373
isolated,mlp,base,16384,24,0,0,0,2,3,0.336844,0.337034,0.337034
isolated,mlp,base,16384,32,0,0,0,0,3,0.379307,0.381926,0.381926
isolated,mlp,base,16384,32,0,0,0,1,3,0.378745,0.379751,0.379751
isolated,mlp,base,16384,32,0,0,0,2,3,0.378555,0.378844,0.378844
isolated,mlp,base,16384,48,0,0,0,0,3,0.533695,0.557285,0.557285
isolated,mlp,base,16384,48,0,0,0,1,3,0.444198,0.445604,0.445604
isolated,mlp,base,16384,48,0,0,0,2,3,0.444307,0.448801,0.448801
isolated,mlp,base,16384,64,0,0,0,0,3,0.463334,0.463688,0.463688
isolated,mlp,base,16384,64,0,0,0,1,3,0.463004,0.463924,0.463924
isolated,mlp,base,16384,64,0,0,0,2,3,0.457822,0.465859,0.465859
isolated,mlp,base,524288,1,0,0,0,0,3,5.07816,5.07837,5.07837
isolated,mlp,base,524288,1,0,0,0,1,3,5.0821,5.08427,5.08427
isolated,mlp,base,524288,1,0,0,0,2,3,5.02553,5.07778,5.07778
isolated,mlp,base,524288,2,0,0,0,0,3,2.55028,2.56044,2.56044
isolated,mlp,base,524288,2,0,0,0,1,3,2.55639,2.56471,2.56471
isolated,mlp,base,524288,2,0,0,0,2,3,2.5508,2.55081,2.55081
isolated,mlp,base,524288,4,0,0,0,0,3,1.28871,1.29456,1.29456
isolated,mlp,base,524288,4,0,0,0,1,3,1.27856,1.30092,1.30092
isolated,mlp,base,524288,4,0,0,0,2,3,1.29224,1.29993,1.29993
isolated,mlp,base,524288,8,0,0,0,0,3,0.67505,0.675579,0.675579
isolated,mlp,base,524288,8,0,0,0,1,3,0.683336,0.683872,0.683872
isolated,mlp,base,524288,8,0,0,0,2,3,0.675802,0.678672,0.678672
isolated,mlp,base,524288,12,0,0,0,0,3,0.480471,0.485663,0.485663
isolated,mlp,base,524288,12,0,0,0,1,3,0.484908,0.485183,0.485183
isolated,mlp,base,524288,12,0,0,0,2,3,0.4858,0.485817,0.485817
isolated,mlp,base,524288,16,0,0,0,0,3,0.513016,0.513806,0.513806
isolated,mlp,base,524288,16,0,0,0,1,3,0.507809,0.5162,0.5162
isolated,mlp,base,524288,16,0,0,0,2,3,0.511766,0.514284,0.514284
isolated,mlp,base,524288,24,0,0,0,0,3,0.612944,0.617345,0.617345
isolated,mlp,base,524288,24,0,0,0,1,3,0.612485,0.614148,0.614148
isolated,mlp,base,524288,24,0,0,0,2,3,0.606885,0.61367,0.61367
isolated,mlp,base,524288,32,0,0,0,0,3,0.655073,0.65631,0.65631
isolated,mlp,base,524288,32,0,0,0,1,3,0.657313,0.657475,0.657475
isolated,mlp,base,524288,32,0,0,0,2,3,0.654715,0.65508,0.65508
isolated,mlp,base,524288,48,0,0,0,0,3,0.727084,0.733945,0.733945
isolated,mlp,base,524288,48,0,0,0,1,3,0.720215,0.726488,0.726488
isolated,mlp,base,524288,48,0,0,0,2,3,0.725761,0.727513,0.727513
isolated,mlp,base,524288,64,0,0,0,0,3,0.74062,0.742053,0.742053
isolated,mlp,base,524288,64,0,0,0,1,3,0.73229,0.741501,0.741501
isolated,mlp,base,524288,64,0,0,0,2,3,0.743352,0.747087,0.747087
isolated,mlp,base,8388608,1,0,0,0,0,3,40.1073,40.2072,40.2072
isolated,mlp,base,8388608,1,0,0,0,1,3,39.9419,40.1173,40.1173
isolated,mlp,base,8388608,1,0,0,0,2,3,39.9643,40.0608,40.0608
isolated,mlp,base,8388608,2,0,0,0,0,3,20.154,20.158,20.158
isolated,mlp,base,8388608,2,0,0,0,1,3,20.1141,20.1686,20.1686
isolated,mlp,base,8388608,2,0,0,0,2,3,20.1163,20.1664,20.1664
isolated,mlp,base,8388608,4,0,0,0,0,3,10.1653,10.1755,10.1755
isolated,mlp,base,8388608,4,0,0,0,1,3,10.168,10.1753,10.1753
isolated,mlp,base,8388608,4,0,0,0,2,3,10.1409,10.1533,10.1533
isolated,mlp,base,8388608,8,0,0,0,0,3,5.15181,5.17248,5.17248
isolated,mlp,base,8388608,8,0,0,0,1,3,5.1711,5.1719,5.1719
isolated,mlp,base,8388608,8,0,0,0,2,3,5.17322,5.17723,5.17723
isolated,mlp,base,8388608,12,0,0,0,0,3,3.60409,3.60651,3.60651
isolated,mlp,base,8388608,12,0,0,0,1,3,3.60214,3.60664,3.60664
isolated,mlp,base,8388608,12,0,0,0,2,3,3.59187,3.60571,3.60571
isolated,mlp,base,8388608,16,0,0,0,0,3,3.08497,3.09186,3.09186
isolated,mlp,base,8388608,16,0,0,0,1,3,3.09135,3.09215,3.09215
isolated,mlp,base,8388608,16,0,0,0,2,3,3.09592,3.1012,3.1012
isolated,mlp,base,8388608,24,0,0,0,0,3,2.9185,2.91873,2.91873
isolated,mlp,base,8388608,24,0,0,0,1,3,2.92022,2.92156,2.92156
isolated,mlp,base,8388608,24,0,0,0,2,3,2.92003,2.92037,2.92037
isolated,mlp,base,8388608,32,0,0,0,0,3,2.88408,2.88419,2.88419
isolated,mlp,base,8388608,32,0,0,0,1,3,2.87413,2.88391,2.88391
isolated,mlp,base,8388608,32,0,0,0,2,3,2.88242,2.8864,2.8864
isolated,mlp,base,8388608,48,0,0,0,0,3,2.87905,2.87991,2.87991
isolated,mlp,base,8388608,48,0,0,0,1,3,2.88113,2.88113,2.88113
isolated,mlp,base,8388608,48,0,0,0,2,3,2.86616,2.87717,2.87717
isolated,mlp,base,8388608,64,0,0,0,0,3,2.90105,2.90958,2.90958
isolated,mlp,base,8388608,64,0,0,0,1,3,2.89041,2.90385,2.90385
isolated,mlp,base,8388608,64,0,0,0,2,3,2.90105,2.90158,2.90158
isolated,mlp,base,268435456,1,0,0,0,0,3,97.8903,101.517,101.517
isolated,mlp,base,268435456,1,0,0,0,1,3,87.6243,91.2135,91.2135
isolated,mlp,base,268435456,1,0,0,0,2,3,80.9117,82.7696,82.7696
isolated,mlp,base,268435456,2,0,0,0,0,3,41.7254,43.3084,43.3084
isolated,mlp,base,268435456,2,0,0,0,1,3,42.3514,46.935,46.935
isolated,mlp,base,268435456,2,0,0,0,2,3,62.8093,67.6104,67.6104
isolated,mlp,base,268435456,4,0,0,0,0,3,31.5374,31.7076,31.7076
isolated,mlp,base,268435456,4,0,0,0,1,3,32.7856,34.3809,34.3809
isolated,mlp,base,268435456,4,0,0,0,2,3,36.0792,36.1366,36.1366
isolated,mlp,base,268435456,8,0,0,0,0,3,16.0153,16.6417,16.6417
isolated,mlp,base,268435456,8,0,0,0,1,3,17.9731,18.3109,18.3109
