condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.11466,1.11533,1.11533
isolated,mlp,base,16384,1,0,0,0,1,3,1.11456,1.11557,1.11557
isolated,mlp,base,16384,2,0,0,0,0,3,0.556628,0.556715,0.556715
isolated,mlp,base,16384,2,0,0,0,1,3,0.556721,0.557222,0.557222
isolated,mlp,base,16384,4,0,0,0,0,3,0.278209,0.278399,0.278399
isolated,mlp,base,16384,4,0,0,0,1,3,0.278195,0.278508,0.278508
isolated,mlp,base,16384,8,0,0,0,0,3,0.151685,0.151824,0.151824
isolated,mlp,base,16384,8,0,0,0,1,3,0.15188,0.151974,0.151974
isolated,mlp,base,16384,12,0,0,0,0,3,0.138951,0.139266,0.139266
isolated,mlp,base,16384,12,0,0,0,1,3,0.138528,0.138933,0.138933
isolated,mlp,base,16384,16,0,0,0,0,3,0.207237,0.207583,0.207583
isolated,mlp,base,16384,16,0,0,0,1,3,0.207383,0.207408,0.207408
isolated,mlp,base,16384,24,0,0,0,0,3,0.201654,0.202058,0.202058
isolated,mlp,base,16384,24,0,0,0,1,3,0.201552,0.201924,0.201924
isolated,mlp,base,16384,32,0,0,0,0,3,0.193647,0.193971,0.193971
isolated,mlp,base,16384,32,0,0,0,1,3,0.193648,0.193691,0.193691
isolated,mlp,base,16384,48,0,0,0,0,3,0.209117,0.209371,0.209371
isolated,mlp,base,16384,48,0,0,0,1,3,0.209075,0.209285,0.209285
isolated,mlp,base,16384,64,0,0,0,0,3,0.2296,0.229684,0.229684
isolated,mlp,base,16384,64,0,0,0,1,3,0.229269,0.229281,0.229281
isolated,mlp,base,524288,1,0,0,0,0,3,3.75551,3.76338,3.76338
isolated,mlp,base,524288,1,0,0,0,1,3,3.75968,3.76189,3.76189
isolated,mlp,base,524288,2,0,0,0,0,3,1.88187,1.88194,1.88194
isolated,mlp,base,524288,2,0,0,0,1,3,1.88077,1.88623,1.88623
isolated,mlp,base,524288,4,0,0,0,0,3,0.962924,0.96344,0.96344
isolated,mlp,base,524288,4,0,0,0,1,3,0.962741,0.963628,0.963628
isolated,mlp,base,524288,8,0,0,0,0,3,0.485045,0.485702,0.485702
isolated,mlp,base,524288,8,0,0,0,1,3,0.48614,0.486752,0.486752
isolated,mlp,base,524288,12,0,0,0,0,3,0.33713,0.337238,0.337238
isolated,mlp,base,524288,12,0,0,0,1,3,0.337156,0.337336,0.337336
isolated,mlp,base,524288,16,0,0,0,0,3,0.364655,0.364716,0.364716
isolated,mlp,base,524288,16,0,0,0,1,3,0.3637,0.364861,0.364861
isolated,mlp,base,524288,24,0,0,0,0,3,0.300878,0.301218,0.301218
isolated,mlp,base,524288,24,0,0,0,1,3,0.30136,0.301545,0.301545
isolated,mlp,base,524288,32,0,0,0,0,3,0.283958,0.284231,0.284231
isolated,mlp,base,524288,32,0,0,0,1,3,0.283574,0.284332,0.284332
isolated,mlp,base,524288,48,0,0,0,0,3,0.293405,0.293434,0.293434
isolated,mlp,base,524288,48,0,0,0,1,3,0.29333,0.29364,0.29364
isolated,mlp,base,524288,64,0,0,0,0,3,0.304811,0.305177,0.305177
isolated,mlp,base,524288,64,0,0,0,1,3,0.305251,0.305865,0.305865
isolated,mlp,base,8388608,1,0,0,0,0,3,12.3803,12.386,12.386
isolated,mlp,base,8388608,1,0,0,0,1,3,12.3849,12.425,12.425
isolated,mlp,base,8388608,2,0,0,0,0,3,6.21547,6.23383,6.23383
isolated,mlp,base,8388608,2,0,0,0,1,3,6.216,6.21693,6.21693
isolated,mlp,base,8388608,4,0,0,0,0,3,3.14271,3.14276,3.14276
isolated,mlp,base,8388608,4,0,0,0,1,3,3.14345,3.15401,3.15401
isolated,mlp,base,8388608,8,0,0,0,0,3,1.61479,1.61987,1.61987
isolated,mlp,base,8388608,8,0,0,0,1,3,1.61481,1.61521,1.61521
isolated,mlp,base,8388608,12,0,0,0,0,3,1.10219,1.10227,1.10227
isolated,mlp,base,8388608,12,0,0,0,1,3,1.10196,1.10482,1.10482
isolated,mlp,base,8388608,16,0,0,0,0,3,0.930346,0.931693,0.931693
isolated,mlp,base,8388608,16,0,0,0,1,3,0.928976,0.929429,0.929429
isolated,mlp,base,8388608,24,0,0,0,0,3,0.664523,0.664606,0.664606
isolated,mlp,base,8388608,24,0,0,0,1,3,0.662258,0.66522,0.66522
isolated,mlp,base,8388608,32,0,0,0,0,3,0.568429,0.569755,0.569755
isolated,mlp,base,8388608,32,0,0,0,1,3,0.568529,0.56868,0.56868
isolated,mlp,base,8388608,48,0,0,0,0,3,0.605574,0.606221,0.606221
isolated,mlp,base,8388608,48,0,0,0,1,3,0.606119,0.607936,0.607936
isolated,mlp,base,8388608,64,0,0,0,0,3,0.62408,0.624929,0.624929
isolated,mlp,base,8388608,64,0,0,0,1,3,0.624495,0.625363,0.625363
isolated,mlp,base,268435456,1,0,0,0,0,3,137.808,138.104,138.104
isolated,mlp,base,268435456,1,0,0,0,1,3,138.071,138.226,138.226
isolated,mlp,base,268435456,2,0,0,0,0,3,69.0655,69.1417,69.1417
isolated,mlp,base,268435456,2,0,0,0,1,3,68.5564,69.1029,69.1029
isolated,mlp,base,268435456,4,0,0,0,0,3,34.6995,34.7638,34.7638
isolated,mlp,base,268435456,4,0,0,0,1,3,34.8269,34.9041,34.9041
isolated,mlp,base,268435456,8,0,0,0,0,3,17.9771,18.0175,18.0175
isolated,mlp,base,268435456,8,0,0,0,1,3,18.0102,18.026,18.026
isolated,mlp,base,268435456,12,0,0,0,0,3,12.0396,12.0859,12.0859
isolated,mlp,base,268435456,12,0,0,0,1,3,12.0985,12.1103,12.1103
isolated,mlp,base,268435456,16,0,0,0,0,3,9.10481,9.14586,9.14586
isolated,mlp,base,268435456,16,0,0,0,1,3,9.17492,9.18744,9.18744
isolated,mlp,base,268435456,24,0,0,0,0,3,6.13641,6.1481,6.1481
isolated,mlp,base,268435456,24,0,0,0,1,3,6.12148,6.13007,6.13007
isolated,mlp,base,268435456,32,0,0,0,0,3,4.90915,4.9467,4.9467
isolated,mlp,base,268435456,32,0,0,0,1,3,4.98471,4.99242,4.99242
isolated,mlp,base,268435456,48,0,0,0,0,3,5.01331,5.06491,5.06491
isolated,mlp,base,268435456,48,0,0,0,1,3,5.06177,5.07484,5.07484
isolated,mlp,base,268435456,64,0,0,0,0,3,4.96178,5.02372,5.02372
isolated,mlp,base,268435456,64,0,0,0,1,3,5.07505,5.09533,5.09533
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.11381,1.11721,1.11721
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.11361,1.11433,1.11433
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,1.11328,1.11387,1.11387
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,1.11307,1.11422,1.11422
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.21069,1.21076,1.21076
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.21068,1.21155,1.21155
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,1.11287,1.11287,1.11287
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,1.11273,1.11453,1.11453
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.13719,1.13732,1.13732
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.13769,1.13888,1.13888
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,1.13742,1.13751,1.13751
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,1.13744,1.13935,1.13935
isolated,tlb,packed-base,8192,1,0,0,0,0,3,1.13734,1.13816,1.13816
isolated,tlb,packed-base,8192,1,0,0,0,1,3,1.1375,1.13917,1.13917
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,2.31033,2.32391,2.32391
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,2.31201,2.32708,2.32708
isolated,tlb,packed-base,16384,1,0,0,0,0,3,1.1375,1.13773,1.13773
isolated,tlb,packed-base,16384,1,0,0,0,1,3,1.13754,1.13956,1.13956
