condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.11742,1.13555,1.13555
isolated,mlp,base,16384,1,0,0,0,1,3,1.11357,1.11444,1.11444
isolated,mlp,base,16384,1,0,0,0,2,3,1.11336,1.11408,1.11408
isolated,mlp,base,16384,2,0,0,0,0,3,0.556959,0.557003,0.557003
isolated,mlp,base,16384,2,0,0,0,1,3,0.556889,0.557027,0.557027
isolated,mlp,base,16384,2,0,0,0,2,3,0.55688,0.55698,0.55698
isolated,mlp,base,16384,4,0,0,0,0,3,0.278228,0.27828,0.27828
isolated,mlp,base,16384,4,0,0,0,1,3,0.278276,0.278286,0.278286
isolated,mlp,base,16384,4,0,0,0,2,3,0.278245,0.278312,0.278312
isolated,mlp,base,16384,8,0,0,0,0,3,0.152812,0.152918,0.152918
isolated,mlp,base,16384,8,0,0,0,1,3,0.153258,0.15337,0.15337
isolated,mlp,base,16384,8,0,0,0,2,3,0.152908,0.153158,0.153158
isolated,mlp,base,16384,12,0,0,0,0,3,0.139882,0.139924,0.139924
isolated,mlp,base,16384,12,0,0,0,1,3,0.139796,0.139847,0.139847
isolated,mlp,base,16384,12,0,0,0,2,3,0.139947,0.139985,0.139985
isolated,mlp,base,16384,16,0,0,0,0,3,0.207078,0.207107,0.207107
isolated,mlp,base,16384,16,0,0,0,1,3,0.207117,0.207221,0.207221
isolated,mlp,base,16384,16,0,0,0,2,3,0.20689,0.207011,0.207011
isolated,mlp,base,16384,24,0,0,0,0,3,0.200848,0.200883,0.200883
isolated,mlp,base,16384,24,0,0,0,1,3,0.20074,0.200844,0.200844
isolated,mlp,base,16384,24,0,0,0,2,3,0.200816,0.200937,0.200937
isolated,mlp,base,16384,32,0,0,0,0,3,0.193603,0.193605,0.193605
isolated,mlp,base,16384,32,0,0,0,1,3,0.193557,0.193584,0.193584
isolated,mlp,base,16384,32,0,0,0,2,3,0.193613,0.193635,0.193635
isolated,mlp,base,16384,48,0,0,0,0,3,0.209268,0.209286,0.209286
isolated,mlp,base,16384,48,0,0,0,1,3,0.209235,0.20927,0.20927
isolated,mlp,base,16384,48,0,0,0,2,3,0.209293,0.209324,0.209324
isolated,mlp,base,16384,64,0,0,0,0,3,0.229272,0.229278,0.229278
isolated,mlp,base,16384,64,0,0,0,1,3,0.229245,0.229257,0.229257
isolated,mlp,base,16384,64,0,0,0,2,3,0.22924,0.229316,0.229316
isolated,mlp,base,524288,1,0,0,0,0,3,3.78127,3.78602,3.78602
isolated,mlp,base,524288,1,0,0,0,1,3,3.78225,3.78791,3.78791
isolated,mlp,base,524288,1,0,0,0,2,3,3.77794,3.7823,3.7823
isolated,mlp,base,524288,2,0,0,0,0,3,1.89417,1.89486,1.89486
isolated,mlp,base,524288,2,0,0,0,1,3,1.89443,1.89688,1.89688
isolated,mlp,base,524288,2,0,0,0,2,3,1.8954,1.89689,1.89689
isolated,mlp,base,524288,4,0,0,0,0,3,0.96821,0.96857,0.96857
isolated,mlp,base,524288,4,0,0,0,1,3,0.96756,0.968162,0.968162
isolated,mlp,base,524288,4,0,0,0,2,3,0.968144,0.968452,0.968452
isolated,mlp,base,524288,8,0,0,0,0,3,0.489815,0.489908,0.489908
isolated,mlp,base,524288,8,0,0,0,1,3,0.488236,0.488629,0.488629
isolated,mlp,base,524288,8,0,0,0,2,3,0.488401,0.489235,0.489235
isolated,mlp,base,524288,12,0,0,0,0,3,0.337183,0.337522,0.337522
isolated,mlp,base,524288,12,0,0,0,1,3,0.337299,0.337653,0.337653
isolated,mlp,base,524288,12,0,0,0,2,3,0.337567,0.337581,0.337581
isolated,mlp,base,524288,16,0,0,0,0,3,0.364795,0.364845,0.364845
isolated,mlp,base,524288,16,0,0,0,1,3,0.36457,0.364589,0.364589
isolated,mlp,base,524288,16,0,0,0,2,3,0.364563,0.3647,0.3647
isolated,mlp,base,524288,24,0,0,0,0,3,0.302023,0.302026,0.302026
isolated,mlp,base,524288,24,0,0,0,1,3,0.301927,0.301996,0.301996
isolated,mlp,base,524288,24,0,0,0,2,3,0.301832,0.302112,0.302112
isolated,mlp,base,524288,32,0,0,0,0,3,0.284329,0.284359,0.284359
isolated,mlp,base,524288,32,0,0,0,1,3,0.284096,0.284385,0.284385
isolated,mlp,base,524288,32,0,0,0,2,3,0.284305,0.284403,0.284403
isolated,mlp,base,524288,48,0,0,0,0,3,0.293874,0.293959,0.293959
isolated,mlp,base,524288,48,0,0,0,1,3,0.293729,0.293981,0.293981
isolated,mlp,base,524288,48,0,0,0,2,3,0.293772,0.29426,0.29426
isolated,mlp,base,524288,64,0,0,0,0,3,0.305787,0.305789,0.305789
isolated,mlp,base,524288,64,0,0,0,1,3,0.305818,0.305822,0.305822
isolated,mlp,base,524288,64,0,0,0,2,3,0.305744,0.305798,0.305798
isolated,mlp,base,8388608,1,0,0,0,0,3,12.3975,12.4048,12.4048
isolated,mlp,base,8388608,1,0,0,0,1,3,12.3958,12.4026,12.4026
isolated,mlp,base,8388608,1,0,0,0,2,3,12.3997,12.404,12.404
isolated,mlp,base,8388608,2,0,0,0,0,3,6.21913,6.2203,6.2203
isolated,mlp,base,8388608,2,0,0,0,1,3,6.22559,6.22842,6.22842
isolated,mlp,base,8388608,2,0,0,0,2,3,6.22484,6.22719,6.22719
isolated,mlp,base,8388608,4,0,0,0,0,3,3.14717,3.1489,3.1489
isolated,mlp,base,8388608,4,0,0,0,1,3,3.14756,3.14853,3.14853
isolated,mlp,base,8388608,4,0,0,0,2,3,3.14743,3.14772,3.14772
isolated,mlp,base,8388608,8,0,0,0,0,3,1.61781,1.61867,1.61867
isolated,mlp,base,8388608,8,0,0,0,1,3,1.61761,1.61799,1.61799
isolated,mlp,base,8388608,8,0,0,0,2,3,1.61772,1.61791,1.61791
isolated,mlp,base,8388608,12,0,0,0,0,3,1.10286,1.10324,1.10324
