condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.55671,1.55841,1.55841
isolated,mlp,base,16384,1,0,0,0,1,3,1.55656,1.56019,1.56019
isolated,mlp,base,16384,2,0,0,0,0,3,0.77921,0.779391,0.779391
isolated,mlp,base,16384,2,0,0,0,1,3,0.776807,0.778058,0.778058
isolated,mlp,base,16384,4,0,0,0,0,3,0.388893,0.390675,0.390675
isolated,mlp,base,16384,4,0,0,0,1,3,0.386411,0.387238,0.387238
isolated,mlp,base,16384,8,0,0,0,0,3,0.19643,0.196738,0.196738
isolated,mlp,base,16384,8,0,0,0,1,3,0.196394,0.196705,0.196705
isolated,mlp,base,16384,12,0,0,0,0,3,0.158403,0.158593,0.158593
isolated,mlp,base,16384,12,0,0,0,1,3,0.157455,0.158262,0.158262
isolated,mlp,base,16384,16,0,0,0,0,3,0.226357,0.228534,0.228534
isolated,mlp,base,16384,16,0,0,0,1,3,0.225965,0.226203,0.226203
isolated,mlp,base,16384,24,0,0,0,0,3,0.322577,0.322578,0.322578
isolated,mlp,base,16384,24,0,0,0,1,3,0.322612,0.32311,0.32311
isolated,mlp,base,16384,32,0,0,0,0,3,0.362898,0.365184,0.365184
isolated,mlp,base,16384,32,0,0,0,1,3,0.363446,0.363677,0.363677
isolated,mlp,base,16384,48,0,0,0,0,3,0.431107,0.431308,0.431308
isolated,mlp,base,16384,48,0,0,0,1,3,0.430857,0.43111,0.43111
isolated,mlp,base,16384,64,0,0,0,0,3,0.443648,0.444598,0.444598
isolated,mlp,base,16384,64,0,0,0,1,3,0.44425,0.44441,0.44441
isolated,mlp,base,524288,1,0,0,0,0,3,4.86158,4.86429,4.86429
isolated,mlp,base,524288,1,0,0,0,1,3,4.85345,4.86603,4.86603
isolated,mlp,base,524288,2,0,0,0,0,3,2.43088,2.43463,2.43463
isolated,mlp,base,524288,2,0,0,0,1,3,2.41983,2.42606,2.42606
isolated,mlp,base,524288,4,0,0,0,0,3,1.22572,1.22777,1.22777
isolated,mlp,base,524288,4,0,0,0,1,3,1.22569,1.22572,1.22572
isolated,mlp,base,524288,8,0,0,0,0,3,0.642249,0.642994,0.642994
isolated,mlp,base,524288,8,0,0,0,1,3,0.642109,0.642262,0.642262
isolated,mlp,base,524288,12,0,0,0,0,3,0.464477,0.465478,0.465478
isolated,mlp,base,524288,12,0,0,0,1,3,0.464525,0.464875,0.464875
isolated,mlp,base,524288,16,0,0,0,0,3,0.490895,0.491761,0.491761
isolated,mlp,base,524288,16,0,0,0,1,3,0.490794,0.490882,0.490882
isolated,mlp,base,524288,24,0,0,0,0,3,0.58719,0.58826,0.58826
isolated,mlp,base,524288,24,0,0,0,1,3,0.587252,0.587316,0.587316
isolated,mlp,base,524288,32,0,0,0,0,3,0.628238,0.629303,0.629303
isolated,mlp,base,524288,32,0,0,0,1,3,0.628059,0.62898,0.62898
isolated,mlp,base,524288,48,0,0,0,0,3,0.696141,0.697909,0.697909
isolated,mlp,base,524288,48,0,0,0,1,3,0.695205,0.698026,0.698026
isolated,mlp,base,524288,64,0,0,0,0,3,0.7098,0.710002,0.710002
isolated,mlp,base,524288,64,0,0,0,1,3,0.71028,0.711041,0.711041
isolated,mlp,base,8388608,1,0,0,0,0,3,35.4854,36.3324,36.3324
isolated,mlp,base,8388608,1,0,0,0,1,3,35.1531,36.4154,36.4154
isolated,mlp,base,8388608,2,0,0,0,0,3,18.3098,18.3618,18.3618
isolated,mlp,base,8388608,2,0,0,0,1,3,18.3641,18.3956,18.3956
isolated,mlp,base,8388608,4,0,0,0,0,3,9.26265,9.30893,9.30893
isolated,mlp,base,8388608,4,0,0,0,1,3,8.94609,9.27726,9.27726
isolated,mlp,base,8388608,8,0,0,0,0,3,4.6366,4.64334,4.64334
isolated,mlp,base,8388608,8,0,0,0,1,3,4.63157,4.65498,4.65498
isolated,mlp,base,8388608,12,0,0,0,0,3,3.19608,3.19798,3.19798
isolated,mlp,base,8388608,12,0,0,0,1,3,3.19845,3.21589,3.21589
isolated,mlp,base,8388608,16,0,0,0,0,3,2.49185,2.50448,2.50448
isolated,mlp,base,8388608,16,0,0,0,1,3,2.49206,2.50361,2.50361
isolated,mlp,base,8388608,24,0,0,0,0,3,2.1458,2.14682,2.14682
isolated,mlp,base,8388608,24,0,0,0,1,3,2.15318,2.15745,2.15745
isolated,mlp,base,8388608,32,0,0,0,0,3,2.14558,2.15386,2.15386
isolated,mlp,base,8388608,32,0,0,0,1,3,2.14383,2.1458,2.1458
isolated,mlp,base,8388608,48,0,0,0,0,3,2.14552,2.14574,2.14574
isolated,mlp,base,8388608,48,0,0,0,1,3,2.14613,2.15317,2.15317
isolated,mlp,base,8388608,64,0,0,0,0,3,2.14389,2.15367,2.15367
isolated,mlp,base,8388608,64,0,0,0,1,3,2.14362,2.14574,2.14574
isolated,mlp,base,268435456,1,0,0,0,0,3,130.431,131.511,131.511
isolated,mlp,base,268435456,1,0,0,0,1,3,125.096,125.818,125.818
isolated,mlp,base,268435456,2,0,0,0,0,3,54.722,55.3841,55.3841
isolated,mlp,base,268435456,2,0,0,0,1,3,66.2994,69.2262,69.2262
isolated,mlp,base,268435456,4,0,0,0,0,3,32.8382,33.2592,33.2592
isolated,mlp,base,268435456,4,0,0,0,1,3,33.1539,35.3198,35.3198
isolated,mlp,base,268435456,8,0,0,0,0,3,15.4601,15.4976,15.4976
isolated,mlp,base,268435456,8,0,0,0,1,3,18.5959,18.7415,18.7415
isolated,mlp,base,268435456,12,0,0,0,0,3,12.0763,12.1303,12.1303
isolated,mlp,base,268435456,12,0,0,0,1,3,12.1454,12.1539,12.1539
isolated,mlp,base,268435456,16,0,0,0,0,3,8.13989,8.16191,8.16191
isolated,mlp,base,268435456,16,0,0,0,1,3,8.25444,10.5481,10.5481
isolated,mlp,base,268435456,24,0,0,0,0,3,7.62818,7.62924,7.62924
isolated,mlp,base,268435456,24,0,0,0,1,3,7.92354,8.40115,8.40115
isolated,mlp,base,268435456,32,0,0,0,0,3,7.73455,7.74053,7.74053
isolated,mlp,base,268435456,32,0,0,0,1,3,7.80109,8.25123,8.25123
isolated,mlp,base,268435456,48,0,0,0,0,3,7.52859,7.59837,7.59837
isolated,mlp,base,268435456,48,0,0,0,1,3,7.71925,7.91303,7.91303
isolated,mlp,base,268435456,64,0,0,0,0,3,7.70292,7.73475,7.73475
isolated,mlp,base,268435456,64,0,0,0,1,3,7.88042,7.90018,7.90018
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.54773,1.57476,1.57476
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.54352,1.55112,1.55112
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,1.54894,1.55096,1.55096
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,1.54869,1.55286,1.55286
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.54856,1.55048,1.55048
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.54851,1.55217,1.55217
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,1.54851,1.55127,1.55127
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,1.54854,1.55087,1.55087
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.54849,1.55065,1.55065
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.5485,1.54856,1.54856
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,1.54863,1.55105,1.55105
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,1.5487,1.55097,1.55097
isolated,tlb,packed-base,8192,1,0,0,0,0,3,1.5509,1.55573,1.55573
isolated,tlb,packed-base,8192,1,0,0,0,1,3,1.54867,1.55281,1.55281
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,3.36468,3.36783,3.36783
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,3.36476,3.36565,3.36565
isolated,tlb,packed-base,16384,1,0,0,0,0,3,1.54866,1.55089,1.55089
isolated,tlb,packed-base,16384,1,0,0,0,1,3,1.54858,1.55088,1.55088
isolated,tlb,sparse-base,1048576,1,0,0,0,0,3,3.35626,3.36155,3.36155
isolated,tlb,sparse-base,1048576,1,0,0,0,1,3,3.35557,3.36043,3.36043
isolated,tlb,packed-base,32768,1,0,0,0,0,3,1.55135,1.55156,1.55156
isolated,tlb,packed-base,32768,1,0,0,0,1,3,1.55322,1.55352,1.55352
isolated,tlb,sparse-base,2097152,1,0,0,0,0,3,3.35859,3.37745,3.37745
isolated,tlb,sparse-base,2097152,1,0,0,0,1,3,3.36441,3.36657,3.36657
isolated,tlb,packed-base,65536,1,0,0,0,0,3,4.38286,4.38941,4.38941
isolated,tlb,packed-base,65536,1,0,0,0,1,3,4.38227,4.38989,4.38989
isolated,tlb,sparse-base,4194304,1,0,0,0,0,3,6.19548,6.20365,6.20365
isolated,tlb,sparse-base,4194304,1,0,0,0,1,3,6.19258,6.19626,6.19626
isolated,tlb,packed-base,131072,1,0,0,0,0,3,4.38646,4.39387,4.39387
isolated,tlb,packed-base,131072,1,0,0,0,1,3,4.38535,4.39008,4.39008
isolated,tlb,sparse-base,8388608,1,0,0,0,0,3,8.91284,8.99822,8.99822
isolated,tlb,sparse-base,8388608,1,0,0,0,1,3,8.85896,8.86725,8.86725
isolated,tlb,packed-base,262144,1,0,0,0,0,3,4.38981,4.40037,4.40037
isolated,tlb,packed-base,262144,1,0,0,0,1,3,4.38745,4.38873,4.38873
isolated,tlb,sparse-base,16777216,1,0,0,0,0,3,12.7819,12.801,12.801
isolated,tlb,sparse-base,16777216,1,0,0,0,1,3,12.764,12.7751,12.7751
isolated,tlb,packed-base,524288,1,0,0,0,0,3,4.87175,4.8862,4.8862
isolated,tlb,packed-base,524288,1,0,0,0,1,3,4.8648,4.8801,4.8801
isolated,tlb,sparse-base,33554432,1,0,0,0,0,3,13.6797,13.7118,13.7118
isolated,tlb,sparse-base,33554432,1,0,0,0,1,3,13.6511,13.6652,13.6652
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,0,40,145.186,155.557,166.668
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,0,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,0,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,1,40,135.557,143.705,159.261
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,1,40,24.4446,24.4446,24.4446
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,1,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,0,40,136.297,143.705,161.483
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,0,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,0,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,1,40,135.557,143.705,160.742
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,1,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,1,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,0,40,136.297,148.149,233.335
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,0,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,0,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,1,40,137.038,141.483,151.112
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,1,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,1,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,0,40,134.816,143.705,191.853
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,0,40,135.557,144.446,200.002
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,0,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,1,40,135.557,143.705,185.927
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,1,40,136.297,143.705,195.557
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,1,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,0,40,135.557,143.705,177.039
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,0,40,135.557,144.446,214.817
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,0,40,23.7039,24.4446,25.1854
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,1,40,135.557,144.446,160.742
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,1,40,135.557,142.223,182.224
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,1,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,0,40,135.557,142.223,148.89
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,0,40,134.816,144.446,165.927
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,0,40,23.7039,24.4446,24.4446
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,1,40,137.038,143.705,175.557
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,1,40,135.557,144.446,149.631
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,1,40,23.7039,24.4446,24.4446
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,0,40,134.816,143.705,168.15
isolated,adjacent,parity0:trained,33554432,0,1,1,-2,0,40,136.297,143.705,148.149
isolated,adjacent,parity0:hot,33554432,0,1,1,-2,0,40,23.7039,24.4446,24.4446
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,1,40,135.557,143.705,189.631
