condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.55249,1.55493,1.55493
isolated,mlp,base,16384,1,0,0,0,1,3,1.54976,1.55653,1.55653
isolated,mlp,base,16384,1,0,0,0,2,3,1.55257,1.55445,1.55445
isolated,mlp,base,16384,2,0,0,0,0,3,0.7747,0.775357,0.775357
isolated,mlp,base,16384,2,0,0,0,1,3,0.774802,0.774864,0.774864
isolated,mlp,base,16384,2,0,0,0,2,3,0.775574,0.776813,0.776813
isolated,mlp,base,16384,4,0,0,0,0,3,0.38751,0.387635,0.387635
isolated,mlp,base,16384,4,0,0,0,1,3,0.387392,0.387619,0.387619
isolated,mlp,base,16384,4,0,0,0,2,3,0.387414,0.38771,0.38771
isolated,mlp,base,16384,8,0,0,0,0,3,0.196394,0.197001,0.197001
isolated,mlp,base,16384,8,0,0,0,1,3,0.19641,0.196421,0.196421
isolated,mlp,base,16384,8,0,0,0,2,3,0.196383,0.196523,0.196523
isolated,mlp,base,16384,12,0,0,0,0,3,0.158014,0.158048,0.158048
isolated,mlp,base,16384,12,0,0,0,1,3,0.15766,0.157921,0.157921
isolated,mlp,base,16384,12,0,0,0,2,3,0.157772,0.157923,0.157923
isolated,mlp,base,16384,16,0,0,0,0,3,0.22599,0.226,0.226
isolated,mlp,base,16384,16,0,0,0,1,3,0.225969,0.22613,0.22613
isolated,mlp,base,16384,16,0,0,0,2,3,0.227976,0.228345,0.228345
isolated,mlp,base,16384,24,0,0,0,0,3,0.323143,0.324231,0.324231
isolated,mlp,base,16384,24,0,0,0,1,3,0.323009,0.323844,0.323844
isolated,mlp,base,16384,24,0,0,0,2,3,0.323616,0.323678,0.323678
isolated,mlp,base,16384,32,0,0,0,0,3,0.363944,0.364182,0.364182
isolated,mlp,base,16384,32,0,0,0,1,3,0.36349,0.364411,0.364411
isolated,mlp,base,16384,32,0,0,0,2,3,0.363517,0.363926,0.363926
isolated,mlp,base,16384,48,0,0,0,0,3,0.430376,0.431177,0.431177
isolated,mlp,base,16384,48,0,0,0,1,3,0.43046,0.430595,0.430595
isolated,mlp,base,16384,48,0,0,0,2,3,0.430422,0.430467,0.430467
isolated,mlp,base,16384,64,0,0,0,0,3,0.44386,0.443936,0.443936
isolated,mlp,base,16384,64,0,0,0,1,3,0.443851,0.443907,0.443907
isolated,mlp,base,16384,64,0,0,0,2,3,0.443878,0.444913,0.444913
isolated,mlp,base,524288,1,0,0,0,0,3,4.84839,4.85618,4.85618
isolated,mlp,base,524288,1,0,0,0,1,3,4.85494,4.85587,4.85587
isolated,mlp,base,524288,1,0,0,0,2,3,4.85778,4.85941,4.85941
isolated,mlp,base,524288,2,0,0,0,0,3,2.43135,2.43436,2.43436
isolated,mlp,base,524288,2,0,0,0,1,3,2.42348,2.42575,2.42575
isolated,mlp,base,524288,2,0,0,0,2,3,2.42556,2.4273,2.4273
isolated,mlp,base,524288,4,0,0,0,0,3,1.22651,1.22769,1.22769
isolated,mlp,base,524288,4,0,0,0,1,3,1.22529,1.22554,1.22554
isolated,mlp,base,524288,4,0,0,0,2,3,1.22525,1.22563,1.22563
isolated,mlp,base,524288,8,0,0,0,0,3,0.642005,0.642091,0.642091
isolated,mlp,base,524288,8,0,0,0,1,3,0.642011,0.642053,0.642053
isolated,mlp,base,524288,8,0,0,0,2,3,0.641057,0.64193,0.64193
isolated,mlp,base,524288,12,0,0,0,0,3,0.464701,0.465049,0.465049
