condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.73569,1.73852,1.73852
isolated,mlp,base,16384,1,0,0,0,1,3,1.73174,1.73273,1.73273
isolated,mlp,base,16384,2,0,0,0,0,3,0.865167,0.868523,0.868523
isolated,mlp,base,16384,2,0,0,0,1,3,0.865711,0.870213,0.870213
isolated,mlp,base,16384,4,0,0,0,0,3,0.432581,0.434162,0.434162
isolated,mlp,base,16384,4,0,0,0,1,3,0.432464,0.432798,0.432798
isolated,mlp,base,16384,8,0,0,0,0,3,0.234157,0.235076,0.235076
isolated,mlp,base,16384,8,0,0,0,1,3,0.234017,0.234148,0.234148
isolated,mlp,base,16384,12,0,0,0,0,3,0.181552,0.181761,0.181761
isolated,mlp,base,16384,12,0,0,0,1,3,0.18113,0.181284,0.181284
isolated,mlp,base,16384,16,0,0,0,0,3,0.257367,0.258482,0.258482
isolated,mlp,base,16384,16,0,0,0,1,3,0.257249,0.257907,0.257907
isolated,mlp,base,16384,24,0,0,0,0,3,0.360563,0.3618,0.3618
isolated,mlp,base,16384,24,0,0,0,1,3,0.360604,0.361162,0.361162
isolated,mlp,base,16384,32,0,0,0,0,3,0.4057,0.407136,0.407136
isolated,mlp,base,16384,32,0,0,0,1,3,0.405455,0.405512,0.405512
isolated,mlp,base,16384,48,0,0,0,0,3,0.480823,0.482405,0.482405
isolated,mlp,base,16384,48,0,0,0,1,3,0.480595,0.480836,0.480836
isolated,mlp,base,16384,64,0,0,0,0,3,0.495794,0.497322,0.497322
isolated,mlp,base,16384,64,0,0,0,1,3,0.495623,0.497372,0.497372
isolated,mlp,base,524288,1,0,0,0,0,3,5.35922,5.38087,5.38087
isolated,mlp,base,524288,1,0,0,0,1,3,5.35806,5.3747,5.3747
isolated,mlp,base,524288,2,0,0,0,0,3,2.67411,2.68376,2.68376
isolated,mlp,base,524288,2,0,0,0,1,3,2.68001,2.68895,2.68895
isolated,mlp,base,524288,4,0,0,0,0,3,1.36466,1.36515,1.36515
isolated,mlp,base,524288,4,0,0,0,1,3,1.36218,1.36658,1.36658
isolated,mlp,base,524288,8,0,0,0,0,3,0.734969,0.735348,0.735348
isolated,mlp,base,524288,8,0,0,0,1,3,0.735734,0.737975,0.737975
isolated,mlp,base,524288,12,0,0,0,0,3,0.542882,0.544779,0.544779
isolated,mlp,base,524288,12,0,0,0,1,3,0.543041,0.544896,0.544896
isolated,mlp,base,524288,16,0,0,0,0,3,0.560662,0.560799,0.560799
isolated,mlp,base,524288,16,0,0,0,1,3,0.560222,0.56167,0.56167
isolated,mlp,base,524288,24,0,0,0,0,3,0.655722,0.656249,0.656249
isolated,mlp,base,524288,24,0,0,0,1,3,0.655849,0.658073,0.658073
isolated,mlp,base,524288,32,0,0,0,0,3,0.701675,0.701718,0.701718
isolated,mlp,base,524288,32,0,0,0,1,3,0.702344,0.703939,0.703939
isolated,mlp,base,524288,48,0,0,0,0,3,0.777903,0.780751,0.780751
isolated,mlp,base,524288,48,0,0,0,1,3,0.781118,0.783444,0.783444
isolated,mlp,base,524288,64,0,0,0,0,3,0.792941,0.795664,0.795664
isolated,mlp,base,524288,64,0,0,0,1,3,0.793154,0.793493,0.793493
isolated,mlp,base,8388608,1,0,0,0,0,3,116.384,119.526,119.526
isolated,mlp,base,8388608,1,0,0,0,1,3,116.99,118.211,118.211
isolated,mlp,base,8388608,2,0,0,0,0,3,58.9303,59.3395,59.3395
isolated,mlp,base,8388608,2,0,0,0,1,3,59.1914,59.6131,59.6131
isolated,mlp,base,8388608,4,0,0,0,0,3,31.3314,31.3697,31.3697
isolated,mlp,base,8388608,4,0,0,0,1,3,32.2124,32.9203,32.9203
isolated,mlp,base,8388608,8,0,0,0,0,3,10.4423,13.7003,13.7003
isolated,mlp,base,8388608,8,0,0,0,1,3,3.7275,4.02419,4.02419
isolated,mlp,base,8388608,12,0,0,0,0,3,2.54547,3.30803,3.30803
isolated,mlp,base,8388608,12,0,0,0,1,3,2.43205,2.49548,2.49548
isolated,mlp,base,8388608,16,0,0,0,0,3,2.16192,2.20002,2.20002
isolated,mlp,base,8388608,16,0,0,0,1,3,2.15157,2.16691,2.16691
isolated,mlp,base,8388608,24,0,0,0,0,3,2.04701,2.04825,2.04825
isolated,mlp,base,8388608,24,0,0,0,1,3,2.00492,2.05124,2.05124
isolated,mlp,base,8388608,32,0,0,0,0,3,2.00705,2.07557,2.07557
isolated,mlp,base,8388608,32,0,0,0,1,3,2.00655,2.03813,2.03813
isolated,mlp,base,8388608,48,0,0,0,0,3,2.04617,2.11366,2.11366
isolated,mlp,base,8388608,48,0,0,0,1,3,2.10341,2.11715,2.11715
isolated,mlp,base,8388608,64,0,0,0,0,3,2.13185,2.14692,2.14692
isolated,mlp,base,8388608,64,0,0,0,1,3,2.09162,2.13438,2.13438
isolated,mlp,base,268435456,1,0,0,0,0,3,138.207,139.522,139.522
isolated,mlp,base,268435456,1,0,0,0,1,3,135.194,136.962,136.962
isolated,mlp,base,268435456,2,0,0,0,0,3,67.1597,68.3731,68.3731
isolated,mlp,base,268435456,2,0,0,0,1,3,66.9978,68.1824,68.1824
isolated,mlp,base,268435456,4,0,0,0,0,3,34.4311,34.9129,34.9129
isolated,mlp,base,268435456,4,0,0,0,1,3,34.4177,34.6785,34.6785
isolated,mlp,base,268435456,8,0,0,0,0,3,17.5478,17.6546,17.6546
isolated,mlp,base,268435456,8,0,0,0,1,3,17.4308,17.9981,17.9981
isolated,mlp,base,268435456,12,0,0,0,0,3,12.9321,12.9534,12.9534
isolated,mlp,base,268435456,12,0,0,0,1,3,12.9552,12.9567,12.9567
isolated,mlp,base,268435456,16,0,0,0,0,3,12.2096,12.2244,12.2244
isolated,mlp,base,268435456,16,0,0,0,1,3,12.1677,12.3534,12.3534
isolated,mlp,base,268435456,24,0,0,0,0,3,12.2801,12.3363,12.3363
isolated,mlp,base,268435456,24,0,0,0,1,3,12.309,12.3461,12.3461
isolated,mlp,base,268435456,32,0,0,0,0,3,12.2441,12.3446,12.3446
isolated,mlp,base,268435456,32,0,0,0,1,3,12.4494,12.4526,12.4526
isolated,mlp,base,268435456,48,0,0,0,0,3,12.4641,12.4825,12.4825
isolated,mlp,base,268435456,48,0,0,0,1,3,12.4751,12.5498,12.5498
isolated,mlp,base,268435456,64,0,0,0,0,3,12.7328,12.7978,12.7978
isolated,mlp,base,268435456,64,0,0,0,1,3,12.8372,12.9214,12.9214
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.73768,1.74679,1.74679
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.73156,1.73618,1.73618
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,1.73097,1.73328,1.73328
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,1.73019,1.73596,1.73596
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.74023,1.74743,1.74743
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.73971,1.77783,1.77783
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,1.74684,1.74834,1.74834
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,1.73335,1.73903,1.73903
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.76202,1.76768,1.76768
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.7616,1.76704,1.76704
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,1.76279,1.76841,1.76841
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,1.76283,1.7671,1.7671
isolated,tlb,packed-base,8192,1,0,0,0,0,3,1.76379,1.76953,1.76953
isolated,tlb,packed-base,8192,1,0,0,0,1,3,1.7619,1.76193,1.76193
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,3.78479,3.78484,3.78484
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,3.78188,3.79153,3.79153
isolated,tlb,packed-base,16384,1,0,0,0,0,3,1.76184,1.76377,1.76377
isolated,tlb,packed-base,16384,1,0,0,0,1,3,1.7656,1.76714,1.76714
isolated,tlb,sparse-base,1048576,1,0,0,0,0,3,3.78002,3.78984,3.78984
isolated,tlb,sparse-base,1048576,1,0,0,0,1,3,3.78322,3.79513,3.79513
isolated,tlb,packed-base,32768,1,0,0,0,0,3,1.76367,1.76514,1.76514
isolated,tlb,packed-base,32768,1,0,0,0,1,3,1.76664,1.77052,1.77052
isolated,tlb,sparse-base,2097152,1,0,0,0,0,3,3.78362,3.80874,3.80874
isolated,tlb,sparse-base,2097152,1,0,0,0,1,3,3.78272,3.79,3.79
isolated,tlb,packed-base,65536,1,0,0,0,0,3,4.36497,4.38572,4.38572
isolated,tlb,packed-base,65536,1,0,0,0,1,3,4.36528,4.37154,4.37154
isolated,tlb,sparse-base,4194304,1,0,0,0,0,3,6.39067,6.39387,6.39387
isolated,tlb,sparse-base,4194304,1,0,0,0,1,3,6.39534,6.40494,6.40494
isolated,tlb,packed-base,131072,1,0,0,0,0,3,4.37271,4.39014,4.39014
isolated,tlb,packed-base,131072,1,0,0,0,1,3,4.35504,4.3721,4.3721
isolated,tlb,sparse-base,8388608,1,0,0,0,0,3,10.3189,10.3546,10.3546
isolated,tlb,sparse-base,8388608,1,0,0,0,1,3,10.3913,10.4046,10.4046
isolated,tlb,packed-base,262144,1,0,0,0,0,3,4.37322,4.399,4.399
isolated,tlb,packed-base,262144,1,0,0,0,1,3,4.35381,4.36798,4.36798
isolated,tlb,sparse-base,16777216,1,0,0,0,0,3,23.7958,24.0699,24.0699
isolated,tlb,sparse-base,16777216,1,0,0,0,1,3,23.7383,23.9045,23.9045
isolated,tlb,packed-base,524288,1,0,0,0,0,3,5.42079,5.43151,5.43151
isolated,tlb,packed-base,524288,1,0,0,0,1,3,5.41172,5.41505,5.41505
isolated,tlb,sparse-base,33554432,1,0,0,0,0,3,30.8997,31.2849,31.2849
isolated,tlb,sparse-base,33554432,1,0,0,0,1,3,30.9006,30.943,30.943
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,0,40,107.593,118.628,143.457
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,0,40,20.6909,21.3806,22.0703
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,0,40,20.6909,21.3806,22.0703
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,1,40,106.903,116.559,173.114
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,0,40,106.903,117.938,155.182
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,16,1,40,108.972,119.317,188.287
isolated,spatial,offset-parity0:trained,33554432,0,1,1,16,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:hot,33554432,0,1,1,16,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,0,40,106.903,118.628,159.32
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,32,1,40,109.662,120.007,161.389
isolated,spatial,offset-parity0:trained,33554432,0,1,1,32,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:hot,33554432,0,1,1,32,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,0,40,108.972,117.248,147.595
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,0,40,108.972,117.938,144.147
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,64,1,40,108.282,117.248,157.251
isolated,spatial,offset-parity0:trained,33554432,0,1,1,64,1,40,110.351,116.559,184.839
isolated,spatial,offset-parity0:hot,33554432,0,1,1,64,1,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,0,40,108.972,117.938,182.08
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,0,40,106.903,117.938,194.494
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,128,1,40,106.903,120.697,172.424
isolated,spatial,offset-parity0:trained,33554432,0,1,1,128,1,40,106.903,116.559,133.801
isolated,spatial,offset-parity0:hot,33554432,0,1,1,128,1,40,20.6909,21.3806,22.0703
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,0,40,109.662,118.628,161.389
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,0,40,107.593,119.317,153.113
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,0,40,20.6909,21.3806,21.3806
isolated,spatial,offset-parity0:cold,33554432,0,1,1,256,1,40,111.731,120.007,184.149
isolated,spatial,offset-parity0:trained,33554432,0,1,1,256,1,40,108.282,120.697,167.596
isolated,spatial,offset-parity0:hot,33554432,0,1,1,256,1,40,20.6909,21.3806,21.3806
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,0,40,107.593,117.938,158.63
isolated,adjacent,parity0:trained,33554432,0,1,1,-2,0,40,108.282,119.317,170.355
isolated,adjacent,parity0:hot,33554432,0,1,1,-2,0,40,20.6909,21.3806,22.0703
isolated,adjacent,parity0:cold,33554432,0,1,1,-2,1,40,108.282,117.248,133.111
isolated,adjacent,parity0:trained,33554432,0,1,1,-2,1,40,106.903,115.179,152.423
isolated,adjacent,parity0:hot,33554432,0,1,1,-2,1,40,20.6909,21.3806,21.3806
isolated,adjacent,parity0:cold,33554432,0,1,1,-1,0,40,107.593,116.559,126.214
isolated,adjacent,parity0:trained,33554432,0,1,1,-1,0,40,104.834,116.559,136.56
isolated,adjacent,parity0:hot,33554432,0,1,1,-1,0,40,20.6909,21.3806,21.3806
isolated,adjacent,parity0:cold,33554432,0,1,1,-1,1,40,108.972,115.179,123.456
isolated,adjacent,parity0:trained,33554432,0,1,1,-1,1,40,106.213,115.179,144.147
isolated,adjacent,parity0:hot,33554432,0,1,1,-1,1,40,20.6909,21.3806,21.3806
isolated,adjacent,parity0:cold,33554432,0,1,1,1,0,40,106.903,116.559,137.25
isolated,adjacent,parity0:trained,33554432,0,1,1,1,0,40,107.593,115.869,154.492
isolated,adjacent,parity0:hot,33554432,0,1,1,1,0,40,20.6909,21.3806,21.3806
isolated,adjacent,parity0:cold,33554432,0,1,1,1,1,40,107.593,115.869,136.56
isolated,adjacent,parity0:trained,33554432,0,1,1,1,1,40,109.662,123.456,157.94
