condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,16384,1,0,0,0,0,3,1.73367,1.73655,1.73655
isolated,mlp,base,16384,1,0,0,0,1,3,1.73324,1.73572,1.73572
isolated,mlp,base,16384,1,0,0,0,2,3,1.73272,1.73441,1.73441
isolated,mlp,base,16384,2,0,0,0,0,3,0.86613,0.867631,0.867631
isolated,mlp,base,16384,2,0,0,0,1,3,0.866228,0.867319,0.867319
isolated,mlp,base,16384,2,0,0,0,2,3,0.866443,0.867632,0.867632
isolated,mlp,base,16384,4,0,0,0,0,3,0.433297,0.433734,0.433734
isolated,mlp,base,16384,4,0,0,0,1,3,0.433101,0.433713,0.433713
isolated,mlp,base,16384,4,0,0,0,2,3,0.432423,0.433173,0.433173
isolated,mlp,base,16384,8,0,0,0,0,3,0.238172,0.238552,0.238552
isolated,mlp,base,16384,8,0,0,0,1,3,0.238826,0.239008,0.239008
isolated,mlp,base,16384,8,0,0,0,2,3,0.239313,0.244881,0.244881
isolated,mlp,base,16384,12,0,0,0,0,3,0.180169,0.180614,0.180614
isolated,mlp,base,16384,12,0,0,0,1,3,0.180323,0.180811,0.180811
isolated,mlp,base,16384,12,0,0,0,2,3,0.180135,0.180547,0.180547
isolated,mlp,base,16384,16,0,0,0,0,3,0.254174,0.254839,0.254839
isolated,mlp,base,16384,16,0,0,0,1,3,0.254372,0.254617,0.254617
isolated,mlp,base,16384,16,0,0,0,2,3,0.254269,0.254309,0.254309
isolated,mlp,base,16384,24,0,0,0,0,3,0.361357,0.36175,0.36175
isolated,mlp,base,16384,24,0,0,0,1,3,0.361063,0.361234,0.361234
isolated,mlp,base,16384,24,0,0,0,2,3,0.361069,0.361092,0.361092
isolated,mlp,base,16384,32,0,0,0,0,3,0.406022,0.406145,0.406145
isolated,mlp,base,16384,32,0,0,0,1,3,0.406416,0.408043,0.408043
isolated,mlp,base,16384,32,0,0,0,2,3,0.406142,0.40666,0.40666
isolated,mlp,base,16384,48,0,0,0,0,3,0.481344,0.482972,0.482972
isolated,mlp,base,16384,48,0,0,0,1,3,0.481437,0.481759,0.481759
isolated,mlp,base,16384,48,0,0,0,2,3,0.481503,0.482336,0.482336
isolated,mlp,base,16384,64,0,0,0,0,3,0.496288,0.496433,0.496433
isolated,mlp,base,16384,64,0,0,0,1,3,0.496315,0.496321,0.496321
isolated,mlp,base,16384,64,0,0,0,2,3,0.496562,0.496732,0.496732
isolated,mlp,base,524288,1,0,0,0,0,3,5.3951,5.40323,5.40323
isolated,mlp,base,524288,1,0,0,0,1,3,5.39514,5.40378,5.40378
isolated,mlp,base,524288,1,0,0,0,2,3,5.39582,5.39616,5.39616
isolated,mlp,base,524288,2,0,0,0,0,3,2.70648,2.70948,2.70948
isolated,mlp,base,524288,2,0,0,0,1,3,2.70076,2.70568,2.70568
isolated,mlp,base,524288,2,0,0,0,2,3,2.70114,2.70188,2.70188
isolated,mlp,base,524288,4,0,0,0,0,3,1.37559,1.37762,1.37762
isolated,mlp,base,524288,4,0,0,0,1,3,1.3792,1.37942,1.37942
isolated,mlp,base,524288,4,0,0,0,2,3,1.37516,1.37582,1.37582
isolated,mlp,base,524288,8,0,0,0,0,3,0.740346,0.740499,0.740499
isolated,mlp,base,524288,8,0,0,0,1,3,0.741405,0.74151,0.74151
isolated,mlp,base,524288,8,0,0,0,2,3,0.740429,0.741066,0.741066
isolated,mlp,base,524288,12,0,0,0,0,3,0.544992,0.545479,0.545479
isolated,mlp,base,524288,12,0,0,0,1,3,0.545009,0.545215,0.545215
isolated,mlp,base,524288,12,0,0,0,2,3,0.545182,0.545712,0.545712
isolated,mlp,base,524288,16,0,0,0,0,3,0.5655,0.566303,0.566303
isolated,mlp,base,524288,16,0,0,0,1,3,0.564706,0.566054,0.566054
isolated,mlp,base,524288,16,0,0,0,2,3,0.565527,0.566001,0.566001
isolated,mlp,base,524288,24,0,0,0,0,3,0.657044,0.657069,0.657069
isolated,mlp,base,524288,24,0,0,0,1,3,0.657907,0.65848,0.65848
isolated,mlp,base,524288,24,0,0,0,2,3,0.657425,0.658726,0.658726
isolated,mlp,base,524288,32,0,0,0,0,3,0.70322,0.705334,0.705334
isolated,mlp,base,524288,32,0,0,0,1,3,0.702862,0.703062,0.703062
isolated,mlp,base,524288,32,0,0,0,2,3,0.703396,0.70362,0.70362
isolated,mlp,base,524288,48,0,0,0,0,3,0.779521,0.780959,0.780959
isolated,mlp,base,524288,48,0,0,0,1,3,0.779613,0.7801,0.7801
isolated,mlp,base,524288,48,0,0,0,2,3,0.779247,0.779431,0.779431
isolated,mlp,base,524288,64,0,0,0,0,3,0.794024,0.796216,0.796216
