family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
streams,stride2,268435456,1,0,0,0,0,3,22.5788,22.7963,22.7963
streams,stride2,268435456,1,0,0,0,1,3,22.6452,22.8292,22.8292
streams,stride2,268435456,1,0,0,0,2,3,18.2246,19.9938,19.9938
streams,shuffled-within-page,268435456,1,0,0,0,0,3,60.3498,60.509,60.509
streams,shuffled-within-page,268435456,1,0,0,0,1,3,60.8237,61.1072,61.1072
streams,shuffled-within-page,268435456,1,0,0,0,2,3,61.2368,61.8923,61.8923
streams,stride2,268435456,2,0,0,0,0,3,15.9951,16.6625,16.6625
streams,stride2,268435456,2,0,0,0,1,3,27.2106,29.6696,29.6696
streams,stride2,268435456,2,0,0,0,2,3,26.1161,28.4203,28.4203
streams,shuffled-within-page,268435456,2,0,0,0,0,3,43.8885,44.4728,44.4728
streams,shuffled-within-page,268435456,2,0,0,0,1,3,46.307,46.3796,46.3796
streams,shuffled-within-page,268435456,2,0,0,0,2,3,46.7343,53.6423,53.6423
streams,stride2,268435456,4,0,0,0,0,3,12.2111,14.6795,14.6795
streams,stride2,268435456,4,0,0,0,1,3,15.2352,16.564,16.564
streams,stride2,268435456,4,0,0,0,2,3,15.5738,16.6017,16.6017
streams,shuffled-within-page,268435456,4,0,0,0,0,3,55.2896,55.8513,55.8513
streams,shuffled-within-page,268435456,4,0,0,0,1,3,54.45,54.6999,54.6999
streams,shuffled-within-page,268435456,4,0,0,0,2,3,54.7607,56.4842,56.4842
streams,stride2,268435456,8,0,0,0,0,3,13.1845,14.0967,14.0967
streams,stride2,268435456,8,0,0,0,1,3,12.1738,12.4796,12.4796
streams,stride2,268435456,8,0,0,0,2,3,12.6387,13.8696,13.8696
streams,shuffled-within-page,268435456,8,0,0,0,0,3,36.4545,38.2469,38.2469
streams,shuffled-within-page,268435456,8,0,0,0,1,3,36.1709,36.9328,36.9328
streams,shuffled-within-page,268435456,8,0,0,0,2,3,40.112,54.7375,54.7375
streams,stride2,268435456,12,0,0,0,0,3,10.3842,12.498,12.498
streams,stride2,268435456,12,0,0,0,1,3,11.1087,11.5175,11.5175
streams,stride2,268435456,12,0,0,0,2,3,12.8637,14.6105,14.6105
streams,shuffled-within-page,268435456,12,0,0,0,0,3,57.2781,58.0911,58.0911
streams,shuffled-within-page,268435456,12,0,0,0,1,3,55.8393,55.9412,55.9412
streams,shuffled-within-page,268435456,12,0,0,0,2,3,58.3148,60.6236,60.6236
streams,stride2,268435456,16,0,0,0,0,3,11.5243,11.9565,11.9565
streams,stride2,268435456,16,0,0,0,1,3,12.2842,14.2226,14.2226
streams,stride2,268435456,16,0,0,0,2,3,11.0421,13.6791,13.6791
streams,shuffled-within-page,268435456,16,0,0,0,0,3,53.9156,54.2283,54.2283
streams,shuffled-within-page,268435456,16,0,0,0,1,3,51.7276,52.6228,52.6228
streams,shuffled-within-page,268435456,16,0,0,0,2,3,50.8355,51.5409,51.5409
streams,stride2,268435456,24,0,0,0,0,3,10.6635,12.4813,12.4813
streams,stride2,268435456,24,0,0,0,1,3,10.505,13.1813,13.1813
streams,stride2,268435456,24,0,0,0,2,3,13.1234,14.2692,14.2692
streams,shuffled-within-page,268435456,24,0,0,0,0,3,61.2926,62.6228,62.6228
streams,shuffled-within-page,268435456,24,0,0,0,1,3,61.705,61.9481,61.9481
streams,shuffled-within-page,268435456,24,0,0,0,2,3,61.6649,62.1296,62.1296
streams,stride2,268435456,32,0,0,0,0,3,15.4783,16.6078,16.6078
streams,stride2,268435456,32,0,0,0,1,3,16.1256,18.9344,18.9344
streams,stride2,268435456,32,0,0,0,2,3,17.1006,17.5403,17.5403
streams,shuffled-within-page,268435456,32,0,0,0,0,3,48.0691,50.1654,50.1654
streams,shuffled-within-page,268435456,32,0,0,0,1,3,43.3372,45.9866,45.9866
streams,shuffled-within-page,268435456,32,0,0,0,2,3,43.9135,45.4273,45.4273
streams,stride2,268435456,48,0,0,0,0,3,16.5337,16.683,16.683
streams,stride2,268435456,48,0,0,0,1,3,19.814,23.5325,23.5325
streams,stride2,268435456,48,0,0,0,2,3,16.5778,19.7551,19.7551
streams,shuffled-within-page,268435456,48,0,0,0,0,3,67.8913,68.1577,68.1577
streams,shuffled-within-page,268435456,48,0,0,0,1,3,58.8916,59.1747,59.1747
streams,shuffled-within-page,268435456,48,0,0,0,2,3,56.1239,56.3806,56.3806
streams,stride2,268435456,64,0,0,0,0,3,21.707,23.2821,23.2821
streams,stride2,268435456,64,0,0,0,1,3,21.414,23.0925,23.0925
streams,stride2,268435456,64,0,0,0,2,3,18.9173,21.2305,21.2305
streams,shuffled-within-page,268435456,64,0,0,0,0,3,99.7638,101.57,101.57
streams,shuffled-within-page,268435456,64,0,0,0,1,3,97.4919,99.9524,99.9524
streams,shuffled-within-page,268435456,64,0,0,0,2,3,92.3484,92.6346,92.6346
