series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,ordinary_disjoint,arbitration,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,arbitration,0,16,report,96,96,0,0,96,0,1,27,0,{},
sweep,default,ordinary_disjoint,wound-wait,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,wound-wait,0,16,report,96,96,0,0,96,0,1,27,0,{},
sweep,default,ordinary_disjoint,wait-die,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,wait-die,0,16,report,96,96,0,0,96,0,1,27,0,{},
sweep,default,ordinary_disjoint,occ,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,occ,0,16,report,96,96,0,0,96,0,1,28,0,{},
sweep,default,ordinary_disjoint,certification,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,certification,0,16,report,96,96,0,0,96,0,1,28,0,{},
sweep,default,ordinary_disjoint,snapshot-wait,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,snapshot-wait,0,16,report,96,96,0,0,96,0,1,28,0,{},
sweep,default,ordinary_disjoint,ordered-writes,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,ordinary_disjoint,ordered-writes,0,16,report,96,96,0,0,96,0,1,28,0,{},
sweep,default,ordinary_hot_local,arbitration,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,arbitration,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,wound-wait,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,wound-wait,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,wait-die,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,wait-die,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,occ,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,occ,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,certification,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,certification,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,snapshot-wait,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,snapshot-wait,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,ordinary_hot_local,ordered-writes,0,16,local_hot,200,200,0,0,200,0,1,2,0,{},
sweep,default,ordinary_hot_local,ordered-writes,0,16,regional,64,64,0,0,64,0,1,2,0,{},
sweep,default,disjoint_wan,arbitration,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,arbitration,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,arbitration,0,16,wan,32,32,0,0,32,0,84,86,0,{},
sweep,default,disjoint_wan,wound-wait,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,wound-wait,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,wound-wait,0,16,wan,32,32,0,0,32,0,84,86,0,{},
sweep,default,disjoint_wan,wait-die,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,wait-die,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,wait-die,0,16,wan,32,32,0,0,32,0,84,86,0,{},
sweep,default,disjoint_wan,occ,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,occ,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,occ,0,16,wan,32,32,0,0,32,0,115,118,0,{},
sweep,default,disjoint_wan,certification,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,certification,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,certification,0,16,wan,32,32,0,0,32,0,105,106,0,{},
sweep,default,disjoint_wan,snapshot-wait,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,snapshot-wait,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,snapshot-wait,0,16,wan,32,32,0,0,32,0,105,106,0,{},
sweep,default,disjoint_wan,ordered-writes,0,16,regional,128,128,0,0,128,0,0,1,0,{},
sweep,default,disjoint_wan,ordered-writes,0,16,report,48,48,0,0,48,0,0,1,0,{},
sweep,default,disjoint_wan,ordered-writes,0,16,wan,32,32,0,0,32,0,118,121,0,{},
sweep,default,narrow_conflicting_wan,arbitration,0,16,local_hot,96,59,0,0,96,548,128,502,37,{},
sweep,default,narrow_conflicting_wan,arbitration,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,narrow_conflicting_wan,arbitration,0,16,wan,24,6,0,0,24,552,256,509,18,{},
sweep,default,narrow_conflicting_wan,wound-wait,0,16,local_hot,96,29,0,0,96,540,295,519,67,{},
sweep,default,narrow_conflicting_wan,wound-wait,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,narrow_conflicting_wan,wound-wait,0,16,wan,24,7,0,0,24,544,305,528,17,{},
sweep,default,narrow_conflicting_wan,wait-die,0,16,local_hot,2801,29,0,0,96,540,276,487,67,{},
sweep,default,narrow_conflicting_wan,wait-die,0,16,regional,128,128,0,0,128,0,1,1,0,{},
