series,variant,case,policy,seed,width,time_ticks,input_sha256,trace_sha256,logical_state_sha256,serial_check,changes,counts.admission_key_ticks,counts.commits,counts.compute_units,counts.fence_key_ticks,counts.network_messages,counts.peak_admission_keys,counts.peak_fence_keys,counts.peak_read_keys,counts.peak_write_keys,counts.protocol_units,counts.read_key_ticks,counts.service_units,counts.write_key_ticks,arbitration.granted,arbitration.requests,retained_versions_no_gc,certification.attempts,certification.capture_calls,certification.captured_rows,certification.captured_scopes,certification.commit_decisions,certification.duplicate_installed_keys,certification.installed_keys,certification.positions_chosen,certification.promise_calls,certification.promised_groups,certification.promised_keys,certification.promotions,certification.renew_calls,certification.renewed_scopes,write_admission.granted_groups,write_admission.granted_keys,write_admission.released_keys,write_admission.releases,write_admission.requests,counts.promotions,counts.renewal_scopes,counts.discarded_compute_units,counts.probe_units,counts.protection_retries,counts.yielded_chains,arbitration.blocked,arbitration.claims,arbitration.collected,arbitration.deferred,arbitration.edges,arbitration.max_component,arbitration.obsolete,arbitration.released,arbitration.reports,arbitration.scope_keys,arbitration.solver_nodes,arbitration.verdicts,arbitration.handoff_waits,arbitration.deferred_pending,arbitration.dies,arbitration.max_participants,counts.aborts,certification.abort_decisions,certification.rejected_capture_promise,certification.rejected_output_promise,certification.rejected_source_changed,certification.rejections,certification.released_keys,counts.capture_wait_probes,certification.capture_waits,counts.admission_wait_probes,write_admission.blocked_by_holder,write_admission.blocked_by_older_waiter,write_admission.blocked_requests,write_admission.queued_groups,arbitration.wounds,certification.rejected_renew_promise,horizon,counts.execution_passes_started,counts.private_execution_delay_ticks,counts.program_executions,counts.discarded_private_delay_ticks,counts.discovery_compute_units,counts.discovery_passes_discarded,counts.refresh_executions,certification.read_positions_registered,counts.final_value_groups_staged,counts.final_values_staged,counts.fixed_passes_started,counts.fixed_program_executions,certification.fixed_positions_chosen,certification.position_groups_published,certification.position_groups_reserved,certification.unused_outputs_resolved,counts.local_shortcuts_demoted,cap,window_ticks,original_input_sha256,group_manifest_sha256,original_serial_sha256,original_serial_check,original_requests,execution_groups,multi_member_groups,max_group_size,committed_original_requests,grouping_scope
sweep,default,ordinary_disjoint,arbitration,0,16,154,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,b9652b435bbeabb558538756e52c2722dd96486a3302e41faf52d62d6db79c58,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,32,0,288,4352,1856,0,256,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,wound-wait,0,16,154,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,b9652b435bbeabb558538756e52c2722dd96486a3302e41faf52d62d6db79c58,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,32,0,288,4352,1856,0,256,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,wait-die,0,16,154,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,b9652b435bbeabb558538756e52c2722dd96486a3302e41faf52d62d6db79c58,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,32,0,288,4352,1856,0,256,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,occ,0,16,155,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,41ce77dbd479d29a9f47061a4a967311b3c40dd2ab6a83cf2aa2a7ff83d3e2ec,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,0,0,288,0,1856,0,,,176,224,256,1216,256,224,0,128,224,128,128,128,128,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,certification,0,16,155,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,08dcdfc6fa262a589f4d80fa3df51090b253d75b569535c77a8bcec211daec35,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,0,0,288,0,1856,0,,,176,224,256,1216,256,224,0,128,224,128,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,snapshot-wait,0,16,155,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,08dcdfc6fa262a589f4d80fa3df51090b253d75b569535c77a8bcec211daec35,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,0,0,288,0,1856,0,,,176,224,256,1216,256,224,0,128,224,128,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_disjoint,ordered-writes,0,16,155,023a8aeae547d5eafc78035683069a95c79efc5e400334eb1ae35a9f35b3c47f,08dcdfc6fa262a589f4d80fa3df51090b253d75b569535c77a8bcec211daec35,d5ceb0b2c0ed7d28f44e4f100bbc731bed2a32c4e4ee378d93a4c0fc7ca84077,True,{},0,224,1568,0,128,0,0,0,0,288,0,1856,0,,,176,224,256,1216,256,224,0,128,224,128,128,128,,,,128,128,128,192,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_hot_local,arbitration,0,16,65,d6f074828697588abd41d2b21c6c910f7ab2e6502da3c31eca4b2359b4e975d3,649fe0c72e0c357aa7bf8d81f6b3da8045e9669a2c0276bc7ddca86499ab1e0a,6119ef6bde6d2b31b0390d196fa843f94afaff258e7d9d1bfb5b200d9a23f833,True,{},0,264,792,0,,0,0,0,0,,0,792,0,264,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_hot_local,wound-wait,0,16,65,d6f074828697588abd41d2b21c6c910f7ab2e6502da3c31eca4b2359b4e975d3,649fe0c72e0c357aa7bf8d81f6b3da8045e9669a2c0276bc7ddca86499ab1e0a,6119ef6bde6d2b31b0390d196fa843f94afaff258e7d9d1bfb5b200d9a23f833,True,{},0,264,792,0,,0,0,0,0,,0,792,0,264,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep,default,ordinary_hot_local,wait-die,0,16,65,d6f074828697588abd41d2b21c6c910f7ab2e6502da3c31eca4b2359b4e975d3,649fe0c72e0c357aa7bf8d81f6b3da8045e9669a2c0276bc7ddca86499ab1e0a,6119ef6bde6d2b31b0390d196fa843f94afaff258e7d9d1bfb5b200d9a23f833,True,{},0,264,792,0,,0,0,0,0,,0,792,0,264,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
