input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item
01-before,bulk/series/neon/local/k4/h0/u8/decode,1,5,"[1419.0875841375325,1419.1446151974997,1419.0113534992988,1418.8450450085363,1418.9971616251748]",1419.0113534992988,"[1419.0540102170573,1419.110412782498,1418.9780431434826,1418.8118765723734,1418.9634863349536]",1418.9780431434826,"[0.17322846486053867,0.17323542665985106,0.17321915936270738,0.1731988580332686,0.17321742695619807]",0.17321915936270738
01-before,bulk/series/neon/local/k4/h0/u8/encode,1,5,"[1382.32110327387,1382.193151956992,1381.9290498488515,1382.4338806235585,1383.0848003477236]",1382.32110327387,"[1382.2885819837268,1382.1874617206254,1381.9175310701037,1382.4016952165111,1383.3205302984118]",1382.2885819837268,"[0.16874036905198608,0.16872474999475004,0.16869251096787738,0.16875413581830545,0.16883359379244672]",0.16874036905198608
01-before,bulk/series/neon/striped/k4/h0/u8/decode,1,5,"[143.39415790236464,143.48797149160947,144.04512195868796,144.24480315780406,143.92717175448865]",143.92717175448865,"[143.39071885308167,143.48456509792788,144.0416502538217,144.26464351237126,143.92374699206553]",143.92374699206553,"[0.017504169665815996,0.017515621519971856,0.01758363305159765,0.01760800819797413,0.017569234833311603]",0.017569234833311603
01-before,bulk/series/neon/striped/k4/h0/u8/encode,1,5,"[117.89243735311472,117.65287654065988,117.76724269714754,117.70326954832969,117.85545649869354]",117.76724269714754,"[117.88962187614364,117.65014673746978,117.76446753714242,117.70381718891002,117.8526914179001]",117.76446753714242,"[0.014391166669081384,0.014361923405842268,0.014375884118304143,0.014368074896036339,0.014386652404625678]",0.014375884118304143
01-before,bulk/series/neon/striped/k6/h0/u8/decode,1,5,"[159.22204166695127,159.29993366889144,159.49166500265167,159.20271613269074,159.59796691707425]",159.29993366889144,"[159.21826148233413,159.2962200447454,159.48785039006728,159.20200003220086,159.59426247359934]",159.2962200447454,"[0.019436284383172762,0.01944579268419085,0.019469197388019003,0.019433925309166353,0.019482173695931915]",0.01944579268419085
01-before,bulk/series/neon/striped/k6/h0/u8/encode,1,5,"[174.32298790372943,174.54686369871652,174.31512657438742,174.356805087915,174.17316373612715]",174.32298790372943,"[174.3188801597337,174.54274597824977,174.31621897982416,174.35682005247313,174.16908093264223]",174.3188801597337,"[0.02127966160934197,0.02130699019759723,0.021278701974412527,0.02128378968358338,0.02126137252638271]",0.02127966160934197
01-before,scan_grain/k4/bound/decode/256,1,5,"[5.103003331855302,5.088018751806741,5.102059954104052,5.088722960279923,5.101223701975059]",5.101223701975059,"[5.1028830530191165,5.088353939544626,5.102091887178388,5.088604654428803,5.101103203924798]",5.101103203924798,"[0.019933606765059772,0.019875073249245083,0.019929921695718954,0.01987782406359345,0.019926655085840073]",0.019926655085840073
01-before,scan_grain/k4/bound/decode/65536,1,5,"[1193.338239548062,1196.2446017458176,1196.7789991321958,1193.2558832037266,1191.8190882948518]",1193.338239548062,"[1193.3536558405317,1196.3035443842818,1196.7680069427468,1193.2278412080602,1191.791471694249]",1193.3536558405317,"[0.01820889647747897,0.01825324404519375,0.018261398302188047,0.0182076398193928,0.018185716068952206]",0.01820889647747897
01-before,scan_grain/k4/bound/decode/8192,1,5,"[142.06772084306832,142.0326441428356,142.41781270330975,142.1432119577891,141.853007246525]",142.06772084306832,"[142.0643860501457,142.02928479951998,142.45518079476045,142.13985875199623,141.84962539841405]",142.0643860501457,"[0.017342251079476113,0.017337969255717237,0.01738498690225949,0.017351466303441056,0.01731604092364807]",0.017342251079476113
01-before,scan_grain/k4/bound/encode/256,1,5,"[6.679762780561943,6.670300301035257,6.7099703475702475,6.749154744988634,6.748937066688919]",6.7099703475702475,"[6.6796062402972955,6.670143184908842,6.7099948219906045,6.748997820817108,6.748904434133814]",6.7099948219906045,"[0.02609282336157009,0.026055860550918974,0.02621082167019628,0.026363885722611852,0.02636303541675359]",0.02621082167019628
01-before,scan_grain/k4/bound/encode/65536,1,5,"[1032.2524097273385,1034.600073691966,1030.5683714075142,1033.595239498899,1034.9933087693396]",1033.595239498899,"[1032.2273544590487,1034.6164185715397,1030.5439646282227,1033.5707442897562,1034.993765659622]",1033.5707442897562,"[0.015750921779286785,0.015786744288512664,0.01572522539379142,0.015771411735517868,0.015792744579610284]",0.015771411735517868
01-before,scan_grain/k4/bound/encode/8192,1,5,"[115.77559007331828,116.52872373579166,116.16681975494967,116.37328390768756,116.68518870864541]",116.37328390768756,"[115.78608427514112,116.7751078452049,116.16413141537296,116.37056440363575,116.68249544820634]",116.37056440363575,"[0.014132762460121859,0.014224697721654255,0.01418051998961788,0.014205723133262642,0.014243797449785815]",0.014205723133262642
01-before,scan_grain/k4/native/decode/256,1,5,"[4.968445658647302,4.964836021946176,4.969988145036275,4.967544420280066,4.967451678090777]",4.967544420280066,"[4.968329287425378,4.964719934553852,4.969870496565664,4.967428829592434,4.978299888790627]",4.968329287425378,"[0.019407990854091024,0.01939389071072725,0.01941401619154795,0.019404470391719008,0.019404108117542094]",0.019404470391719008
01-before,scan_grain/k4/native/decode/65536,1,5,"[1183.464951768485,1186.7953460822469,1183.8182602809286,1181.8022508038603,1185.6182095109189]",1183.8182602809286,"[1183.4376713490467,1186.7674056536296,1183.7905229303917,1181.7742596047235,1185.6258757832215]",1183.7905229303917,"[0.01805824206189705,0.01810905984622569,0.018063633121962415,0.018032871258603825,0.018091098167586042]",0.018063633121962415
01-before,scan_grain/k4/native/decode/8192,1,5,"[139.35587173041444,139.36211655953682,139.38595032775402,140.54144458410232,139.89975855979085]",139.38595032775402,"[139.35259021185814,139.35888078353375,139.3826449436651,140.54409963091575,139.89989578705112]",139.3826449436651,"[0.017011214810841602,0.017011977119084084,0.017014886514618414,0.017155938059582806,0.01707760724606822]",0.017014886514618414
01-before,scan_grain/k4/native/encode/256,1,5,"[3.753557028293572,3.731720126541053,3.7357444762530596,3.7462870950379634,3.743838095205886]",3.743838095205886,"[3.7535928243757386,3.731632595177049,3.7430972718181517,3.746205306074515,3.7437502418401136]",3.7437502418401136,"[0.014662332141771766,0.014577031744300988,0.014592751860363514,0.014633933964992045,0.01462436755939799]",0.01462436755939799
01-before,scan_grain/k4/native/encode/65536,1,5,"[1015.5807506686718,1016.6355244795864,1013.9572624723816,1015.1541458309142,1014.7085562274779]",1015.1541458309142,"[1015.5565618094631,1016.6420368644472,1013.933466099813,1015.1300151172449,1014.6844400509]",1015.1300151172449,"[0.015496532450388668,0.015512627021478063,0.015471759986456017,0.015490022977156286,0.015483223819389004]",0.015490022977156286
01-before,scan_grain/k4/native/encode/8192,1,5,"[116.76370013593537,116.7392552066724,117.24624666454137,116.38795374830113,116.24314867336855]",116.7392552066724,"[116.7609159715058,116.74259486129635,117.24348599527495,116.389403729018,116.24041149926683]",116.74259486129635,"[0.014253381364249924,0.01425039736409575,0.014312285969792648,0.014207513885290667,0.01418983748454206]",0.01425039736409575
01-before,scan_grain/k4/predecessor256/decode/256,1,5,"[4.043435441593421,4.0380817447109285,4.033549260464237,4.0361100378757415,4.045288653240147]",4.0380817447109285,"[4.044217809972188,4.044782119495337,4.033456680690451,4.036014456754202,4.045193360713368]",4.044217809972188,"[0.0157946696937243,0.015773756815277064,0.015756051798688425,0.015766054835452115,0.015801908801719323]",0.015773756815277064
01-before,scan_grain/k4/predecessor256/decode/65536,1,5,"[1153.2559228423079,1158.4659467480044,1158.2611985821347,1158.735520567134,1157.7039650482336]",1158.2611985821347,"[1153.2291649490694,1158.4743714451436,1158.2336328421475,1158.7470942219265,1159.2595828862134]",1158.4743714451436,"[0.01759728886172955,0.01767678751751716,0.017673663308443218,0.01768090088756003,0.01766516059949087]",0.017673663308443218
01-before,scan_grain/k4/predecessor256/decode/8192,1,5,"[128.61507041967943,128.54162050971965,126.91682533597037,127.2700259707706,128.19034602503433]",128.19034602503433,"[128.6184195248766,128.53854604232177,126.91385961772833,127.26704735018315,128.19625902945182]",128.19625902945182,"[0.015700081838339774,0.015691115784877887,0.01549277653026982,0.015535891842135083,0.015648235598759077]",0.015648235598759077
01-before,scan_grain/k4/predecessor256/encode/256,1,5,"[2.9522138452320146,2.9662410018874112,2.9743695667319767,2.9823208148609095,2.974926423534139]",2.9743695667319767,"[2.9521440471959464,2.9661699733658486,2.97430010813551,2.9822507622405423,2.9749406801549565]",2.97430010813551,"[0.011532085332937557,0.0115868789136227,0.011618631120046782,0.011649690683050428,0.011620806341930228]",0.011618631120046782
