input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:values_per_batch,counter:encoded_bytes
before1,bulk/series/neon/local/k1/h0/u8/decode,1,5,"[195.3588683546006,195.58410802476246,195.98034034280107,196.0005111846068,195.80462133231998]",195.80462133231998,"[195.3532872242585,195.59409707499344,195.97482904575764,195.999388254467,195.7990234419693]",195.7990234419693,"[0.02384751810969246,0.02387501318661651,0.023923381389502087,0.023925843650464698,0.02390193131498047]",0.02390193131498047,8192.0,,1024.0
before1,bulk/series/neon/local/k1/h0/u8/encode,1,5,"[152.79678235332017,154.52015691654705,156.2497374005862,155.5583035006124,154.25135801410505]",154.52015691654705,"[152.7921777527538,154.51577525711667,156.2487470258641,155.5584256888954,154.27116979991916]",154.51577525711667,"[0.018651950970864282,0.018862323842351935,0.019073454272532493,0.018989050720289596,0.018829511476331183]",0.018862323842351935,8192.0,,1024.0
before1,bulk/series/neon/local/k2/h0/u8/decode,1,5,"[404.87803636111283,405.1066878059479,405.29809862170384,404.9661848607259,404.7085209059038]",404.9661848607259,"[404.86547430280376,405.11102753125476,405.35921931107714,404.954861072661,404.6968441508567]",404.954861072661,"[0.0494235884229874,0.049451499976312006,0.049474865554407214,0.049434348737881585,0.04940289561839647]",0.049434348737881585,8192.0,,2048.0
before1,bulk/series/neon/local/k2/h0/u8/encode,1,5,"[1640.1206330597704,1640.1969519343563,1639.931254396242,1640.3990855802933,1639.9086987104351]",1640.1206330597704,"[1640.0740210992424,1640.1501758521592,1639.9139742138404,1640.3525439570406,1639.8630246191917]",1640.0740210992424,"[0.20021003821530403,0.20021935448417438,0.20018692070266625,0.20024402900150065,0.20018416732305117]",0.20021003821530403,8192.0,,2048.0
before1,bulk/series/neon/local/k3/h0/u8/decode,1,5,"[1394.1239442231079,1394.1033067728995,1394.2935856573586,1394.1226494023895,1394.108645418335]",1394.1226494023895,"[1394.0840637471874,1394.0642430313176,1394.2538047815895,1394.1313346618422,1394.069541825355]",1394.0840637471874,"[0.17018114553504732,0.1701786263150512,0.1702018537179393,0.17018098747587765,0.17017927800516783]",0.17018098747587765,8192.0,,3072.0
before1,bulk/series/neon/local/k3/h0/u8/encode,1,5,"[1416.6671933556174,1416.5988453357597,1416.2305479590812,1416.2744657145754,1416.1751443330165]",1416.2744657145754,"[1416.6268408861733,1416.5587562030755,1416.188615423593,1416.2342955572774,1416.135217251359]",1416.2342955572774,"[0.17293300700141817,0.17292466373727536,0.1728797055614113,0.17288506661554875,0.1728729424234639]",0.17288506661554875,8192.0,,3072.0
before1,local2_grain/bound/256,1,5,"[52.26547173716033,52.212376044928284,52.20868382183192,52.276176345117506,52.22803698797673]",52.22803698797673,"[52.269282751033884,52.21232075850235,52.208500032611006,52.2746163772275,52.227703776275746]",52.227703776275746,"[0.20416199897328252,0.2039545939255011,0.20394017117903096,0.20420381384811526,0.2040157694842841]",0.2040157694842841,,256.0,64.0
before1,local2_grain/bound/65536,1,5,"[13099.819236526951,13105.960142215557,13098.563997005991,13099.28274700598,13097.612088323353]",13099.28274700598,"[13099.437500036647,13106.504116784165,13103.978106298886,13099.640905701546,13097.236526942912]",13099.640905701546,"[0.19988737848704455,0.19998108127159972,0.19986822505197127,0.1998791923066098,0.19985370007817618]",0.1998791923066098,,65536.0,16384.0
before1,local2_grain/bound/8192,1,5,"[1639.317655605549,1639.8821709786273,1639.693100862394,1640.2305493063377,1639.6909683164624]",1639.693100862394,"[1639.2713020165504,1639.8807414745797,1639.6439351378435,1640.1799071944815,1639.6437945212497]",1639.6439351378435,"[0.2001120185065367,0.20018092907453947,0.20015784922636645,0.2002234557258713,0.20015758890581817]",0.20015784922636645,,8192.0,2048.0
before1,local2_grain/coalesced64/256,1,5,"[42.34140131164639,42.339536259623856,42.33661557484802,42.338908324496124,42.341593684835935]",42.339536259623856,"[42.34157735123368,42.33832515543282,42.33541173002215,42.33769661512741,42.34125491451855]",42.33832515543282,"[0.16539609887361875,0.16538881351415569,0.16537740458925007,0.165386360642563,0.16539685033139034]",0.16538881351415569,,256.0,64.0
