machine,input_bits,values,arm,repetitions,median_ns_per_value,ratio_to_current32,samples,entry_mod64,input_page_offset,output_page_offset
zen,8,256,current32,20,0.055365091,1.0,"[0.05535561,0.055404505,0.053918399,0.055519897,0.055734346,0.05557289,0.056400992,0.056034496,0.056783305,0.055106349,0.05250797,0.055374572,0.054455273,0.053842943,0.055447755,0.055481656,0.053044846,0.053239774,0.055234145,0.053957757]",16,960,1280
zen,8,256,projected32,20,0.049008595,0.8851894599071463,"[0.051057627,0.049794704,0.048175938,0.050036961,0.050274396,0.0500587,0.047826186,0.050619658,0.048291516,0.048727473,0.046867864,0.048915137,0.049632039,0.047634648,0.048166867,0.049775334,0.047963854,0.047131935,0.050559998,0.049102053]",0,960,1280
zen,8,256,current64_grain_control,20,0.0537581535,0.9709756189148141,"[0.054820653,0.055287363,0.054062271,0.054665104,0.055130918,0.053227443,0.052216314,0.054048749,0.05244356,0.052185189,0.051376702,0.05446481,0.055218911,0.051494179,0.052564131,0.054158701,0.052520489,0.05348218,0.054034127,0.053411996]",48,960,1280
zen,8,256,projected64_grain_control,20,0.047833906499999995,0.8639723268945769,"[0.04901151,0.048850782,0.048346184,0.046924153,0.048279986,0.048249923,0.047062719,0.048807604,0.050135499,0.046149436,0.046302676,0.04925919,0.04880373,0.047176711,0.04741789,0.048479663,0.046212319,0.047314551,0.046768639,0.047014456]",48,960,1280
zen,8,256,direct_predecessor,20,0.0464193075,0.8384219489497453,"[0.046798499,0.047504019,0.046187751,0.046926817,0.046950696,0.044754488,0.045944691,0.047116101,0.048921505,0.045887675,0.046720285,0.047860477,0.046099944,0.044914639,0.046650864,0.045841258,0.044952692,0.045208305,0.044812752,0.047865134]",16,960,1280
zen,16,256,current32,20,0.0735360525,1.0,"[0.071023496,0.073932584,0.07348329,0.072794981,0.073662292,0.07225656,0.073403327,0.071272217,0.074294647,0.07326873,0.074679177,0.07407042,0.076192217,0.074333843,0.07186166,0.07594149,0.074904954,0.073481226,0.072064802,0.073588815]",16,1600,1280
zen,16,256,projected32,20,0.0646473205,0.8791241615804709,"[0.062138814,0.065927844,0.064915748,0.065303257,0.062755281,0.062711118,0.062113855,0.064171204,0.065652469,0.063773992,0.066310359,0.064881846,0.065011488,0.065264886,0.064412795,0.066313811,0.065122917,0.063392987,0.06391798,0.06310893]",0,1600,1280
zen,16,256,current64_grain_control,20,0.071936137,0.9782431141513884,"[0.069342013,0.070693765,0.071912935,0.072072824,0.069350917,0.069160851,0.070330976,0.071402099,0.072312066,0.072594874,0.072372174,0.073557332,0.072733512,0.072169743,0.071196355,0.073676566,0.071959339,0.072263213,0.070048917,0.069915568]",0,1600,1280
zen,16,256,projected64_grain_control,20,0.0632479145,0.8600939586742162,"[0.061477011,0.062889803,0.065029556,0.064476959,0.060962431,0.0614172,0.061912855,0.061190756,0.062882036,0.06408312,0.063287463,0.064024761,0.063966703,0.063282775,0.062248679,0.065263437,0.063213054,0.064803137,0.061801119,0.063542634]",48,1600,1280
zen,32,256,current32,20,0.102264423,1.0,"[0.102346826,0.099698383,0.09876366,0.10218202,0.103755187,0.104294762,0.105926156,0.098728638,0.104325723,0.102667727,0.099493898,0.099099793,0.105496779,0.105793759,0.09936269,0.098132215,0.10505417,0.103577375,0.10195753,0.102165591]",32,2176,1280
zen,32,256,projected32,20,0.092887219,0.9083043376678515,"[0.090847526,0.093478501,0.091258503,0.09386709,0.094529789,0.097350456,0.096469566,0.090525996,0.096863482,0.091092654,0.093897041,0.091586407,0.092259198,0.097298749,0.091590356,0.093248092,0.092526346,0.08996563,0.09379087,0.091946498]",48,2176,1280
zen,32,256,current64_grain_control,20,0.1007131785,0.9848310443212495,"[0.09991784,0.100293055,0.099703409,0.102613188,0.099432055,0.104606651,0.103788305,0.101378836,0.098470699,0.103711747,0.099549033,0.101383012,0.100820526,0.103101023,0.101626836,0.100706641,0.099900886,0.098270427,0.100719716,0.097437404]",32,2176,1280
zen,32,256,projected64_grain_control,20,0.090691548,0.8868338112072466,"[0.091641989,0.088954054,0.089958925,0.088556971,0.091935135,0.09196762,0.092231225,0.088198524,0.08774079,0.092372976,0.089471165,0.090538103,0.092594776,0.093271818,0.087722089,0.088353235,0.088081099,0.090844993,0.092850152,0.092255775]",16,2176,1280
zen,64,256,current32,20,0.127655933,1.0,"[0.127125353,0.132933956,0.12677763,0.125726268,0.124233384,0.124544669,0.128744714,0.125367034,0.12459258,0.133337524,0.132658876,0.130573664,0.130186081,0.131120544,0.132459644,0.128175896,0.12713597,0.128469411,0.124904498,0.125360664]",0,3264,1280
zen,64,256,projected32,20,0.121377101,0.9508144129893281,"[0.120221429,0.124034561,0.121122885,0.118130144,0.117251076,0.117765322,0.12366173,0.117662501,0.120629612,0.122613534,0.124234796,0.122894239,0.123450093,0.123735569,0.126262642,0.119751103,0.121631317,0.122092437,0.117608558,0.119679913]",48,3264,1280
zen,64,256,current64_grain_control,20,0.1212195175,0.9495799736938196,"[0.120450981,0.121828459,0.122709837,0.120426804,0.120043803,0.123374395,0.120422855,0.118376162,0.120792668,0.126129352,0.127126876,0.123278804,0.124896079,0.128057875,0.125118442,0.120976031,0.119124357,0.120117754,0.120006815,0.121463004]",48,3264,1280
zen,64,256,projected64_grain_control,20,0.116757413,0.914625824715879,"[0.118545331,0.120522283,0.115895502,0.116259914,0.11220732,0.116023879,0.115731928,0.11538912,0.116482168,0.118333504,0.118747208,0.11712788,0.116939414,0.119232278,0.117356878,0.117187932,0.116575412,0.119265694,0.113420136,0.112286966]",0,3264,1280
zen,8,8192,current32,20,0.055064935999999995,1.0,"[0.055763872,0.055999221,0.054793406,0.054854278,0.056404982,0.056032879,0.055166367,0.056428919,0.05325401,0.056045078,0.054983715,0.055042779,0.055726228,0.05405486,0.05294989,0.052433431,0.055087093,0.053444764,0.053670108,0.056351731]",16,3264,3328
zen,8,8192,projected32,20,0.049019821,0.8902184322887436,"[0.04963275,0.049232462,0.049047966,0.050052295,0.049212942,0.047992246,0.048788646,0.04964344,0.048069807,0.04944855,0.049361285,0.047283055,0.04787134,0.048991676,0.047470849,0.04763614,0.04958594,0.048943043,0.047511678,0.050097724]",0,3264,3328
zen,8,8192,current64_grain_control,20,0.053357423,0.9689909201020411,"[0.054568937,0.052296618,0.053344272,0.054598665,0.053937959,0.054267464,0.052734716,0.052858956,0.053223945,0.054534124,0.053370574,0.053698646,0.054622937,0.052133804,0.051931741,0.05278022,0.053690672,0.053817669,0.052557802,0.052548153]",48,3264,3328
zen,8,8192,projected64_grain_control,20,0.0465247465,0.8449069386006369,"[0.048690688,0.046155417,0.045472063,0.046163315,0.047133613,0.047295237,0.046280868,0.046513738,0.046535755,0.047511902,0.045674589,0.046421703,0.047782639,0.046592081,0.044695929,0.046787402,0.047399007,0.046493975,0.046822585,0.046170505]",48,3264,3328
zen,8,8192,direct_predecessor,20,0.046038917,0.8360840916985721,"[0.047269681,0.046696354,0.045195494,0.045498662,0.046466036,0.046847491,0.046287201,0.046403095,0.045956038,0.045798661,0.044632671,0.045671871,0.046095887,0.046263378,0.044042803,0.046769649,0.045981947,0.045567151,0.045879651,0.046838064]",16,3264,3328
zen,16,8192,current32,20,0.072636509,1.0,"[0.073691878,0.074261926,0.071705196,0.069685549,0.073268715,0.07312559,0.072698891,0.071233124,0.075299691,0.073131997,0.072552074,0.072574127,0.070155982,0.071064256,0.07294279,0.069930822,0.073126968,0.072219145,0.072540376,0.075233493]",16,3264,3328
zen,16,8192,projected32,20,0.06341543250000001,0.8730517665709954,"[0.062772162,0.062236015,0.060751542,0.061014961,0.062257621,0.061243773,0.063242149,0.065888658,0.065238923,0.06385329,0.065061562,0.063672762,0.061632622,0.064913329,0.061831664,0.061507598,0.063588716,0.065712336,0.063740298,0.065506551]",0,3264,3328
zen,16,8192,current64_grain_control,20,0.071433004,0.983431128277379,"[0.068577413,0.070479713,0.071646448,0.069607839,0.07006963,0.071043167,0.072306577,0.07350684,0.072612651,0.071586769,0.071926929,0.071505629,0.070808064,0.072903302,0.071360379,0.069838401,0.073522076,0.07064173,0.071282409,0.073233958]",0,3264,3328
zen,16,8192,projected64_grain_control,20,0.062362488,0.8585556885725332,"[0.060910914,0.063200947,0.060639597,0.060180265,0.060730498,0.062933285,0.063384566,0.061791062,0.061660711,0.063658752,0.06308442,0.063416384,0.065128431,0.06294211,0.062002324,0.061007217,0.065014362,0.060722038,0.062299754,0.062425222]",48,3264,3328
zen,32,8192,current32,20,0.102482151,1.0,"[0.099069655,0.100139979,0.102101441,0.10153072,0.103902671,0.103341043,0.09959463,0.100804504,0.103975989,0.103861768,0.103568174,0.104609817,0.102862861,0.103712529,0.099603608,0.101014018,0.099914711,0.100767735,0.104168959,0.103229951]",32,3264,3328
zen,32,8192,projected32,20,0.0939298065,0.9165479606297492,"[0.093992896,0.091893412,0.091035135,0.094199836,0.095861629,0.094902247,0.092213679,0.093866717,0.090416692,0.095952492,0.095317695,0.094843384,0.09076624,0.09613492,0.090938315,0.090141948,0.093413755,0.092064478,0.095645711,0.094610773]",48,3264,3328
zen,32,8192,current64_grain_control,20,0.099637583,0.9722432836133583,"[0.09936798,0.096734885,0.103298612,0.100051168,0.101035997,0.102119211,0.100169074,0.100880388,0.095735826,0.101525653,0.098218232,0.100982837,0.098073281,0.099387165,0.098962665,0.096579801,0.098758966,0.099888001,0.096011538,0.102689333]",32,3264,3328
zen,32,8192,projected64_grain_control,20,0.09006027150000001,0.8787898245812582,"[0.090678398,0.087500468,0.091237754,0.08772045,0.093632732,0.09085751,0.089389581,0.089969244,0.092786632,0.08807458,0.087939128,0.093703136,0.090879675,0.089285497,0.091049552,0.090151299,0.089574695,0.088157952,0.087881234,0.092904355]",16,3264,3328
zen,64,8192,current32,20,0.1301424765,1.0,"[0.132154506,0.132003143,0.134904951,0.129459716,0.127878353,0.130821884,0.131243661,0.123757657,0.124174856,0.131060082,0.130628277,0.131139841,0.126875382,0.132301096,0.129656676,0.129166309,0.127603833,0.130778518,0.128025353,0.12640994]",0,3264,3328
zen,64,8192,projected32,20,0.1234341895,0.9484542850235373,"[0.122384392,0.123938709,0.125354294,0.123421263,0.12187089,0.127634306,0.123474013,0.119647209,0.122239921,0.120611768,0.124819934,0.12419717,0.123447116,0.12351238,0.120244861,0.120928161,0.123912293,0.126680624,0.117897049,0.118061971]",48,3264,3328
zen,64,8192,current64_grain_control,20,0.12324317,0.9469865128930446,"[0.121027999,0.124620963,0.126669742,0.122197676,0.12558832,0.124625359,0.124933891,0.123308085,0.122328024,0.124109402,0.126020681,0.120482687,0.123178255,0.120122559,0.12413235,0.119665459,0.122379135,0.124993574,0.123108856,0.117867433]",48,3264,3328
zen,64,8192,projected64_grain_control,20,0.11804646999999999,0.9070556606474289,"[0.11555475,0.119617406,0.120443866,0.117930017,0.122206468,0.118841231,0.12004168,0.115186688,0.116676334,0.117979303,0.119056668,0.120135114,0.113385599,0.116297133,0.121130519,0.11583627,0.116387211,0.122091763,0.118113637,0.112315577]",0,3264,3328
zen,8,65536,current32,20,0.055344130500000005,1.0,"[0.054710126,0.053916315,0.055756869,0.053779224,0.055609029,0.056590671,0.054219838,0.054431472,0.054517079,0.056555599,0.052877378,0.057276411,0.056713495,0.056125863,0.054808382,0.05536068,0.055364965,0.053859709,0.055327581,0.056617513]",16,3264,3328
zen,8,65536,projected32,20,0.049400204,0.8926005983597484,"[0.049591659,0.050182104,0.048829904,0.048382249,0.050292859,0.04999526,0.048158133,0.048571385,0.050470145,0.048497288,0.047603246,0.050128516,0.050684687,0.049208749,0.050163105,0.04912588,0.049972797,0.048413076,0.047811121,0.050963137]",0,3264,3328
zen,8,65536,current64_grain_control,20,0.054735794000000004,0.9890081117093348,"[0.053731969,0.055472907,0.051862767,0.052915022,0.055007594,0.054754999,0.054577487,0.055246761,0.055333784,0.051903093,0.051790085,0.053420864,0.0563052,0.055222768,0.055018304,0.055178475,0.054716589,0.054010883,0.052561507,0.055758769]",48,3264,3328
zen,8,65536,projected64_grain_control,20,0.046734919,0.844442194281108,"[0.046700897,0.046768941,0.045308745,0.045711434,0.049673839,0.046495428,0.045622006,0.047953447,0.045043763,0.04524493,0.045958234,0.047862753,0.04888569,0.049162781,0.048908342,0.047723519,0.047661847,0.045966581,0.045773013,0.048526177]",48,3264,3328
zen,8,65536,direct_predecessor,20,0.046649153,0.8428925087186977,"[0.046962807,0.045734251,0.04637875,0.046002587,0.04534892,0.044426959,0.044541905,0.047283335,0.045196667,0.047514642,0.046919556,0.047576612,0.047698354,0.048375824,0.047200855,0.047165968,0.047126852,0.04545675,0.045604888,0.045700666]",16,3264,3328
zen,16,65536,current32,20,0.0725663795,1.0,"[0.072434373,0.074681155,0.071910666,0.070609523,0.070918873,0.074066291,0.075812314,0.074773841,0.070302518,0.074553786,0.074572934,0.075146858,0.073347172,0.070256213,0.075090159,0.072698386,0.071556332,0.070386728,0.07076662,0.071422389]",16,3264,3328
zen,16,65536,projected32,20,0.063636828,0.8769464377094907,"[0.063808398,0.060776392,0.063850177,0.061436707,0.062293923,0.063641466,0.063547924,0.064832266,0.062116858,0.06087135,0.064485438,0.064654028,0.064065371,0.064532973,0.06363219,0.063518308,0.062525433,0.063724579,0.063474871,0.063734617]",0,3264,3328
zen,16,65536,current64_grain_control,20,0.07071234200000001,0.9744504615942705,"[0.069915343,0.071702812,0.069839722,0.068583708,0.071160518,0.069401082,0.073331896,0.069301952,0.072375309,0.068906136,0.074940568,0.072650293,0.0723358,0.070907194,0.072312985,0.070585774,0.070028277,0.06855318,0.068382205,0.07083891]",0,3264,3328
zen,16,65536,projected64_grain_control,20,0.0625335825,0.8617431781890125,"[0.060387859,0.06233939,0.061026827,0.062978806,0.063142013,0.061158611,0.063805455,0.063525906,0.061654918,0.061815776,0.065607749,0.064050414,0.06512925,0.061202904,0.064163513,0.061609635,0.063669126,0.060268536,0.060126489,0.062727775]",48,3264,3328
zen,32,65536,current32,20,0.1037157365,1.0,"[0.105690494,0.105403792,0.099096965,0.10422238,0.099306922,0.104518469,0.099357847,0.10545662,0.104510941,0.102411684,0.099205296,0.100819591,0.098983079,0.104202189,0.101238396,0.105727598,0.103057694,0.103229284,0.104307279,0.104539294]",32,64,3264
zen,32,65536,projected32,20,0.0926361285,0.8931733180142822,"[0.095234133,0.091614421,0.093293089,0.094984613,0.09070887,0.093930643,0.089404076,0.094898071,0.091940314,0.095566731,0.090805802,0.091055285,0.091590207,0.091304399,0.09178802,0.094504196,0.091979168,0.095923584,0.097326092,0.09618726]",48,64,3264
zen,32,65536,current64_grain_control,20,0.1003192995,0.9672524429308758,"[0.100695055,0.100108612,0.099037956,0.100051876,0.097672548,0.104285862,0.101671465,0.102400698,0.100529987,0.102118205,0.098999362,0.096236993,0.100615744,0.096206855,0.098186307,0.102177545,0.097408012,0.099880323,0.100957576,0.102847993]",32,64,3264
zen,32,65536,projected64_grain_control,20,0.091043739,0.8778199150135717,"[0.091414373,0.092003122,0.087627538,0.093704481,0.087099399,0.093408573,0.087134678,0.088388249,0.0919462,0.091255896,0.090594798,0.090753686,0.089299541,0.088500123,0.090831582,0.092701137,0.087610997,0.092630282,0.09326027,0.091952346]",16,64,3264
zen,64,65536,current32,20,0.1291738525,1.0,"[0.13047915,0.128429849,0.131518219,0.128968269,0.126250349,0.128964804,0.130329952,0.130017769,0.133067064,0.128289815,0.13294379,0.130414031,0.125919167,0.128755964,0.130664561,0.12426497,0.124303043,0.125193212,0.132395014,0.129379436]",0,64,3264
zen,64,65536,projected32,20,0.1212645735,0.9387702786057264,"[0.123278916,0.120269895,0.125019647,0.120772664,0.11643903,0.118546113,0.123400696,0.124078929,0.123320006,0.123142865,0.124406718,0.119924482,0.120610986,0.120469909,0.121756483,0.122925643,0.116885845,0.116148677,0.125489973,0.117875889]",48,64,3264
