input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:bulk_input_output_bytes
gnr-n256-01-before,bulk/series/avx2/local/k12/h8/u16/decode,1,5,"[51.49065115149408,51.46896155799373,51.465873979701044,51.488715434947096,51.50579169334707]",51.488715434947096,"[51.50166559924557,51.475332494423675,51.4689357973575,51.49807090757196,51.533925088542084]",51.49807090757196,"[0.20113535606052374,0.201050631085913,0.2010385702332072,0.20112779466776207,0.20119449880213702]",0.20112779466776207,256.0,384.0,1024.0
gnr-n256-01-before,bulk/series/avx2/local/k12/h8/u16/encode,1,5,"[39.571467275874966,39.595363514344484,39.60364586190852,39.643495927831474,39.5990558700704]",39.5990558700704,"[39.5738643659968,39.69149089588522,39.608932695288466,39.67832047581182,39.60148237220535]",39.608932695288466,"[0.15457604404638658,0.15466938872790814,0.15470174164808015,0.1548574059680917,0.1546838119924625]",0.1546838119924625,256.0,384.0,1024.0
gnr-n256-01-before,bulk/series/avx2/local/k12/h8/u64/decode,1,5,"[67.59526051582793,68.16353807275182,67.11733280550516,67.62741920153547,67.284879567834]",67.59526051582793,"[67.63539542537634,68.1968177412962,67.13568204063577,67.63489568689775,67.28894999005001]",67.63489568689775,"[0.2640439863899528,0.2662638205966868,0.2621770812715045,0.26416960625599795,0.2628315608118515]",0.2640439863899528,256.0,384.0,4096.0
gnr-n256-01-before,bulk/series/avx2/local/k12/h8/u64/encode,1,5,"[70.36762782204164,70.38912582965665,70.3320652075321,70.36823954577278,70.33734900904778]",70.36762782204164,"[70.39983351456722,70.4061754871214,70.33642991199353,70.38186173590864,70.3464855617006]",70.38186173590864,"[0.27487354617985016,0.2749575227720963,0.27473462971692225,0.2748759357256749,0.2747552695665929]",0.27487354617985016,256.0,384.0,4096.0
gnr-n256-01-before,bulk/series/avx2/local/k20/h16/u32/decode,1,5,"[65.76454527084165,65.36923645648031,65.77707291238745,66.4287745972643,66.14622509148393]",65.77707291238745,"[65.94343742568778,65.37694975220894,65.78107991888888,66.43795029755894,66.21715504446551]",65.94343742568778,"[0.2568927549642252,0.2553485799081262,0.25694169106401354,0.2594874007705637,0.2583836917636091]",0.25694169106401354,256.0,640.0,2048.0
gnr-n256-01-before,bulk/series/avx2/local/k20/h16/u32/encode,1,5,"[63.3415502202777,63.344736236933656,63.348919977474324,63.38166560134092,63.355204189353614]",63.348919977474324,"[63.35150301360438,63.354483510185965,63.35590947687303,63.41959540577193,63.38077471143413]",63.35590947687303,"[0.24742793054795978,0.24744037592552204,0.24745671866200908,0.24758463125523797,0.24748126636466256]",0.24745671866200908,256.0,640.0,2048.0
gnr-n256-01-before,bulk/series/avx2/local/k20/h16/u64/decode,1,5,"[77.39118965710732,77.2646613446727,77.56926735645683,77.11859704495029,77.27072507213761]",77.27072507213761,"[77.518867986779,77.27054569167193,77.62748134096232,77.19446627099984,77.2806625418368]",77.2806625418368,"[0.30230933459807546,0.30181508337762775,0.3030049506111595,0.3012445197068371,0.30183876981303753]",0.30183876981303753,256.0,640.0,4096.0
gnr-n256-01-before,bulk/series/avx2/local/k20/h16/u64/encode,1,5,"[95.61921426186062,95.54807739682164,95.53889548856134,95.55616169136444,95.53617745758729]",95.54807739682164,"[95.66330357153814,95.56199464632166,95.54459158377627,95.57101916586542,95.54793780024394]",95.56199464632166,"[0.37351255571039305,0.3732346773313345,0.3731988105021927,0.37326625660689233,0.37318819319370033]",0.3732346773313345,256.0,640.0,4096.0
gnr-n256-01-before,bulk/series/avx2/local/k3/h0/u64/decode,1,5,"[61.39753220719638,61.384177351224054,61.36410515095824,61.38873570579489,61.36290152076742]",61.384177351224054,"[61.41987919818813,61.47725603884117,61.367874829153166,61.413323274001634,61.36654574780336]",61.413323274001634,"[0.23983411018436085,0.23978194277821893,0.2397035357459306,0.2397997488507613,0.23969883406549775]",0.23978194277821893,256.0,96.0,4096.0
gnr-n256-01-before,bulk/series/avx2/local/k3/h0/u64/encode,1,5,"[54.77351577775949,54.714739362306574,54.72997441232598,54.73246970035384,54.75039596239828]",54.73246970035384,"[54.79638559412175,54.72151519774579,54.772560452367905,54.74326981485485,54.75979953082351]",54.75979953082351,"[0.21395904600687304,0.21372945063401003,0.2137889625481484,0.2137987097670072,0.21386873422811825]",0.2137987097670072,256.0,96.0,4096.0
