input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:values_per_batch,counter:encoded_bytes
before1,bulk/series/neon/local/k16/h16/u64/encode,1,5,"[1877.4117631224788,1877.8386271870766,1878.7505248990526,1877.101238223429,1877.267321668915]",1877.4117631224788,"[1877.3572274555738,1882.2132166969627,1879.2871601687386,1877.1108209938247,1877.2132974463677]",1877.3572274555738,"[0.22917624061553696,0.22922834804529746,0.22933966368396638,0.2291383347440709,0.22915860860216247]",0.22917624061553696,8192.0,,16384.0
before1,bulk/series/neon/local/k16/h8/u64/encode,1,5,"[1835.5841501126874,1832.462052518477,1832.6810105351465,1834.9364222443512,1834.7397662351252]",1834.7397662351252,"[1835.5319199102635,1832.4098223101353,1832.6282299976542,1834.980292472509,1834.685518108242]",1834.685518108242,"[0.2240703308243027,0.22368921539532194,0.2237159436688411,0.2239912624809999,0.22396725662049868]",0.22396725662049868,8192.0,,16384.0
before1,bulk/series/neon/local/k24/h16/u64/encode,1,5,"[2771.7928130043006,2770.893966229792,2756.8329594206352,2767.862478844423,2765.7702601645155]",2767.862478844423,"[2771.7742748170776,2770.815326488558,2756.7552642909723,2767.845318220269,2765.6917384883145]",2767.845318220269,"[0.33835361486868903,0.3382438923620351,0.3365274608667767,0.33787383774956337,0.33761843996148866]",0.33787383774956337,8192.0,,24576.0
before1,bulk/series/neon/local/k8/h8/u64/encode,1,5,"[938.7801768014988,938.7432895794277,936.993369943744,936.3662335922833,936.0432895794265]",936.993369943744,"[938.7529065054675,939.2067506048352,936.9670506297983,936.3392043941607,936.0159389256906]",936.9670506297983,"[0.1145971895509642,0.11459268671623872,0.11437907347946093,0.114302518749058,0.11426309687248858]",0.11437907347946093,8192.0,,8192.0
before1,byte_grain/bound_head8/256,1,5,"[32.11178268662523,32.10953888529271,32.09525168330976,32.087273366202055,32.101237600256546]",32.101237600256546,"[32.12856142105059,32.109643941643014,32.09559162528869,32.08830053267676,32.100286588044725]",32.100286588044725,"[0.12543665111962982,0.12542788627067467,0.12537207688792873,0.12534091158672678,0.12539545937600213]",0.12539545937600213,,256.0,256.0
before1,byte_grain/bound_head8/65536,1,5,"[10047.463071848568,10042.784741144409,10049.152731966142,10051.290549261417,10049.217983651248]",10049.152731966142,"[10047.194751197007,10042.90334146721,10048.865624503731,10069.516994082107,10052.367990777078]",10048.865624503731,"[0.15331211962659558,0.1532407339652162,0.15333790179391696,0.15337052229707973,0.15333889745561594]",0.15333790179391696,,65536.0,65536.0
before1,byte_grain/bound_head8/8192,1,5,"[940.1625915553643,942.7330622576476,934.5450910168031,931.4108008401553,929.9254496984047]",934.5450910168031,"[940.1351518704213,942.73632055486,934.5180956506797,931.3840074301758,929.89837354417]",934.5180956506797,"[0.1147659413519732,0.115079719513873,0.1140802113057621,0.11369760752443303,0.11351629024638728]",0.1140802113057621,,8192.0,8192.0
before2,bulk/series/neon/local/k16/h16/u64/encode,1,5,"[1869.1168973440967,1869.4799604552984,1869.2682627050754,1869.541228023296,1870.1294020199869]",1869.4799604552984,"[1869.0623630582888,1869.5009351773735,1869.2148773562908,1869.4884839504368,1870.1513653582645]",1869.4884839504368,"[0.2281636837578243,0.22820800298526595,0.22818216097474064,0.2282154819364375,0.22828728052001795]",0.22820800298526595,8192.0,,16384.0
before2,bulk/series/neon/local/k16/h8/u64/encode,1,5,"[1836.3726934388303,1838.9513312338995,1839.9844884574331,1836.7954089998182,1837.4482731697187]",1837.4482731697187,"[1836.317231869565,1838.8987845766105,1839.9312651271944,1836.7426801668844,1837.3956744733061]",1837.3956744733061,"[0.22416658855454474,0.22448136367601312,0.22460748150115153,0.22421818957517312,0.22429788490841296]",0.22429788490841296,8192.0,,16384.0
before2,bulk/series/neon/local/k24/h16/u64/encode,1,5,"[2774.3780555555645,2769.6371428571483,2776.223373015882,2778.073650793647,2790.941428571424]",2776.223373015882,"[2774.792936500648,2769.663015871831,2776.1437301583173,2778.080793646835,2790.8551190388866]",2776.1437301583173,"[0.3386691962348101,0.3380904715401792,0.33889445471385277,0.33912031870039644,0.3406910923549101]",0.33889445471385277,8192.0,,24576.0
