dataset,id,group,exact,rows,bytes,hits,like_re2,rich_re2,literal_re2,chain_re2,joint_like_re2,joint_rich_re2,like_atoms,like_offered_bytes,literal_atoms,literal_offered_bytes,chain_atoms,chain_offered_bytes,trained_atoms,trained_offered_bytes,warm_rows,warm_atoms,source_warm_atoms,tail_source_atoms,tail_trained_atoms,cascade_atoms,cascade_offered_bytes,reverse_atoms,reverse_offered_bytes,chain_nodes,chain_leaves,chain_tokens,chain_literal_bytes,chain_relaxations,literal_nodes,literal_leaves,literal_relaxations,like_branches,like_tokens,like_literal_bytes,chain_cache_hits,chain_node_visits,baseline_fallback,chain_fallback,literal_fallback,ordered_re2,ordered_joint_like_re2,ordered_joint_rich_re2,position_atoms,position_visits,position_node_visits,position_cache_hits,position_peak_buffer_bytes,position_peak_memo_entries,ordered_nodes,ordered_leaves,ordered_relaxations,ordered_cascade_atoms,ordered_cascade_offered_bytes,pattern,like,literal_dag,chain_dag,ordered_dag
accidents,accident:0,accidents,0,65536,4378387,7299,7299,7299,7332,7299,7299,7299,65536,4378387,83807,5053011,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,72835,4682713,72835,4682713,1,1,7,8,0,3,2,0,1,8,8,0,65536,0,0,0,7299,7299,7299,7299,1869750,7299,0,318,1,1,1,0,72835,4682713,At (.+)Exit (.+),'%At _%Exit _%%' ESCAPE '!',"2='%At %' ESCAPE '!'; 3='%Exit %' ESCAPE '!'; 4=AND(2,3); root=4",2='%At _%Exit _%' ESCAPE '!'; root=2,2='%At _%Exit _%' ESCAPE '!'; root=2
accidents,accident:1,accidents,0,65536,4378387,83,83,83,83,83,83,83,65536,4378387,101661,7295502,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,65619,4387604,65619,4387604,1,1,9,13,0,3,2,0,1,10,13,0,65536,0,0,0,83,83,83,83,74400,83,0,372,1,1,1,0,65619,4387604,(.+) on (.+) at Exit (.+),'%_% on _% at Exit _%%' ESCAPE '!',"2='% on %' ESCAPE '!'; 3='% at Exit %' ESCAPE '!'; 4=AND(2,3); root=4",2='%_% on _% at Exit _%' ESCAPE '!'; root=2,2='%_% on _% at Exit _%' ESCAPE '!'; root=2
accidents,accident:2,accidents,0,65536,4378387,752,752,752,900,752,752,752,65536,4378387,104038,7440518,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,66288,4468557,66288,4468557,1,1,7,7,0,3,2,0,1,8,7,0,65536,0,0,0,752,752,752,752,545532,752,0,718,1,1,1,0,66288,4468557,on (.+) at (.+),'%on _% at _%%' ESCAPE '!',"2='%on %' ESCAPE '!'; 3='% at %' ESCAPE '!'; 4=AND(2,3); root=4",2='%on _% at _%' ESCAPE '!'; root=2,2='%on _% at _%' ESCAPE '!'; root=2
accidents,accident:3,accidents,0,65536,4378387,638,638,638,638,638,638,638,65536,4378387,65536,4378387,65536,4378387,65536,4378387,1024,1024,1024,64512,64512,66174,4407701,66174,4407701,1,1,4,8,0,1,1,0,1,5,8,0,65536,0,0,0,638,638,638,638,89856,638,0,200,1,1,1,0,66174,4407701,Ramp to (.+),'%Ramp to _%%' ESCAPE '!',2='%Ramp to %' ESCAPE '!'; root=2,2='%Ramp to _%' ESCAPE '!'; root=2,2='%Ramp to _%' ESCAPE '!'; root=2
uap,user_agent_parsers:317,user_agent_parsers,0,18213,1919759,0,18213,18213,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,9,8,0,4,3,0,1,1,0,0,18213,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759,"^(foobar)\S{1,10}/(\d+)\.(\d+|)\.?([\da-z]+|)",'%' ESCAPE '!',"2='%foobar%' ESCAPE '!'; 3='%/%' ESCAPE '!'; 4='%.%' ESCAPE '!'; 5=AND(2,3,4); root=5",2='%foobar_%/_%.%' ESCAPE '!'; root=2,2='%foobar_%/_%.%' ESCAPE '!'; root=2
uap,user_agent_parsers:318,user_agent_parsers,0,18213,1919759,0,18213,18213,0,0,0,0,0,0,18213,1919759,18213,1919759,18213,1919759,1024,1024,1024,17189,17189,18213,1919759,18213,1919759,1,1,9,12,0,4,3,0,1,1,0,0,18213,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18213,1919759,"^(Clementine)\S{1,10} (\d+)\.(\d+|)\.?(\d+|)",'%' ESCAPE '!',"2='%Clementine%' ESCAPE '!'; 3='% %' ESCAPE '!'; 4='%.%' ESCAPE '!'; 5=AND(2,3,4); root=5",2='%Clementine_% _%.%' ESCAPE '!'; root=2,2='%Clementine_% _%.%' ESCAPE '!'; root=2
uap,device_parsers:498,device_parsers,0,18213,1919759,1,18213,18213,1,1,1,1,18213,1919759,19150,2017705,18510,1950701,19240,1999883,1024,2048,1030,17480,17192,18511,1950810,36723,3870460,3,2,18,33,0,6,5,0,1,4,0,0,36723,0,0,0,1,1,1,2,1274,3,0,220,3,3,2,0,18511,1950810,"Windows Phone [^;]{1,30}; .{0,100}?IEMobile/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:ALCATEL)[^;]{0,200}; {0,2}([^;,\)]+)",'%_%%' ESCAPE '!',"2='%Windows Phone %' ESCAPE '!'; 3='%; %' ESCAPE '!'; 4='%IEMobile/%' ESCAPE '!'; 8='%ALCATEL%' ESCAPE '!'; 9='%;%' ESCAPE '!'; 10=AND(2,3,4,8,9); root=10","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%ALCATEL%;%_%' ESCAPE '!'; 6=AND(2,5); root=6","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%ALCATEL%;%_%' ESCAPE '!'; 6=SEQ(2,5); root=6"
uap,user_agent_parsers:295,user_agent_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,0,0,91061,9598611,91059,9598519,92083,9678371,1024,6144,5120,85939,85939,91059,9598519,91059,9598519,8,6,22,49,0,9,7,0,1,1,0,0,127485,1,0,0,2,2,2,12,1276,16,0,142,8,8,6,0,91059,9598519,(LG Player|Doppler|FancyMusic|MediaMonkey|Clementine) (\d+)\.(\d+)\.?([^.\s]+|)\.?([^.\s]+|),'%' ESCAPE '!',"2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% %' ESCAPE '!'; 9='%.%' ESCAPE '!'; 10=AND(7,8,9); root=10","2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% _%._%' ESCAPE '!'; 10=AND(7,8); root=10","2='%LG Player%' ESCAPE '!'; 3='%Doppler%' ESCAPE '!'; 4='%FancyMusic%' ESCAPE '!'; 5='%MediaMonkey%' ESCAPE '!'; 6='%Clementine%' ESCAPE '!'; 7=OR(2,3,4,5,6); 8='% _%._%' ESCAPE '!'; 10=SEQ(7,8); root=10"
uap,device_parsers:29,device_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,0,0,30568,3562802,30568,3562802,47129,5508968,1024,6144,1595,28973,40985,30568,3562802,30568,3562802,10,6,18,37,0,10,6,0,1,1,0,0,61094,1,0,0,2,2,2,12,2512,20,0,284,10,10,6,0,30568,3562802,"; {0,2}(ALLVIEW[ _]?|Allview[ _]?|)(AX1_Shine|AX2_Frenzy)(?: Build|\) AppleWebKit)",'%' ESCAPE '!',"2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=AND(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=AND(2,12,15); root=16","2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=AND(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=AND(2,12,15); root=16","2='%;%' ESCAPE '!'; 8='%AX%' ESCAPE '!'; 9='%1!_Shine%' ESCAPE '!'; 10='%2!_Frenzy%' ESCAPE '!'; 11=OR(9,10); 12=SEQ(8,11); 13='% Build%' ESCAPE '!'; 14='%) AppleWebKit%' ESCAPE '!'; 15=OR(13,14); 16=SEQ(2,12,15); root=16"
uap,device_parsers:500,device_parsers,0,18213,1919759,2,18213,18213,2,2,2,2,18213,1919759,19183,2021298,18544,1954403,22636,2273350,1024,5120,1030,17514,17516,18546,1954600,36757,3874162,7,5,25,33,0,9,7,0,1,4,0,0,36774,0,0,0,2,2,2,10,2272,14,0,202,7,7,5,0,18546,1954600,"Windows Phone [^;]{1,30}; .{0,100}?IEMobile/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:DELL|Dell)[^;]{0,200}; {0,2}([^;,\)]+)",'%_%%' ESCAPE '!',"2='%Windows Phone %' ESCAPE '!'; 3='%; %' ESCAPE '!'; 4='%IEMobile/%' ESCAPE '!'; 8='%D%' ESCAPE '!'; 9='%ELL%' ESCAPE '!'; 10='%ell%' ESCAPE '!'; 11=OR(9,10); 12='%;%' ESCAPE '!'; 13=AND(2,3,4,8,11,12); root=13","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%D%' ESCAPE '!'; 6='%ELL%' ESCAPE '!'; 7='%ell%' ESCAPE '!'; 8=OR(6,7); 9='%;%_%' ESCAPE '!'; 10=AND(2,5,8,9); root=10","2='%Windows Phone _%; %IEMobile/_%_%' ESCAPE '!'; 5='%D%' ESCAPE '!'; 6='%ELL%' ESCAPE '!'; 7='%ell%' ESCAPE '!'; 8=OR(6,7); 9='%;%_%' ESCAPE '!'; 10=SEQ(2,5,8,9); root=10"
