dataset,group,arm,queries,exact,pairs,nonexact_pairs,true_matches,re2_calls,avoided_pct,simple_evals,simple_evals_per_nonexact_pair,offered_bytes,rich_evals,position_evals,position_visits,peak_position_buffer_bytes,peak_position_memo_entries
accidents,all,like64,4,0,262144,262144,8772,8772,96.65374755859375,262144,1.0,17513548,0,0,0,0,0
accidents,all,rich64,4,0,262144,262144,8772,8772,96.65374755859375,262144,1.0,17513548,8772,0,0,0,0
accidents,all,literal_dag,4,0,262144,262144,8772,8953,96.58470153808594,355042,1.3543777465820312,24167418,0,0,0,0,0
accidents,all,like_dag,4,0,262144,262144,8772,8772,96.65374755859375,262144,1.0,17513548,0,0,0,0,0
accidents,all,like_dag_trained,4,0,262144,262144,8772,8772,96.65374755859375,262144,1.0,17513548,0,0,0,0,0
accidents,all,like_dag_then_like64,4,0,262144,262144,8772,8772,96.65374755859375,270916,1.0334625244140625,17946575,0,0,0,0,0
accidents,all,like64_then_like_dag,4,0,262144,262144,8772,8772,96.65374755859375,270916,1.0334625244140625,17946575,0,0,0,0,0
accidents,all,like_dag_then_rich64,4,0,262144,262144,8772,8772,96.65374755859375,270916,1.0334625244140625,17946575,8772,0,0,0,0
accidents,all,ordered_dag,4,0,262144,262144,8772,8772,96.65374755859375,262144,1.0,17513548,0,8772,2579538,718,1
accidents,all,ordered_then_like64,4,0,262144,262144,8772,8772,96.65374755859375,270916,1.0334625244140625,17946575,0,8772,2579538,718,1
accidents,all,ordered_then_rich64,4,0,262144,262144,8772,8772,96.65374755859375,270916,1.0334625244140625,17946575,8772,8772,2579538,718,1
uap,all,like64,1270,231,23130510,18923307,134155,2659053,88.50413155611355,117142458,6.190379831601316,12195450684,0,0,0,0,0
uap,all,rich64,1270,231,23130510,18923307,134155,2565826,88.90717930560113,117142458,6.190379831601316,12195450684,2659053,0,0,0,0
uap,all,literal_dag,1270,231,23130510,18923307,134155,1654385,92.84760690533845,35426403,1.8721042257571576,4029795002,0,0,0,0,0
uap,all,like_dag,1270,231,23130510,18923307,134155,1631817,92.94517500911134,33200289,1.7544654853403794,3706008533,0,0,0,0,0
uap,all,like_dag_trained,1270,231,23130510,18923307,134155,1631817,92.94517500911134,33113068,1.7498563015439108,3653826397,0,0,0,0,0
uap,all,like_dag_then_like64,1270,231,23130510,18923307,134155,1484280,93.58302086724417,39101584,2.0663187465066226,4415985895,0,0,0,0,0
uap,all,like64_then_like_dag,1270,231,23130510,18923307,134155,1484280,93.58302086724417,128083444,6.768554988829384,13485912394,0,0,0,0,0
uap,all,like_dag_then_rich64,1270,231,23130510,18923307,134155,1424309,93.84229314442267,39101584,2.0663187465066226,4415985895,1484280,0,0,0,0
uap,all,ordered_dag,1270,231,23130510,18923307,134155,1502883,93.50259462502123,33200289,1.7544654853403794,3706008533,0,4220879,1164874319,986,292
uap,all,ordered_then_like64,1270,231,23130510,18923307,134155,1407416,93.91532655354335,37239899,1.9679382150276377,4147410326,0,4220879,1164874319,986,292
uap,all,ordered_then_rich64,1270,231,23130510,18923307,134155,1347980,94.17228586831851,37239899,1.9679382150276377,4147410326,1407416,4220879,1164874319,986,292
uap,device_parsers,like64,633,114,11528829,9452547,60744,2306918,79.99000592341164,85586949,9.054379629109487,8882585511,0,0,0,0,0
uap,device_parsers,rich64,633,114,11528829,9452547,60744,2234414,80.61889893587632,85586949,9.054379629109487,8882585511,2306918,0,0,0,0
uap,device_parsers,literal_dag,633,114,11528829,9452547,60744,1533444,86.69904809933429,16797873,1.7770737347299093,2002965247,0,0,0,0,0
uap,device_parsers,like_dag,633,114,11528829,9452547,60744,1517398,86.8382296241882,15283349,1.6168498289402846,1776753981,0,0,0,0,0
uap,device_parsers,like_dag_trained,633,114,11528829,9452547,60744,1517398,86.8382296241882,15849495,1.676743315849157,1783208936,0,0,0,0,0
uap,device_parsers,like_dag_then_like64,633,114,11528829,9452547,60744,1382401,88.00918115794761,20654631,2.1850863053100924,2418729341,0,0,0,0,0
uap,device_parsers,like64_then_like_dag,633,114,11528829,9452547,60744,1382401,88.00918115794761,90119919,9.533929744015026,9465987136,0,0,0,0,0
uap,device_parsers,like_dag_then_rich64,633,114,11528829,9452547,60744,1343028,88.35069893048114,20654631,2.1850863053100924,2418729341,1382401,0,0,0,0
uap,device_parsers,ordered_dag,633,114,11528829,9452547,60744,1391154,87.93325844281323,15283349,1.6168498289402846,1776753981,0,3739244,1025036937,986,66
uap,device_parsers,ordered_then_like64,633,114,11528829,9452547,60744,1306051,88.67143401988181,18817423,1.990725145296818,2152581821,0,3739244,1025036937,986,66
uap,device_parsers,ordered_then_rich64,633,114,11528829,9452547,60744,1267181,89.00858881678269,18817423,1.990725145296818,2152581821,1306051,3739244,1025036937,986,66
uap,os_parsers,like64,204,52,3715452,2768376,32511,84854,97.71618634825587,8755159,3.1625613717211825,916945090,0,0,0,0,0
uap,os_parsers,rich64,204,52,3715452,2768376,32511,75182,97.97650460832222,8755159,3.1625613717211825,916945090,84854,0,0,0,0
uap,os_parsers,literal_dag,204,52,3715452,2768376,32511,34795,99.06350559770387,3927412,1.41867000725335,427997471,0,0,0,0,0
uap,os_parsers,like_dag,204,52,3715452,2768376,32511,33854,99.08883226051636,3686028,1.3314766491256969,395760156,0,0,0,0,0
uap,os_parsers,like_dag_trained,204,52,3715452,2768376,32511,33854,99.08883226051636,3464305,1.2513852887035577,363811540,0,0,0,0,0
uap,os_parsers,like_dag_then_like64,204,52,3715452,2768376,32511,31574,99.15019760718211,3807548,1.3753724205093527,411083612,0,0,0,0,0
uap,os_parsers,like64_then_like_dag,204,52,3715452,2768376,32511,31574,99.15019760718211,9118098,3.2936631440237885,956912310,0,0,0,0,0
uap,os_parsers,like_dag_then_rich64,204,52,3715452,2768376,32511,21902,99.41051586724845,3807548,1.3753724205093527,411083612,31574,0,0,0,0
uap,os_parsers,ordered_dag,204,52,3715452,2768376,32511,32999,99.11184426551601,3686028,1.3314766491256969,395760156,0,62816,22727269,986,31
uap,os_parsers,ordered_then_like64,204,52,3715452,2768376,32511,31525,99.1515164238429,3803242,1.3738169959571966,410628565,0,62816,22727269,986,31
uap,os_parsers,ordered_then_rich64,204,52,3715452,2768376,32511,21853,99.41183468390925,3803242,1.3738169959571966,410628565,31525,62816,22727269,986,31
uap,user_agent_parsers,like64,433,65,7886229,6702384,40900,267281,96.6107882487308,22800350,3.4018268723487046,2395920083,0,0,0,0,0
uap,user_agent_parsers,rich64,433,65,7886229,6702384,40900,256230,96.75091859493301,22800350,3.4018268723487046,2395920083,267281,0,0,0,0
uap,user_agent_parsers,literal_dag,433,65,7886229,6702384,40900,86146,98.90764014080747,14701118,2.1934162530824852,1598832284,0,0,0,0,0
uap,user_agent_parsers,like_dag,433,65,7886229,6702384,40900,80565,98.97840907232087,14230912,2.1232612157107082,1533494396,0,0,0,0,0
uap,user_agent_parsers,like_dag_trained,433,65,7886229,6702384,40900,80565,98.97840907232087,13799268,2.0588596535202996,1506805921,0,0,0,0,0
uap,user_agent_parsers,like_dag_then_like64,433,65,7886229,6702384,40900,70305,99.10850927610649,14639405,2.1842086338234274,1586172942,0,0,0,0,0
uap,user_agent_parsers,like64_then_like_dag,433,65,7886229,6702384,40900,70305,99.10850927610649,28845427,4.303756245538901,3063012948,0,0,0,0,0
uap,user_agent_parsers,like_dag_then_rich64,433,65,7886229,6702384,40900,59379,99.24705458083959,14639405,2.1842086338234274,1586172942,70305,0,0,0,0
uap,user_agent_parsers,ordered_dag,433,65,7886229,6702384,40900,78730,99.0016774810876,14230912,2.1232612157107082,1533494396,0,418819,117110113,986,292
uap,user_agent_parsers,ordered_then_like64,433,65,7886229,6702384,40900,69840,99.11440563037162,14619234,2.1811991076607966,1584199940,0,418819,117110113,986,292
uap,user_agent_parsers,ordered_then_rich64,433,65,7886229,6702384,40900,58946,99.25254516448862,14619234,2.1811991076607966,1584199940,69840,418819,117110113,986,292
