dataset,id,group,status,reason,pattern,like,mandatory,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
accidents,accident:0,accidents,signature,character-class,At (.+)Exit (.+),'%At _%Exit _%%' ESCAPE '!',Exit ,1,65536,4378387,7299,7299,15097,7299,304326,304326,0,7299,7299,0,0,0
accidents,accident:1,accidents,signature,character-class,(.+) on (.+) at Exit (.+),'%_% on _% at Exit _%%' ESCAPE '!', at Exit ,1,65536,4378387,83,83,90,83,9217,9217,0,83,83,0,0,0
accidents,accident:2,accidents,signature,character-class,on (.+) at (.+),'%on _% at _%%' ESCAPE '!', at ,1,65536,4378387,752,752,2513,752,90170,90170,0,752,752,0,0,0
accidents,accident:3,accidents,signature,character-class,Ramp to (.+),'%Ramp to _%%' ESCAPE '!',Ramp to ,1,65536,4378387,638,638,638,638,29314,29277,1,638,638,0,0,0
uap,device_parsers:171,device_parsers,signature,unbounded-repeat;character-class;branch-budget,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)|)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%/1.0 _%._%Build%' ESCAPE '!' OR '%/1.0 _%._% Build%' ESCAPE '!' OR '%/1.0 _%._%  Build%' ESCAPE '!' OR '%/1.0 _%._%)%' ESCAPE '!' OR '%\1.0 _%._%Build%' ESCAPE '!' OR '%\1.0 _%._% Build%' ESCAPE '!' OR '%\1.0 _%._%  Build%' ESCAPE '!' OR '%\1.0 _%._%)%' ESCAPE '!' OR '% V_%._%Build%' ESCAPE '!' OR '% V_%._% Build%' ESCAPE '!' OR '% V_%._%  Build%' ESCAPE '!' OR '% V_%._%)%' ESCAPE '!' OR '%/_%._%Build%' ESCAPE '!' OR '%/_%._% Build%' ESCAPE '!' OR '%/_%._%  Build%' ESCAPE '!' OR '%/_%._%)%' ESCAPE '!' OR '% %_%._%Build%' ESCAPE '!' OR '% %_%._% Build%' ESCAPE '!' OR '% %_%._%  Build%' ESCAPE '!' OR '% %_%._%)%' ESCAPE '!',.,20,18213,1919759,64,13734,15970,2053,1737969,1737969,0,13734,13734,0,0,0
uap,device_parsers:172,device_parsers,signature,unbounded-repeat;character-class;branch-budget,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)(?:[ _/]([^ _/]+)|)|)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%/1.0 _%._%Build%' ESCAPE '!' OR '%/1.0 _%._% Build%' ESCAPE '!' OR '%/1.0 _%._%  Build%' ESCAPE '!' OR '%/1.0 _%._%)%' ESCAPE '!' OR '%\1.0 _%._%Build%' ESCAPE '!' OR '%\1.0 _%._% Build%' ESCAPE '!' OR '%\1.0 _%._%  Build%' ESCAPE '!' OR '%\1.0 _%._%)%' ESCAPE '!' OR '% V_%._%Build%' ESCAPE '!' OR '% V_%._% Build%' ESCAPE '!' OR '% V_%._%  Build%' ESCAPE '!' OR '% V_%._%)%' ESCAPE '!' OR '%/_%._%Build%' ESCAPE '!' OR '%/_%._% Build%' ESCAPE '!' OR '%/_%._%  Build%' ESCAPE '!' OR '%/_%._%)%' ESCAPE '!' OR '% %_%._%Build%' ESCAPE '!' OR '% %_%._% Build%' ESCAPE '!' OR '% %_%._%  Build%' ESCAPE '!' OR '% %_%._%)%' ESCAPE '!',.,20,18213,1919759,66,13734,15970,2053,1737969,1737969,0,13734,13734,0,0,0
uap,device_parsers:170,device_parsers,signature,unbounded-repeat;character-class;branch-budget,"; {0,2}(?:HTC[ _/])+([^ _/]+)(?:[ _/]([^ _/]+)|)(?:[/\\]1\.0 | V|/| +)\d+\.\d[\d\.]*(?: {0,2}Build|\))",'%_%._%Build%' ESCAPE '!' OR '%_%._% Build%' ESCAPE '!' OR '%_%._%  Build%' ESCAPE '!' OR '%_%._%)%' ESCAPE '!',.,4,18213,1919759,62,13742,15970,2078,1738761,1738761,0,13742,13742,0,0,0
uap,device_parsers:275,device_parsers,signature,case-fold;character-class,"; {0,2}Micromax[ _](P\d{3}[^;/]*) Build",'% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!' OR '% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!' OR '% %___%%' ESCAPE '!' OR '%!_%___%%' ESCAPE '!',,6,18213,1919759,11,16109,18213,6685,1887638,1886550,62,16109,16109,0,0,0
uap,user_agent_parsers:397,user_agent_parsers,signature,character-class,(AppleWebKit)/(\d+)\.(\d+)\.(\d+),'%AppleWebKit/_%._%._%%' ESCAPE '!',AppleWebKit/,1,18213,1919759,129,9037,9286,129,1314351,715851,9037,9037,9037,0,0,0
uap,os_parsers:25,os_parsers,signature,character-class,(Android) (\d+);,'%Android _%;%' ESCAPE '!',Android ,1,18213,1919759,62,8789,9147,62,1257634,1066008,8727,8789,8789,0,0,0
