dataset,arm,order,container_rows,policy,rows,hits,filters,re2_calls,missed_rejections,switches,probe_containers,queries,queries_switching
accidents,like,shuffled,1024,always,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,1024,direct,262144,8772,0,262144,253372,0,0,4,0
accidents,like,shuffled,1024,periodic20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,1024,prefix05,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,1024,prefix20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,1024,prefix50,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,256,always,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,256,direct,262144,8772,0,262144,253372,0,0,4,0
accidents,like,shuffled,256,periodic20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,256,prefix05,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,256,prefix20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,256,prefix50,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,64,always,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,64,direct,262144,8772,0,262144,253372,0,0,4,0
accidents,like,shuffled,64,periodic20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,64,prefix05,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,64,prefix20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,shuffled,64,prefix50,262144,8772,262144,8772,0,0,0,4,0
accidents,like,source,1024,always,262144,8772,262144,8772,0,0,0,4,0
accidents,like,source,1024,direct,262144,8772,0,262144,253372,0,0,4,0
accidents,like,source,1024,periodic20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,source,1024,prefix05,262144,8772,262144,8772,0,0,0,4,0
accidents,like,source,1024,prefix20,262144,8772,262144,8772,0,0,0,4,0
accidents,like,source,1024,prefix50,262144,8772,262144,8772,0,0,0,4,0
