case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
absent,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q1,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q2,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q3,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,tag32,q0,1048576,1048576,41,13,0,4101,4101,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag32,q1,1048576,1048576,41,13,0,3987,3987,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag32,q2,1048576,1048576,41,13,0,4127,4127,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag32,q3,1048576,1048576,41,13,0,4075,4075,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag16,q0,1048576,1048576,41,13,0,4101,4101,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag16,q1,1048576,1048576,41,13,0,3987,3987,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag16,q2,1048576,1048576,41,13,0,4127,4127,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag16,q3,1048576,1048576,41,13,0,4075,4075,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q0,1048576,1048576,41,13,0,4101,4101,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q1,1048576,1048576,41,13,0,3987,3987,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q2,1048576,1048576,41,13,0,4127,4127,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q3,1048576,1048576,41,13,0,4075,4075,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,joint16,q0,1048576,1048576,41,13,0,4101,4101,0,64016,2097152,65536,61535,0,4001,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q1,1048576,1048576,41,13,0,3987,3987,0,61968,2097152,65536,61663,0,3873,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q2,1048576,1048576,41,13,0,4127,4127,0,63984,2097152,65536,61537,0,3999,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q3,1048576,1048576,41,13,0,4075,4075,0,63248,2097152,65536,61583,0,3953,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint64,q0,1048576,1048576,41,13,0,4101,4101,0,234496,524288,16384,12720,0,14656,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q1,1048576,1048576,41,13,0,3987,3987,0,227456,524288,16384,12830,0,14216,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q2,1048576,1048576,41,13,0,4127,4127,0,231872,524288,16384,12761,0,14492,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q3,1048576,1048576,41,13,0,4075,4075,0,230848,524288,16384,12777,0,14428,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint256,q0,1048576,1048576,41,13,0,4101,4101,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q1,1048576,1048576,41,13,0,3987,3987,0,657152,131072,4096,1529,0,41072,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q2,1048576,1048576,41,13,0,4127,4127,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q3,1048576,1048576,41,13,0,4075,4075,0,660224,131072,4096,1517,0,41264,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4718592,67108864,14669432675671876423,1
absent,marginal64,q0,1048576,1048576,41,13,0,4101,4101,0,1011584,65536,16384,578,0,63224,0,0,0,4456448,67108864,14669432675671876423,1
absent,marginal64,q1,1048576,1048576,41,13,0,3987,3987,0,1014912,65536,16384,526,0,63432,0,0,0,4456448,67108864,14669432675671876423,1
absent,marginal64,q2,1048576,1048576,41,13,0,4127,4127,0,1016832,65536,16384,496,0,63552,0,0,0,4456448,67108864,14669432675671876423,1
absent,marginal64,q3,1048576,1048576,41,13,0,4075,4075,0,1015552,65536,16384,516,0,63472,0,0,0,4456448,67108864,14669432675671876423,1
absent,marginal64,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4456448,67108864,14669432675671876423,1
absent,shared8,q0,1048576,1048576,41,13,0,753972,753972,0,1048576,0,0,0,0,65536,0,0,0,1048576,67108864,14669432675671876423,1
absent,shared8,q1,1048576,1048576,41,13,0,670057,670057,0,1048576,0,0,0,0,65536,0,0,0,1048576,67108864,14669432675671876423,1
absent,shared8,q2,1048576,1048576,41,13,0,754304,754304,0,1048576,0,0,0,0,65536,0,0,0,1048576,67108864,14669432675671876423,1
absent,shared8,q3,1048576,1048576,41,13,0,670162,670162,0,1048576,0,0,0,0,65536,0,0,0,1048576,67108864,14669432675671876423,1
absent,shared16,q0,1048576,1048576,41,13,0,170550,170550,0,2097152,0,0,0,0,65536,0,0,0,2097152,67108864,14669432675671876423,1
absent,shared16,q1,1048576,1048576,41,13,0,170562,170562,0,2097152,0,0,0,0,65536,0,0,0,2097152,67108864,14669432675671876423,1
absent,shared16,q2,1048576,1048576,41,13,0,171199,171199,0,2097152,0,0,0,0,65536,0,0,0,2097152,67108864,14669432675671876423,1
absent,shared16,q3,1048576,1048576,41,13,0,171016,171016,0,2097152,0,0,0,0,65536,0,0,0,2097152,67108864,14669432675671876423,1
absent,shared32,q0,1048576,1048576,41,13,0,21594,21594,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q1,1048576,1048576,41,13,0,21556,21556,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q2,1048576,1048576,41,13,0,21575,21575,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,shared32,q3,1048576,1048576,41,13,0,21605,21605,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,union64,q0,1048576,1048576,41,13,0,21594,21594,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q1,1048576,1048576,41,13,0,21556,21556,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q2,1048576,1048576,41,13,0,21575,21575,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
absent,union64,q3,1048576,1048576,41,13,0,21605,21605,0,4194304,65536,16384,0,0,65536,0,0,0,4259840,67108864,14669432675671876423,1
