name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/soa/q0/manual_time,0,1,53,520944.2641509434,521318.3962264151,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,1,1,53,522712.6415094339,521281.43396226363,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,2,1,53,524429.9622641508,524794.8113207552,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,3,1,53,521230.33962264156,519860.8490566037,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,4,1,53,519026.5849056603,519388.35849056643,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,0,1,53,529198.1886792453,529625.000000001,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,1,1,53,519868.2452830189,520227.98113207385,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,2,1,53,515976.32075471693,516290.8867924549,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,3,1,53,527832.2075471699,528203.6226415114,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,4,1,53,519319.7358490566,519673.7358490592,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,0,1,54,515312.98148148146,515608.0185185146,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,1,1,54,519378.9629629629,519711.425925925,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,2,1,54,521355.88888888876,521778.55555555783,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,3,1,54,522277.8703703702,522623.44444444194,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,4,1,54,516850.3518518518,517250.0000000041,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,0,1,54,516892.01851851854,517277.7777777775,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,1,1,54,520716.5555555555,519688.25925925776,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,2,1,54,515820.5370370369,516135.03703703586,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,3,1,54,520282.31481481466,520631.9444444381,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,4,1,54,520423.48148148146,520804.7777777786,ns,1048576.0,1048576.0
absent/tag32/q0/manual_time,0,1,47,627412.5957446808,627797.8723404277,ns,1048576.0,1048576.0
absent/tag32/q0/manual_time,1,1,47,605599.4893617021,606065.5957446825,ns,1048576.0,1048576.0
absent/tag32/q0/manual_time,2,1,47,605791.9148936172,606160.4680851059,ns,1048576.0,1048576.0
absent/tag32/q0/manual_time,3,1,47,632407.510638298,632866.148936171,ns,1048576.0,1048576.0
absent/tag32/q0/manual_time,4,1,47,605913.1489361703,606289.8936170147,ns,1048576.0,1048576.0
absent/tag32/q1/manual_time,0,1,48,603248.1875,602157.9791666657,ns,1048576.0,1048576.0
absent/tag32/q1/manual_time,1,1,48,616391.1458333333,616784.7291666621,ns,1048576.0,1048576.0
absent/tag32/q1/manual_time,2,1,48,612238.6250000001,609516.4791666644,ns,1048576.0,1048576.0
absent/tag32/q1/manual_time,3,1,48,638837.0625000001,639340.2708333255,ns,1048576.0,1048576.0
absent/tag32/q1/manual_time,4,1,48,610270.5833333331,610658.854166668,ns,1048576.0,1048576.0
