case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
absent,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.4970839878298202,0.49498232355657606,0.5001353857652195,0.0,0.0
absent,soa,q1,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.49578499344159976,0.49207336497756665,0.504682720832105,0.0,0.0
absent,soa,q2,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.4953183774594907,0.4914407553496184,0.49808299099957487,0.0,0.0
absent,soa,q3,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.4961798809192797,0.49192479804710093,0.4965940051608615,0.0,0.0
absent,tag32,q0,1048576,1048576,41,13,0,4101,4101,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5778438081132605,0.5775446790329953,0.6031108003981571,0.003911018371582031,4.0
absent,tag32,q1,1048576,1048576,41,13,0,3987,3987,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5838762521743776,0.5753023028373718,0.6092424988746644,0.0038022994995117188,4.0
absent,tag32,q2,1048576,1048576,41,13,0,4127,4127,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.588451533847385,0.5729878531561957,0.6462745666503905,0.003935813903808594,4.0
absent,tag32,q3,1048576,1048576,41,13,0,4075,4075,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5779415420863939,0.5700017058331033,0.5925942089246667,0.0038862228393554688,4.0
absent,tag16,q0,1048576,1048576,41,13,0,4101,4101,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5651472247376734,0.5518109068578604,0.5706066209442762,0.003911018371582031,4.0
absent,tag16,q1,1048576,1048576,41,13,0,3987,3987,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5597803154770208,0.5532450967905472,0.5688019188082947,0.0038022994995117188,4.0
absent,tag16,q2,1048576,1048576,41,13,0,4127,4127,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.558846096197764,0.5559917291005451,0.5698914329210919,0.003935813903808594,4.0
absent,tag16,q3,1048576,1048576,41,13,0,4075,4075,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5572380224863689,0.5537761847178141,0.5743240316708885,0.0038862228393554688,4.0
absent,tag8,q0,1048576,1048576,41,13,0,4101,4101,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5602870900580226,0.5563551517243079,0.5627212524414064,0.003911018371582031,4.0
absent,tag8,q1,1048576,1048576,41,13,0,3987,3987,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5573366284370422,0.5489596128463745,0.5615302125612894,0.0038022994995117188,4.0
absent,tag8,q2,1048576,1048576,41,13,0,4127,4127,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5573262559606673,0.5530191178017475,0.5582966297230819,0.003935813903808594,4.0
absent,tag8,q3,1048576,1048576,41,13,0,4075,4075,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.565457026163737,0.5528096954027811,0.5751757820447287,0.0038862228393554688,4.0
