case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
absent,soa,q0,1048576,1048576,93,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,5738239608390850635,1
absent,soa,q1,1048576,1048576,93,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,5738239608390850635,1
absent,soa,q2,1048576,1048576,93,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,5738239608390850635,1
absent,soa,q3,1048576,1048576,93,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,5738239608390850635,1
absent,tag8,q0,1048576,1048576,93,13,0,4152,4152,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,5738239608390850635,1
absent,tag8,q1,1048576,1048576,93,13,0,4117,4117,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,5738239608390850635,1
absent,tag8,q2,1048576,1048576,93,13,0,4048,4048,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,5738239608390850635,1
absent,tag8,q3,1048576,1048576,93,13,0,4027,4027,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,5738239608390850635,1
absent,joint64_planar,q0,1048576,1048576,93,13,0,4152,4152,0,233600,524288,16384,12734,0,14600,0,0,0,6291456,67108864,5738239608390850635,1
absent,joint64_planar,q1,1048576,1048576,93,13,0,4117,4117,0,234944,524288,16384,12713,0,14684,0,0,0,6291456,67108864,5738239608390850635,1
absent,joint64_planar,q2,1048576,1048576,93,13,0,4048,4048,0,231104,524288,16384,12773,0,14444,0,0,0,6291456,67108864,5738239608390850635,1
absent,joint64_planar,q3,1048576,1048576,93,13,0,4027,4027,0,228096,524288,16384,12820,0,14256,0,0,0,6291456,67108864,5738239608390850635,1
or,soa,q0,1048576,1048576,93,13,2588,2588,0,2588,12582912,0,0,0,0,0,0,0,0,0,67108864,6500630008711251788,1
or,tag32,q0,1048576,1048576,93,13,2588,71490,71490,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,6500630008711251788,1
or,tag16,q0,1048576,1048576,93,13,2588,71490,71490,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,6500630008711251788,1
or,tag8,q0,1048576,1048576,93,13,2588,71490,71490,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,6500630008711251788,1
or,tag8_eager,q0,1048576,1048576,93,13,2588,71490,71490,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,6500630008711251788,1
or,joint64_planar,q0,1048576,1048576,93,13,2588,71490,71490,0,2097152,1048576,16384,0,0,65536,65536,0,0,6291456,67108864,6500630008711251788,1
or_broad,soa,q0,1048576,1048576,93,13,83876,83876,0,83876,12582912,0,0,0,0,0,0,0,0,0,67108864,1070531174502409831,1
or_broad,tag32,q0,1048576,1048576,93,13,83876,137234,137234,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,1070531174502409831,1
or_broad,tag16,q0,1048576,1048576,93,13,83876,137234,137234,0,2097152,0,0,0,0,65536,0,0,0,4194304,67108864,1070531174502409831,1
or_broad,tag8,q0,1048576,1048576,93,13,83876,137234,137234,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,1070531174502409831,1
or_broad,tag8_eager,q0,1048576,1048576,93,13,83876,137234,137234,0,2097152,0,0,0,0,65536,65536,0,0,4194304,67108864,1070531174502409831,1
or_broad,joint64_planar,q0,1048576,1048576,93,13,83876,137234,137234,0,2097152,1048576,16384,0,0,65536,65536,0,0,6291456,67108864,1070531174502409831,1
