name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/soa/q0/manual_time,0,1,53,522745.5849056603,523209.11320754746,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,1,1,53,521543.30188679247,521981.1320754716,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,2,1,53,519415.0,519761.7924528299,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,3,1,53,530212.1132075472,530643.8679245294,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,4,1,53,531708.4716981135,532117.9245283037,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,0,1,54,524244.5925925925,524699.8518518533,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,1,1,54,525987.0185185184,526323.3148148155,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,2,1,54,525671.5925925925,526036.2777777795,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,3,1,54,524978.9074074073,525347.9999999995,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,4,1,54,866203.3888888885,866883.4814814837,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,0,1,52,517954.61538461526,518371.78846153576,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,1,1,52,517960.78846153856,518274.8269230751,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,2,1,52,516987.7115384614,517330.92307692644,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,3,1,52,522102.75000000023,522452.73076922947,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,4,1,52,519609.30769230775,519959.1346153844,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,0,1,54,523306.7962962963,523725.31481481163,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,1,1,54,516518.3518518519,516885.79629629006,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,2,1,54,527451.7962962963,527825.6296296285,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,3,1,54,518768.3148148148,519116.51851852285,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,4,1,54,519418.48148148146,519726.07407407626,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,0,1,44,627518.3181818182,628021.7727272698,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,1,1,44,600516.7045454547,601006.6136363689,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,2,1,44,587494.1136363635,587535.0227272772,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,3,1,44,643056.0454545455,643662.8863636384,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,4,1,44,597680.7045454545,598106.9999999992,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,0,1,43,636666.023255814,637154.0697674492,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,1,1,43,603094.8837209302,603530.999999993,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,2,1,43,614731.1627906975,615196.6976744338,ns,1048576.0,1048576.0
