case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
absent,soa,q0,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q1,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q2,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,soa,q3,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1
absent,tag8,q0,1048576,1048576,41,71,0,4008,4008,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q1,1048576,1048576,41,71,0,4111,4111,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q2,1048576,1048576,41,71,0,4191,4191,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,tag8,q3,1048576,1048576,41,71,0,4194,4194,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1
absent,joint16,q0,1048576,1048576,41,71,0,4008,4008,0,62304,2097152,65536,61642,0,3894,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q1,1048576,1048576,41,71,0,4111,4111,0,64208,2097152,65536,61523,0,4013,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q2,1048576,1048576,41,71,0,4191,4191,0,64944,2097152,65536,61477,0,4059,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint16,q3,1048576,1048576,41,71,0,4194,4194,0,65088,2097152,65536,61468,0,4068,0,0,0,12582912,67108864,14669432675671876423,1
absent,joint64,q0,1048576,1048576,41,71,0,4008,4008,0,228224,524288,16384,12818,0,14264,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q1,1048576,1048576,41,71,0,4111,4111,0,234944,524288,16384,12713,0,14684,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q2,1048576,1048576,41,71,0,4191,4191,0,236096,524288,16384,12695,0,14756,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint64,q3,1048576,1048576,41,71,0,4194,4194,0,235712,524288,16384,12701,0,14732,0,0,0,6291456,67108864,14669432675671876423,1
absent,joint256,q0,1048576,1048576,41,71,0,4008,4008,0,653824,131072,4096,1542,0,40864,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q1,1048576,1048576,41,71,0,4111,4111,0,663808,131072,4096,1503,0,41488,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q2,1048576,1048576,41,71,0,4191,4191,0,666880,131072,4096,1491,0,41680,0,0,0,4718592,67108864,14669432675671876423,1
absent,joint256,q3,1048576,1048576,41,71,0,4194,4194,0,673792,131072,4096,1464,0,42112,0,0,0,4718592,67108864,14669432675671876423,1
far,soa,q0,1048576,1048576,41,71,4,4,0,4,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
far,soa,q1,1048576,1048576,41,71,7,7,0,7,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
far,soa,q2,1048576,1048576,41,71,5,5,0,5,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
far,soa,q3,1048576,1048576,41,71,8,8,0,8,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1
far,tag32,q0,1048576,1048576,41,71,4,4338,4338,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
far,tag32,q1,1048576,1048576,41,71,7,4324,4324,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
far,tag32,q2,1048576,1048576,41,71,5,4399,4399,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
far,tag32,q3,1048576,1048576,41,71,8,4451,4451,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1
far,tag8,q0,1048576,1048576,41,71,4,4338,4338,0,1740112,0,0,0,0,65536,0,0,43221,4194304,67108864,7831855242651732853,1
