name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/soa/q0/manual_time,0,1,55,518119.2,518359.85454545513,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,1,1,55,521164.41818181804,521414.3999999997,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,2,1,55,517954.9090909089,518224.2363636362,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,3,1,55,518621.45454545453,518930.29090909107,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,4,1,55,518207.00000000006,518438.6363636374,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,0,1,55,537234.4727272728,537489.3999999999,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,1,1,55,515377.7454545455,515578.0181818181,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,2,1,55,514857.3636363635,515139.39999999857,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,3,1,55,514800.47272727295,515053.78181818157,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,4,1,55,516364.79999999993,517120.45454545703,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,0,1,55,532729.490909091,531119.6909090896,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,1,1,55,515434.56363636354,515759.85454545304,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,2,1,55,519376.6545454544,517677.27272727434,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,3,1,55,514590.67272727273,514790.1454545447,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,4,1,55,519647.1636363637,519949.23636363406,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,0,1,53,512642.94339622627,512894.6415094374,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,1,1,53,518279.20754716964,517023.5849056638,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,2,1,53,519349.0943396225,519583.33962264296,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,3,1,53,518595.1698113206,516985.0754716993,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,4,1,53,520382.07547169813,520621.84905660484,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,0,1,45,592408.8,591313.9111111182,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,1,1,45,582734.5777777777,582949.0666666714,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,2,1,45,588004.622222222,588234.2666666615,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,3,1,45,578136.7777777779,578377.7777777782,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,4,1,45,586341.7333333333,586540.7333333294,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,0,1,48,591901.5208333334,592185.7708333366,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,1,1,48,597115.5416666667,594160.6041666622,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,2,1,48,586931.3958333334,587026.0625000049,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,3,1,48,588086.6458333334,588345.4999999945,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,4,1,48,590358.125,590593.7499999977,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,0,1,48,593038.5833333334,593244.7916666694,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,1,1,48,587905.2499999999,588120.6666666731,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,2,1,48,587702.0416666666,588064.2291666664,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,3,1,48,607185.0416666665,606039.0625000078,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,4,1,48,590889.375,591123.2708333455,ns,1048576.0,1048576.0
absent/tag8/q3/manual_time,0,1,43,593426.023255814,592129.8139534919,ns,1048576.0,1048576.0
absent/tag8/q3/manual_time,1,1,43,586758.8139534884,586993.2093023282,ns,1048576.0,1048576.0
absent/tag8/q3/manual_time,2,1,43,588230.6744186047,588488.3720930315,ns,1048576.0,1048576.0
