case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
absent,soa,q0,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.49420070648193365,0.4939602938565339,0.4970211202448063,0.0,0.0
absent,soa,q1,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.491502519087358,0.4909519889137964,0.512346718528054,0.0,0.0
absent,soa,q2,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.4953161759810013,0.49075190804221414,0.5080504330721769,0.0,0.0
absent,soa,q3,1048576,1048576,41,71,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.4945708940613943,0.488894408603884,0.4962750200955373,0.0,0.0
absent,tag8,q0,1048576,1048576,41,71,0,4008,4008,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5591790517171223,0.5513541963365344,0.5649650573730469,0.00382232666015625,4.0
absent,tag8,q1,1048576,1048576,41,71,0,4111,4111,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5630093812942505,0.5597413976987203,0.5694537560145061,0.003920555114746094,4.0
absent,tag8,q2,1048576,1048576,41,71,0,4191,4191,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5635160207748413,0.5604763428370158,0.5790567795435586,0.003996849060058594,4.0
absent,tag8,q3,1048576,1048576,41,71,0,4194,4194,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.559576810792435,0.5576650486436002,0.5659351570661678,0.0039997100830078125,4.0
absent,joint16,q0,1048576,1048576,41,71,0,4008,4008,0,62304,2097152,65536,61642,0,3894,0,0,0,12582912,67108864,14669432675671876423,1,0.5974196973054305,0.5414006813712742,0.6079422079998513,0.00382232666015625,12.0
absent,joint16,q1,1048576,1048576,41,71,0,4111,4111,0,64208,2097152,65536,61523,0,4013,0,0,0,12582912,67108864,14669432675671876423,1,0.6052267551422118,0.5357283895665949,0.6340208053588868,0.003920555114746094,12.0
absent,joint16,q2,1048576,1048576,41,71,0,4191,4191,0,64944,2097152,65536,61477,0,4059,0,0,0,12582912,67108864,14669432675671876423,1,0.6150335165170523,0.5564858852288661,0.6366547071016753,0.003996849060058594,12.0
absent,joint16,q3,1048576,1048576,41,71,0,4194,4194,0,65088,2097152,65536,61468,0,4068,0,0,0,12582912,67108864,14669432675671876423,1,0.6272001266479492,0.5816506067911782,0.6299761030409071,0.0039997100830078125,12.0
absent,joint64,q0,1048576,1048576,41,71,0,4008,4008,0,228224,524288,16384,12818,0,14264,0,0,0,6291456,67108864,14669432675671876423,1,0.3113591590624177,0.3108426640542706,0.3152405920993076,0.00382232666015625,6.0
absent,joint64,q1,1048576,1048576,41,71,0,4111,4111,0,234944,524288,16384,12713,0,14684,0,0,0,6291456,67108864,14669432675671876423,1,0.32042553311302546,0.31980958439054946,0.33333231153942283,0.003920555114746094,6.0
absent,joint64,q2,1048576,1048576,41,71,0,4191,4191,0,236096,524288,16384,12695,0,14756,0,0,0,6291456,67108864,14669432675671876423,1,0.3183652429019703,0.3165216445922852,0.33861720141242535,0.003996849060058594,6.0
absent,joint64,q3,1048576,1048576,41,71,0,4194,4194,0,235712,524288,16384,12701,0,14732,0,0,0,6291456,67108864,14669432675671876423,1,0.3224877604731805,0.31547659414785884,0.3322494412645881,0.0039997100830078125,6.0
absent,joint256,q0,1048576,1048576,41,71,0,4008,4008,0,653824,131072,4096,1542,0,40864,0,0,0,4718592,67108864,14669432675671876423,1,0.42813113697788174,0.4257485071818034,0.43567202384011794,0.00382232666015625,4.5
absent,joint256,q1,1048576,1048576,41,71,0,4111,4111,0,663808,131072,4096,1503,0,41488,0,0,0,4718592,67108864,14669432675671876423,1,0.4356662297652938,0.43322432243217873,0.44032848487466075,0.003920555114746094,4.5
absent,joint256,q2,1048576,1048576,41,71,0,4191,4191,0,666880,131072,4096,1491,0,41680,0,0,0,4718592,67108864,14669432675671876423,1,0.4551371794480544,0.4389388744647684,0.4853087021754338,0.003996849060058594,4.5
absent,joint256,q3,1048576,1048576,41,71,0,4194,4194,0,673792,131072,4096,1464,0,42112,0,0,0,4718592,67108864,14669432675671876423,1,0.4702061435632538,0.4491960960522034,0.4752320406729714,0.0039997100830078125,4.5
far,soa,q0,1048576,1048576,41,71,4,4,0,4,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.4976082554569951,0.48988446482905634,0.5053525500827364,3.814697265625e-06,0.0
far,soa,q1,1048576,1048576,41,71,7,7,0,7,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.493765742690475,0.4902125817758066,0.49860230198612915,6.67572021484375e-06,0.0
far,soa,q2,1048576,1048576,41,71,5,5,0,5,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.4895798365275066,0.48682269343623413,0.4955818211590802,4.76837158203125e-06,0.0
far,soa,q3,1048576,1048576,41,71,8,8,0,8,8388608,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.49106762144300664,0.48818033712881587,0.4929306418807418,7.62939453125e-06,0.0
far,tag32,q0,1048576,1048576,41,71,4,4338,4338,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,0.584157180786133,0.5801053365071615,0.5868079927232528,0.0041370391845703125,4.0
far,tag32,q1,1048576,1048576,41,71,7,4324,4324,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,0.5917949054552161,0.5814460671466329,0.6002192497253418,0.004123687744140625,4.0
far,tag32,q2,1048576,1048576,41,71,5,4399,4399,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,0.5944212536479152,0.5888853738474291,0.6007314948148503,0.004195213317871094,4.0
far,tag32,q3,1048576,1048576,41,71,8,4451,4451,0,4194304,0,0,0,0,65536,0,0,0,4194304,67108864,7831855242651732853,1,0.5943668322129683,0.5885215672579679,0.6078456531871448,0.004244804382324219,4.0
far,tag8,q0,1048576,1048576,41,71,4,4338,4338,0,1740112,0,0,0,0,65536,0,0,43221,4194304,67108864,7831855242651732853,1,0.9194987724567281,0.9086089298642916,0.9581155448124326,0.0041370391845703125,4.0
far,tag8,q1,1048576,1048576,41,71,7,4324,4324,0,1733584,0,0,0,0,65536,0,0,42813,4194304,67108864,7831855242651732853,1,0.9141468837343412,0.9062029411052834,0.9656045847925646,0.004123687744140625,4.0
far,tag8,q2,1048576,1048576,41,71,5,4399,4399,0,1735392,0,0,0,0,65536,0,0,42926,4194304,67108864,7831855242651732853,1,0.9141129084995814,0.9004373209817071,0.951601539339338,0.004195213317871094,4.0
far,tag8,q3,1048576,1048576,41,71,8,4451,4451,0,1734032,0,0,0,0,65536,0,0,42841,4194304,67108864,7831855242651732853,1,0.9164802945893386,0.9029612047918911,0.9799387701626481,0.004244804382324219,4.0
far,tag8_eager,q0,1048576,1048576,41,71,4,4338,4338,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.6963873643141527,0.6832550488985502,0.7305857829558542,0.0041370391845703125,4.0
far,tag8_eager,q1,1048576,1048576,41,71,7,4324,4324,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.6790593385696411,0.6694803953170775,0.6874984741210939,0.004123687744140625,4.0
far,tag8_eager,q2,1048576,1048576,41,71,5,4399,4399,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.7035556090505499,0.6816018004166453,0.7484074140849867,0.004195213317871094,4.0
far,tag8_eager,q3,1048576,1048576,41,71,8,4451,4451,0,2097152,0,0,0,0,65536,0,0,65536,4194304,67108864,7831855242651732853,1,0.7007795606340681,0.6837962559291295,0.7979334967476981,0.004244804382324219,4.0
cnf,soa,q0,1048576,1048576,41,71,33,33,0,33,16777216,0,0,0,0,0,0,0,0,0,67108864,7831855242651732853,1,0.7620656149727958,0.7456975664411272,0.7724871226719447,3.147125244140625e-05,0.0
