name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/soa/q0/manual_time,0,1,54,518907.14814814803,519104.94444444467,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,1,1,54,517037.5370370372,517247.6851851848,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,2,1,54,518934.2037037038,519183.64814814855,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,3,1,54,525019.111111111,524605.7222222213,ns,1048576.0,1048576.0
absent/soa/q0/manual_time,4,1,54,525083.9814814815,525278.5370370357,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,0,1,54,523917.98148148163,524175.1481481473,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,1,1,54,525892.5185185184,524837.2037037064,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,2,1,54,523829.962962963,524057.0925925937,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,3,1,54,518936.4259259259,519192.1296296276,ns,1048576.0,1048576.0
absent/soa/q1/manual_time,4,1,54,520377.8518518519,520604.1666666687,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,0,1,54,520733.53703703725,520924.38888888893,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,1,1,54,517011.27777777775,517220.66666666564,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,2,1,54,519612.3888888888,519804.0185185224,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,3,1,54,518582.2592592591,518791.6666666683,ns,1048576.0,1048576.0
absent/soa/q2/manual_time,4,1,54,518854.72222222225,519044.75925926387,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,0,1,54,519432.64814814815,519662.03703703696,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,1,1,54,518924.18518518505,518788.57407407474,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,2,1,54,516561.4629629628,516756.9259259233,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,3,1,54,515871.6296296295,516092.5925925911,ns,1048576.0,1048576.0
absent/soa/q3/manual_time,4,1,54,518617.05555555556,518845.68518519076,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,0,1,48,599984.9583333331,600217.0208333306,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,1,1,48,581221.0000000001,581412.3124999922,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,2,1,48,600333.0208333336,600236.9583333334,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,3,1,48,587116.9166666667,587315.1041666709,ns,1048576.0,1048576.0
absent/tag8/q0/manual_time,4,1,48,599909.5624999999,598935.7708333272,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,0,1,48,578389.4166666665,578530.3749999971,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,1,1,48,602577.8541666666,599875.8541666722,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,2,1,48,580762.0208333334,580258.6666666665,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,3,1,48,594551.9583333331,593150.1666666672,ns,1048576.0,1048576.0
absent/tag8/q1/manual_time,4,1,48,593741.9791666666,593922.7499999941,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,0,1,45,600342.1111111108,600622.2222222135,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,1,1,45,583145.8,583323.1333333404,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,2,1,45,584642.9555555555,584565.7333333223,ns,1048576.0,1048576.0
absent/tag8/q2/manual_time,3,1,45,583212.4444444444,583406.4888888848,ns,1048576.0,1048576.0
