case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
absent,soa,q0,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.49489422197695143,0.4930854196901676,0.5007591070952239,0.0,0.0
absent,soa,q1,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.499563181841815,0.49489634125320997,0.5015301881013092,0.0,0.0
absent,soa,q2,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.49481842252943253,0.49306037690904403,0.49661019996360517,0.0,0.0
absent,soa,q3,1048576,1048576,41,13,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,67108864,14669432675671876423,1,0.49459176593356663,0.4919735237404151,0.49536957564177336,0.0,0.0
absent,tag8,q0,1048576,1048576,41,13,0,4101,4101,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5721183419227599,0.5542955398559571,0.5725221832593285,0.003911018371582031,4.0
absent,tag8,q1,1048576,1048576,41,13,0,3987,3987,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5662364761034647,0.5515951315561929,0.5746630231539408,0.0038022994995117188,4.0
absent,tag8,q2,1048576,1048576,41,13,0,4127,4127,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5561947292751735,0.5548013051350911,0.5725308524237736,0.003935813903808594,4.0
absent,tag8,q3,1048576,1048576,41,13,0,4075,4075,0,1048576,0,0,0,0,65536,0,0,0,4194304,67108864,14669432675671876423,1,0.5613897779713508,0.5534106337505837,0.5676647061886995,0.0038862228393554688,4.0
absent,joint16,q0,1048576,1048576,41,13,0,4101,4101,0,64016,2097152,65536,61535,0,4001,0,0,0,12582912,67108864,14669432675671876423,1,0.6001998622242998,0.5813491635206268,0.6163464290339772,0.003911018371582031,12.0
absent,joint16,q1,1048576,1048576,41,13,0,3987,3987,0,61968,2097152,65536,61663,0,3873,0,0,0,12582912,67108864,14669432675671876423,1,0.5866423318552418,0.5785896833552873,0.6037152312522711,0.0038022994995117188,12.0
absent,joint16,q2,1048576,1048576,41,13,0,4127,4127,0,63984,2097152,65536,61537,0,3999,0,0,0,12582912,67108864,14669432675671876423,1,0.5859997323218812,0.5678594670397169,0.6145145943824281,0.003935813903808594,12.0
absent,joint16,q3,1048576,1048576,41,13,0,4075,4075,0,63248,2097152,65536,61583,0,3953,0,0,0,12582912,67108864,14669432675671876423,1,0.6136090444481892,0.5644496627475903,0.6352765871130901,0.0038862228393554688,12.0
absent,joint64,q0,1048576,1048576,41,13,0,4101,4101,0,234496,524288,16384,12720,0,14656,0,0,0,6291456,67108864,14669432675671876423,1,0.3311916170893488,0.32312608409572297,0.33720363152993704,0.003911018371582031,6.0
absent,joint64,q1,1048576,1048576,41,13,0,3987,3987,0,227456,524288,16384,12830,0,14216,0,0,0,6291456,67108864,14669432675671876423,1,0.3226364567166282,0.32002581868852875,0.3312234537942069,0.0038022994995117188,6.0
absent,joint64,q2,1048576,1048576,41,13,0,4127,4127,0,231872,524288,16384,12761,0,14492,0,0,0,6291456,67108864,14669432675671876423,1,0.32451596577962233,0.3191531117757163,0.3388428497314453,0.003935813903808594,6.0
absent,joint64,q3,1048576,1048576,41,13,0,4075,4075,0,230848,524288,16384,12777,0,14428,0,0,0,6291456,67108864,14669432675671876423,1,0.32492861747741697,0.3202465534210205,0.3338305234909057,0.0038862228393554688,6.0
absent,joint256,q0,1048576,1048576,41,13,0,4101,4101,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1,0.4462901725143683,0.4363636892349992,0.45917581339351465,0.003911018371582031,4.5
absent,joint256,q1,1048576,1048576,41,13,0,3987,3987,0,657152,131072,4096,1529,0,41072,0,0,0,4718592,67108864,14669432675671876423,1,0.4411646525065105,0.431677968878495,0.45671769192344264,0.0038022994995117188,4.5
absent,joint256,q2,1048576,1048576,41,13,0,4127,4127,0,667136,131072,4096,1490,0,41696,0,0,0,4718592,67108864,14669432675671876423,1,0.4475870757806496,0.437604591494701,0.45102540000540325,0.003935813903808594,4.5
absent,joint256,q3,1048576,1048576,41,13,0,4075,4075,0,660224,131072,4096,1517,0,41264,0,0,0,4718592,67108864,14669432675671876423,1,0.44211257872034304,0.4331066725683994,0.56271656223985,0.0038862228393554688,4.5
absent,joint16_planar,q0,1048576,1048576,41,13,0,4101,4101,0,64016,2097152,65536,61535,0,4001,0,0,0,12582912,67108864,14669432675671876423,1,0.4319758266210556,0.4273955225944519,0.44651149213314056,0.003911018371582031,12.0
absent,joint16_planar,q1,1048576,1048576,41,13,0,3987,3987,0,61968,2097152,65536,61663,0,3873,0,0,0,12582912,67108864,14669432675671876423,1,0.42368468531855824,0.4207448606137876,0.4444006637290673,0.0038022994995117188,12.0
absent,joint16_planar,q2,1048576,1048576,41,13,0,4127,4127,0,63984,2097152,65536,61537,0,3999,0,0,0,12582912,67108864,14669432675671876423,1,0.43476932389395556,0.42194926738739014,0.4377778768539428,0.003935813903808594,12.0
absent,joint16_planar,q3,1048576,1048576,41,13,0,4075,4075,0,63248,2097152,65536,61583,0,3953,0,0,0,12582912,67108864,14669432675671876423,1,0.44042184275965524,0.4207476954306327,0.4466667790566722,0.0038862228393554688,12.0
absent,joint16_planar,build,1048576,1048576,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12582912,67108864,14669432675671876423,1,9.922538757324217,9.796950817108154,9.9744553565979,0.0,12.0
absent,joint64_planar,q0,1048576,1048576,41,13,0,4101,4101,0,234496,524288,16384,12720,0,14656,0,0,0,6291456,67108864,14669432675671876423,1,0.3195441046426463,0.31251024645428327,0.3236448376677757,0.003911018371582031,6.0
