case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct
absent,soa,q0,65536,65536,41,13,0,0,0,0,524288,0,0,0,0,0,0,0,0,0,4194304,8153415830408624895,1
absent,tag8,q0,65536,65536,41,13,0,229,229,0,65536,0,0,0,0,4096,0,0,0,262144,4194304,8153415830408624895,1
absent,joint16,q0,65536,65536,41,13,0,229,229,0,3584,131072,4096,3872,0,224,0,0,0,786432,4194304,8153415830408624895,1
absent,joint64,q0,65536,65536,41,13,0,229,229,0,13184,32768,1024,818,0,824,0,0,0,393216,4194304,8153415830408624895,1
absent,joint256,q0,65536,65536,41,13,0,229,229,0,38656,8192,256,105,0,2416,0,0,0,294912,4194304,8153415830408624895,1
absent,joint16_planar,q0,65536,65536,41,13,0,229,229,0,3584,131072,4096,3872,0,224,0,0,0,786432,4194304,8153415830408624895,1
absent,joint64_planar,q0,65536,65536,41,13,0,229,229,0,13184,32768,1024,818,0,824,0,0,0,393216,4194304,8153415830408624895,1
absent,joint256_planar,q0,65536,65536,41,13,0,229,229,0,38656,8192,256,105,0,2416,0,0,0,294912,4194304,8153415830408624895,1
text,direct,q0,65536,65536,41,13,23657,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1
text,direct,q1,65536,65536,41,13,3575,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1
text,direct,q2,65536,65536,41,13,2,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1
text,direct,q3,65536,65536,41,13,0,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1
text,gram8,q0,65536,65536,41,13,23657,65506,65506,0,65536,0,0,0,4378020,4096,0,0,0,65536,6541237,5148638291542186198,1
text,gram8,q1,65536,65536,41,13,3575,65504,65504,0,65536,0,0,0,4377977,4096,0,0,0,65536,6541237,5148638291542186198,1
text,gram8,q2,65536,65536,41,13,2,65499,65499,0,65536,0,0,0,4377927,4096,0,0,0,65536,6541237,5148638291542186198,1
text,gram8,q3,65536,65536,41,13,0,65504,65504,0,65536,0,0,0,4377995,4096,0,0,0,65536,6541237,5148638291542186198,1
text,gram16,q0,65536,65536,41,13,23657,65324,65324,0,131072,0,0,0,4373208,4096,0,0,0,131072,6541237,5148638291542186198,1
text,gram16,q1,65536,65536,41,13,3575,62989,62989,0,131072,0,0,0,4309156,4096,0,0,0,131072,6541237,5148638291542186198,1
text,gram16,q2,65536,65536,41,13,2,61310,61310,0,131072,0,0,0,4258657,4096,0,0,0,131072,6541237,5148638291542186198,1
text,gram16,q3,65536,65536,41,13,0,61345,61345,0,131072,0,0,0,4259779,4096,0,0,0,131072,6541237,5148638291542186198,1
text,gram32,q0,65536,65536,41,13,23657,61741,61741,0,262144,0,0,0,4174044,4096,0,0,0,262144,6541237,5148638291542186198,1
text,gram32,q1,65536,65536,41,13,3575,41860,41860,0,262144,0,0,0,3376587,4096,0,0,0,262144,6541237,5148638291542186198,1
text,gram32,q2,65536,65536,41,13,2,38244,38244,0,262144,0,0,0,3167344,4096,0,0,0,262144,6541237,5148638291542186198,1
text,gram32,q3,65536,65536,41,13,0,42774,42774,0,262144,0,0,0,3432899,4096,0,0,0,262144,6541237,5148638291542186198,1
text,gram32,build,65536,65536,41,13,23657,0,0,0,0,0,0,0,0,0,0,0,0,262144,6541237,5148638291542186198,1
text,gram256,q0,65536,65536,41,13,23657,26554,26554,0,2097152,0,0,0,1342902,4096,0,0,0,2097152,6541237,5148638291542186198,1
text,gram256,q1,65536,65536,41,13,3575,3852,3852,0,2097152,0,0,0,249571,4096,0,0,0,2097152,6541237,5148638291542186198,1
text,gram256,q2,65536,65536,41,13,2,136,136,0,2097152,0,0,0,9901,4096,0,0,0,2097152,6541237,5148638291542186198,1
text,gram256,q3,65536,65536,41,13,0,14,14,0,2097152,0,0,0,3061,4096,0,0,0,2097152,6541237,5148638291542186198,1
text,gram256,build,65536,65536,41,13,23657,0,0,0,0,0,0,0,0,0,0,0,0,2097152,6541237,5148638291542186198,1
text,term_bits,q0,65536,65536,41,13,23657,0,0,23657,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1
text,term_bits,q1,65536,65536,41,13,3575,0,0,3575,8192,0,0,0,0,0,0,0,0,32768,6541237,5148638291542186198,1
