case,method,phase,rows,operations,seed,hash,truth,candidates,residuals,certain,plane_bytes,summary_bytes,blocks,skipped,text_bytes,g0,g1,g2,g3,stored_bytes,fixture_bytes,digest,correct,ns_per_op,min_ns,max_ns,candidate_fraction,metadata_B_row
absent,soa,q0,65536,65536,41,13,0,0,0,0,524288,0,0,0,0,0,0,0,0,0,4194304,8153415830408624895,1,0.49147144162277256,0.48309995901530683,0.5380264443329927,0.0,0.0
absent,tag8,q0,65536,65536,41,13,0,229,229,0,65536,0,0,0,0,4096,0,0,0,262144,4194304,8153415830408624895,1,0.5245414459720138,0.5163989439329713,0.5362966128589206,0.0034942626953125,4.0
absent,joint16,q0,65536,65536,41,13,0,229,229,0,3584,131072,4096,3872,0,224,0,0,0,786432,4194304,8153415830408624895,1,0.3518194800255274,0.3421231468251877,0.354113533992895,0.0034942626953125,12.0
absent,joint64,q0,65536,65536,41,13,0,229,229,0,13184,32768,1024,818,0,824,0,0,0,393216,4194304,8153415830408624895,1,0.2528565951357916,0.2475023386702755,0.28544950234409155,0.0034942626953125,6.0
absent,joint256,q0,65536,65536,41,13,0,229,229,0,38656,8192,256,105,0,2416,0,0,0,294912,4194304,8153415830408624895,1,0.3782600650718478,0.3755431881019774,0.3847342535907152,0.0034942626953125,4.5
absent,joint16_planar,q0,65536,65536,41,13,0,229,229,0,3584,131072,4096,3872,0,224,0,0,0,786432,4194304,8153415830408624895,1,0.3577202961857164,0.34822012248792295,0.3757704541199207,0.0034942626953125,12.0
absent,joint64_planar,q0,65536,65536,41,13,0,229,229,0,13184,32768,1024,818,0,824,0,0,0,393216,4194304,8153415830408624895,1,0.24444629243383162,0.24228231871224234,0.25065837548434994,0.0034942626953125,6.0
absent,joint256_planar,q0,65536,65536,41,13,0,229,229,0,38656,8192,256,105,0,2416,0,0,0,294912,4194304,8153415830408624895,1,0.37821845113454156,0.37513141648651005,0.3860050469869942,0.0034942626953125,4.5
text,direct,q0,65536,65536,41,13,23657,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1,29.13123474121094,28.84457702636719,29.89917500813802,0.0,0.0
text,direct,q1,65536,65536,41,13,3575,0,65536,0,0,0,0,0,4378387,0,0,0,0,0,6541237,5148638291542186198,1,27.256180826822913,27.070405069986975,27.66354573567708,0.0,0.0
