machine,profile,width,head_bits,input_bits,values,scope,arm,median_ns_per_value,ratio_to_separate,samples,input_page_offset,head0_page_offset,head1_page_offset,entry_mod64
zen,avx2,17,16,64,256,heads_only,separate_avx2,0.135598924,1.0,"[0.13324431,0.132584371,0.131903157,0.13614247,0.133230451,0.134839498,0.134595674,0.140448127,0.138181489,0.138773777,0.136570398,0.138674833,0.1371416,0.135646515,0.13527089,0.135551333]",704,2944,3264,0
zen,avx2,17,16,64,256,heads_only,joint_tile_avx2,0.1344588975,0.9915926582131286,"[0.133033238,0.133136727,0.136314802,0.133882012,0.133567337,0.132675491,0.132998589,0.138625063,0.139198426,0.137992837,0.133818869,0.135523204,0.136240967,0.135035783,0.132327247,0.136412516]",704,2944,3264,32
zen,avx2,17,16,64,256,heads_only,joint_compact16_avx2,0.0719091205,0.5303074565694932,"[0.072136216,0.072639953,0.068356577,0.070191562,0.07255565,0.070448086,0.069822527,0.072507966,0.073782329,0.074831083,0.073158186,0.07126084,0.0744977,0.070966206,0.071682025,0.071443789]",704,2944,3264,48
zen,avx2,17,16,64,256,heads_only,joint_fulltile_control_avx2,0.1349946205,0.9955434491500831,"[0.131814495,0.132229906,0.129171673,0.133346833,0.135514379,0.129816007,0.134988327,0.136832621,0.139246445,0.138662912,0.134328902,0.136554789,0.137797706,0.135000914,0.134692349,0.135501452]",704,2944,3264,32
zen,avx2,17,16,64,256,with_payload,separate_avx2,0.1963039225,1.0,"[0.198683292,0.200687885,0.194648683,0.199941106,0.196643971,0.193873741,0.189225577,0.189347468,0.190065861,0.192059353,0.194848284,0.198549695,0.201380201,0.196309879,0.196297966,0.19695764]",2048,2944,3264,0
zen,avx2,17,16,64,256,with_payload,joint_tile_avx2,0.19209259,0.9785468754451404,"[0.192760982,0.198207639,0.192264624,0.197879814,0.191712379,0.197589308,0.186215587,0.186186679,0.18579492,0.186214246,0.191920556,0.192781031,0.195713453,0.18566595,0.187694393,0.201094694]",2048,2944,3264,0
zen,avx2,17,16,64,256,with_payload,joint_compact16_avx2,0.128360301,0.6538855635959083,"[0.130086169,0.133438215,0.128868736,0.133205228,0.127851866,0.13552805,0.127559721,0.126386024,0.123919189,0.126063935,0.126209371,0.129769213,0.125372812,0.130085349,0.127843075,0.133339942]",2048,2944,3264,32
zen,avx2,17,16,64,256,with_payload,joint_fulltile_control_avx2,0.19288682550000003,0.9825928236355034,"[0.193884321,0.197323464,0.193681806,0.197018363,0.192091845,0.195290186,0.185472533,0.18736776,0.185386553,0.186177067,0.194570303,0.19186832,0.186087735,0.196820475,0.194864899,0.18752645]",2048,2944,3264,0
zen,avx2,23,16,64,256,heads_only,separate_avx2,0.1379843815,1.0,"[0.137706324,0.136512134,0.1345107,0.136403129,0.137356363,0.138772625,0.141018659,0.140413329,0.140496515,0.135841571,0.138535209,0.139713861,0.137834921,0.138677515,0.134893887,0.138133842]",2048,3264,704,0
zen,avx2,23,16,64,256,heads_only,joint_tile_avx2,0.1359565185,0.9853036772861138,"[0.131003007,0.131241649,0.136451483,0.133078571,0.136859298,0.130954318,0.138580471,0.140852176,0.138572946,0.135693826,0.139723212,0.135613248,0.138081834,0.136219211,0.133876503,0.133281339]",2048,3264,704,32
zen,avx2,23,16,64,256,heads_only,joint_compact16_avx2,0.074381582,0.5390579802685856,"[0.072957128,0.07322349,0.074970853,0.07353586,0.072403472,0.074548367,0.076561641,0.075368386,0.074553918,0.073583096,0.07206931,0.075806074,0.07520045,0.074214797,0.076928589,0.071769312]",2048,3264,704,0
zen,avx2,23,16,64,256,heads_only,joint_fulltile_control_avx2,0.1358061075,0.9842136191334089,"[0.131216507,0.134856187,0.137623921,0.138991449,0.130164918,0.136553705,0.139655303,0.136345647,0.133497596,0.133443173,0.132467583,0.140709721,0.133125845,0.136295281,0.137261406,0.135316934]",2048,3264,704,48
zen,avx2,23,16,64,256,with_payload,separate_avx2,0.19677282899999998,1.0,"[0.199296027,0.194449678,0.198252939,0.203573518,0.19349286,0.19163616,0.202061333,0.199233741,0.196968295,0.193752363,0.192090951,0.196005523,0.194382176,0.207248032,0.196577363,0.198775753]",2048,3264,704,16
zen,avx2,23,16,64,256,with_payload,joint_tile_avx2,0.197390042,1.0031366779810844,"[0.193162948,0.202502124,0.199187696,0.19793085,0.198159359,0.195780814,0.196084641,0.196849234,0.193492122,0.191913098,0.19108168,0.201008342,0.199193135,0.195893459,0.200422563,0.200130872]",2048,3264,704,32
zen,avx2,23,16,64,256,with_payload,joint_compact16_avx2,0.1317659915,0.6696350922514817,"[0.12829563,0.127948798,0.127829589,0.13180466,0.135018423,0.129100591,0.128750861,0.131805554,0.130311847,0.132063046,0.128202945,0.13206856,0.135081679,0.131727323,0.138536178,0.132434689]",2048,3264,704,16
zen,avx2,23,16,64,256,with_payload,joint_fulltile_control_avx2,0.191905055,0.9752619605829828,"[0.19491981,0.186440296,0.191821381,0.19686383,0.196433783,0.188595332,0.187056616,0.191988729,0.189583354,0.188959591,0.189715154,0.186164103,0.195067108,0.196562387,0.201813675,0.196885742]",2048,3264,704,48
zen,avx2,56,16,64,256,heads_only,separate_avx2,0.1250119745,1.0,"[0.127084635,0.128988761,0.131740883,0.121985406,0.121907216,0.123689447,0.126543157,0.127967983,0.123276941,0.125941928,0.122705292,0.122900348,0.127134927,0.124082021,0.123913448,0.126538686]",2048,2944,3264,0
zen,avx2,56,16,64,256,heads_only,joint_tile_avx2,0.1204362845,0.9633979863265019,"[0.122500136,0.124236509,0.122124773,0.117768634,0.117227752,0.118893459,0.119611591,0.121462334,0.117617276,0.116561517,0.122479085,0.118935965,0.118059918,0.121260978,0.123053756,0.123269677]",2048,2944,3264,48
