profile,pad,width,payload,head,carrier,count,arm,median_ns_per_value,min_ns_per_value,max_ns_per_value,control,control_ns_per_value,ratio
avx2,0,10,2,8,16,256,tile8_avx2,0.1026759615,0.102491129,0.103057563,tile8_avx2,0.1026759615,1.0
avx2,0,10,2,8,16,256,region32_avx2,0.058837994500000004,0.058656927,0.059778839,tile8_avx2,0.1026759615,0.5730454688753999
avx2,0,9,1,8,16,256,tile8_avx2,0.058361714999999995,0.058052851,0.058878956,tile8_avx2,0.058361714999999995,1.0
avx2,0,9,1,8,16,256,region32_avx2,0.0262482895,0.026145155,0.026502298,tile8_avx2,0.058361714999999995,0.4497518535910057
avx2,0,13,5,8,16,256,tile8_avx2,0.186697241,0.186020538,0.187908672,tile8_avx2,0.186697241,1.0
avx2,0,13,5,8,16,256,region32_avx2,0.0770584755,0.076836482,0.077873543,tile8_avx2,0.186697241,0.4127456575536646
avx2,0,15,7,8,16,256,tile8_avx2,0.1743652115,0.174090847,0.175424725,tile8_avx2,0.1743652115,1.0
avx2,0,15,7,8,16,256,region32_avx2,0.077075243,0.076878957,0.077442519,tile8_avx2,0.1743652115,0.44203337544771654
avx2,0,10,2,8,32,256,tile8_avx2,0.1029961895,0.102672182,0.104114357,tile8_avx2,0.1029961895,1.0
avx2,0,10,2,8,32,256,region32_avx2,0.0750735775,0.074781794,0.07614775,tile8_avx2,0.1029961895,0.72889665010374
avx2,0,10,2,8,64,256,tile8_avx2,0.206479907,0.206072733,0.207642123,tile8_avx2,0.206479907,1.0
avx2,0,10,2,8,64,256,region32_avx2,0.1041205005,0.103561148,0.104779765,tile8_avx2,0.206479907,0.5042645650746056
avx2,0,17,1,16,32,256,tile8_avx2,0.084987264,0.084251594,0.085425697,tile8_avx2,0.084987264,1.0
avx2,0,17,1,16,32,256,region32_avx2,0.071576748,0.071012646,0.072270233,tile8_avx2,0.084987264,0.8422055803561341
avx2,0,18,2,16,32,256,tile8_avx2,0.12496563050000001,0.124756973,0.125529677,tile8_avx2,0.12496563050000001,1.0
avx2,0,18,2,16,32,256,region32_avx2,0.10441419099999999,0.103804376,0.104620703,tile8_avx2,0.12496563050000001,0.8355432656341456
avx2,0,21,5,16,32,256,tile8_avx2,0.177940756,0.17753198,0.180158921,tile8_avx2,0.177940756,1.0
avx2,0,21,5,16,32,256,region32_avx2,0.12702627849999998,0.126747444,0.127970688,tile8_avx2,0.177940756,0.7138683759441821
avx2,0,23,7,16,32,256,tile8_avx2,0.17769582550000002,0.177128904,0.179367363,tile8_avx2,0.17769582550000002,1.0
avx2,0,23,7,16,32,256,region32_avx2,0.1269036085,0.12677069,0.12845818,tile8_avx2,0.17769582550000002,0.7141620133332844
avx2,0,18,2,16,64,256,tile8_avx2,0.25027685600000005,0.249788284,0.252282001,tile8_avx2,0.25027685600000005,1.0
avx2,0,18,2,16,64,256,region32_avx2,0.13609289000000002,0.135149419,0.137974992,tile8_avx2,0.25027685600000005,0.5437693767417312
avx2,0,10,2,8,16,8192,tile8_avx2,0.103006227,0.102852259,0.103248447,tile8_avx2,0.103006227,1.0
avx2,0,10,2,8,16,8192,region32_avx2,0.0598148625,0.059650727,0.059973415,tile8_avx2,0.103006227,0.5806917139096843
avx2,0,9,1,8,16,8192,tile8_avx2,0.057426311,0.057315091,0.05771232,tile8_avx2,0.057426311,1.0
avx2,0,9,1,8,16,8192,region32_avx2,0.026804393000000003,0.026728332,0.027073517,tile8_avx2,0.057426311,0.4667615337506183
avx2,0,13,5,8,16,8192,tile8_avx2,0.18741651999999998,0.179927208,0.188662447,tile8_avx2,0.18741651999999998,1.0
avx2,0,13,5,8,16,8192,region32_avx2,0.0771606265,0.077034004,0.077401914,tile8_avx2,0.18741651999999998,0.411706644110135
avx2,0,15,7,8,16,8192,tile8_avx2,0.1886971665,0.188243948,0.189426728,tile8_avx2,0.1886971665,1.0
avx2,0,15,7,8,16,8192,region32_avx2,0.077142708,0.077009268,0.077350654,tile8_avx2,0.1886971665,0.408817521910166
avx2,0,10,2,8,32,8192,tile8_avx2,0.103386618,0.103212461,0.103795286,tile8_avx2,0.103386618,1.0
avx2,0,10,2,8,32,8192,region32_avx2,0.0748385305,0.074688699,0.075152013,tile8_avx2,0.103386618,0.7238705738493157
avx2,0,10,2,8,64,8192,tile8_avx2,0.2081098,0.207256705,0.209173232,tile8_avx2,0.2081098,1.0
avx2,0,10,2,8,64,8192,region32_avx2,0.10383890600000001,0.103619717,0.104479812,tile8_avx2,0.2081098,0.4989621151911155
avx2,0,17,1,16,32,8192,tile8_avx2,0.0855193715,0.085447639,0.08665337,tile8_avx2,0.0855193715,1.0
avx2,0,17,1,16,32,8192,region32_avx2,0.0716272255,0.071400784,0.07188962,tile8_avx2,0.0855193715,0.8375555648231116
avx2,0,18,2,16,32,8192,tile8_avx2,0.12607826900000002,0.125651535,0.127089649,tile8_avx2,0.12607826900000002,1.0
avx2,0,18,2,16,32,8192,region32_avx2,0.10499697399999999,0.104523286,0.105491675,tile8_avx2,0.12607826900000002,0.83279200160973
avx2,0,21,5,16,32,8192,tile8_avx2,0.186245624,0.185942382,0.187450834,tile8_avx2,0.186245624,1.0
avx2,0,21,5,16,32,8192,region32_avx2,0.1273148135,0.127170123,0.128233701,tile8_avx2,0.186245624,0.6835855295048436
avx2,0,23,7,16,32,8192,tile8_avx2,0.18370717050000002,0.183600292,0.184788361,tile8_avx2,0.18370717050000002,1.0
avx2,0,23,7,16,32,8192,region32_avx2,0.127297301,0.127070203,0.127901621,tile8_avx2,0.18370717050000002,0.6929359406795719
avx2,0,18,2,16,64,8192,tile8_avx2,0.25097134,0.250426061,0.252703048,tile8_avx2,0.25097134,1.0
avx2,0,18,2,16,64,8192,region32_avx2,0.13599022500000002,0.135526724,0.136709429,tile8_avx2,0.25097134,0.5418555959417518
avx2,0,10,2,8,16,65536,tile8_avx2,0.102463268,0.102334522,0.103160497,tile8_avx2,0.102463268,1.0
avx2,0,10,2,8,16,65536,region32_avx2,0.059698079,0.059580285,0.060031272,tile8_avx2,0.102463268,0.5826290744503679
